Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/20/2001,729.359009,,-417.908997,,311.450012,,-285.55899,,,,25.891001,-19.457001,,19.631001,,0.0,-0.174,6.434,-2.561,3.873,0.0,,,3.873,0.0,3.873,0.0,0.0,3.873,3.873,,84.843,0.046667,0.046667,0.046667,85.719,0.046667,0.046667,0.046667,
07/14/2001,607.478027,,-350.25,,257.228027,,-220.848999,,,,36.379002,-13.048,,13.443,,0.0,-0.395,23.331002,-9.207,14.124,0.0,,,14.124002,0.0,14.124,0.0,0.0,14.124,14.124,,84.866999,0.166667,0.166667,0.166667,85.602001,0.163333,0.163333,0.163333,
10/06/2001,598.79303,,-342.05899,,256.734039,,-219.602997,,,,37.131001,-11.811,,12.121,,0.0,-0.31,25.32,-10.088,15.232,0.0,,,15.232,0.0,15.232,0.0,0.0,15.232,15.232,,84.959999,0.18,0.18,0.18,86.327997,0.176667,0.176667,0.176667,
12/29/2001,582.009,,-331.395,,250.614,,-221.52,,,,29.094,-55.678,,16.7,,0.0,38.978,-26.584,10.544,-16.04,5.747,,,-21.787,0.0,-21.787,0.0,0.0,-21.787,-21.787,,88.974,-0.243333,-0.18,-0.18,88.974,-0.243333,-0.18,-0.18,
04/20/2002,1004.087,,-567.579,,436.508,0.0,-388.154,,,,48.354,-28.591,,27.598,,,0.993,19.763,-7.667,12.096,,,,12.096,0.0,12.096,0.0,0.0,12.096,12.096,,101.499,0.12,0.12,0.196667,105.366,0.113333,0.113333,0.186667,
07/13/2002,792.71698,,-443.703003,,349.013977,,-284.13501,,,,64.878998,-38.83,,19.120001,,0.0,19.709999,26.048998,-10.108,15.941,0.0,,,15.940998,0.0,15.941,0.0,0.0,15.941,15.941,,106.158006,0.15,0.15,0.266667,109.626,0.146667,0.146667,0.256667,
10/05/2002,788.661987,,-439.0,,349.661987,,-278.868988,,,,70.792999,-24.447001,,16.016001,,0.0,8.431,46.345998,-17.983,28.363001,0.0,,,28.362998,0.0,28.363001,0.0,0.0,28.363001,28.363001,,107.019,0.266667,0.266667,0.316667,110.174994,0.256667,0.256667,0.306667,
04/19/2003,1005.968,,-541.979,,463.989,0.0,-391.369,,,,72.62,-66.167,,19.34,,,46.827,6.453,-2.485,3.968,-1.073,,,5.041,0.0,5.041,0.0,0.0,5.041,5.041,,107.709,0.046667,0.04,0.32,109.857,0.046667,0.04,0.32,
07/12/2003,827.348022,,-447.873993,,379.474029,,-299.006989,301.897,,-2.890011,80.467003,-10.076,,7.025,,0.0,3.051,70.391003,-27.1,43.291,-0.167,,,43.458003,0.0,43.458,0.0,0.0,43.458,43.458,,109.638003,0.4,0.4,0.416667,112.245003,0.386667,0.386667,0.403333,
10/04/2003,839.101013,,-452.173004,,386.928009,,-308.298004,308.298,,4e-06,78.629997,-5.879,,5.86,,0.0,0.019,72.750997,-28.006001,44.744999,-0.419,,,45.163996,0.0,45.164001,0.0,0.0,45.164001,45.164001,,110.475003,0.406667,0.4,0.413333,113.321994,0.4,0.393333,0.406667,
01/03/2004,821.278992,,-447.152008,,374.126984,,-314.720001,,,,59.407001,-5.291,,5.351,,0.0,-0.06,54.116001,-20.834,33.282001,2.01,,,31.272001,0.0,31.271999,0.0,0.0,31.271999,31.271999,,110.774997,0.28,0.3,0.306667,113.79,0.273333,0.293333,0.3,
