Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,217.468994,224.949997,88.563004,-24.587999,,-24.587999,-71.456001,,,-71.456001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,247.990997,240.223999,87.169998,12.913,,12.913,-92.316002,,,-92.316002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,360.571014,220.848007,86.204002,84.029999,,84.029999,-30.511,,,-30.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,374.852997,279.752014,93.948997,-81.908997,,-81.908997,83.060997,,,83.060997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.852997,,,
03/31/1991,245.416,254.169998,97.367996,-9.144,,-9.144,-96.977997,,,-96.977997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,385.303009,268.294006,95.456001,46.085999,,46.085999,-24.533001,,,-24.533001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,408.252014,251.561005,94.237,56.027,,56.027,6.427,,,6.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,414.238007,314.720001,91.956001,-45.754002,,-45.754002,53.316002,,,53.316002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.238007,,,
03/31/1992,268.320007,294.229004,112.904999,-54.290001,,-54.290001,-84.524002,,,-84.524002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,344.601013,317.087006,107.084999,9.034,,9.034,-88.605003,,,-88.605003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,267.441986,278.776001,111.489998,-222.104004,,-222.104004,99.279999,,,99.279999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,508.485992,348.964996,96.302002,271.809998,,271.809998,-208.591003,,,-208.591003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.485992,,,
03/31/1993,435.953003,345.536011,119.292,126.952003,,126.952003,-155.826996,,,-155.826996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,366.123993,346.084015,132.309006,-294.953003,,-294.953003,182.684006,,,182.684006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,572.771973,316.21701,124.650002,141.246002,,141.246002,-9.341,,,-9.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,472.059998,391.289001,107.830002,-7.488,,-7.488,-19.570999,,,-19.570999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.059998,,,
03/31/1994,546.844971,366.234009,132.339996,105.561996,,105.561996,-57.291,,,-57.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,473.143005,376.554993,128.110001,103.472,,103.472,-134.994003,,,-134.994003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,600.455017,351.34201,130.598999,113.497002,,113.497002,5.017,,,5.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,591.69397,422.552002,119.455002,-475.802002,,-475.802002,525.489014,,,525.489014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.69397,,,
03/31/1995,508.32901,417.253998,137.082993,11.82,,11.82,-57.827999,,,-57.827999,,,-280.567993,,,,-280.567993,,,,,,,,,,280.567993,,,,,,,,,,,,,,,
06/30/1995,526.885986,424.029999,123.203003,-73.123001,,-73.123001,52.776001,,,52.776001,,,-205.059006,,,,-205.059006,,,,,,,,,,205.059006,,,,,,,,,,,,,,,
09/30/1995,519.184021,382.050995,139.207993,18.622999,,18.622999,-20.698,,,-20.698,,,-213.253998,,,,-213.253998,,,,,,,,,,213.253998,,,,,,,,,,,,,,,
12/31/1995,411.182007,465.36499,166.929001,90.735001,,90.735001,-311.846985,,,-311.846985,,-248.139999,-248.139999,,,,-248.139999,,,,,,,,,,0.0,,,,,,,,,,,,163.042008,,,
03/31/1996,684.166016,480.109009,163.307999,94.502998,,94.502998,-53.754002,,,-53.754002,,,-229.822998,,,,-229.822998,,,,,,,,,,229.822998,,,,,,,,,,,,,,,
06/30/1996,494.843994,470.423004,155.953995,-13.289,,-13.289,-118.244003,,,-118.244003,,,-231.085007,,,,-231.085007,,,,,,,,,,231.085007,,,,,,,,,,,,,,,
09/30/1996,632.533997,420.886993,188.796997,-61.794998,,-61.794998,84.644997,,,84.644997,,,-220.664993,,,,-220.664993,,,,,,,,,,220.664993,,,,,,,,,,,,,,,
