Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1522.649048,10.047,5.383,4.664,52.082001,,,4.545,,,,,5.977,,,72.651001,1441.714966,2412.917969,-971.203003,,8.283,,,,,,8.283,1449.997966,,55.644001,55.644001,,,,22.106001,,,,,,6.466002,,,6.466002,84.216003,450.091003,,,,,475.845001,,,,475.845001,925.936005,1010.152008,,38.91,,,-0.641,,474.228006,512.497005,,512.497005,1522.649014,
06/30/1990,1536.108032,13.387,8.96,4.427,48.671001,,,4.54,,,,,6.707,,,73.305,1453.890991,2448.913086,-995.021973,,8.912,,,,,,8.912,1462.802991,,48.077,48.077,,,,18.393,,,,,,5.883997,,,5.883997,72.353996,473.61499,,,,,478.64801,,,,478.64801,952.263,1024.616997,,41.530998,,,-1.335,,471.294991,511.49099,,511.49099,1536.107986,
09/30/1990,1580.342041,14.297999,8.98,5.318,65.110001,,,6.632,,,,,7.412,,,93.452003,1477.637939,2500.047119,-1022.408997,,9.252,,,,,,9.252,1486.889939,,57.797001,57.797001,,,,29.542999,,,,,,7.954998,,,7.954998,95.294998,488.55899,,,,,479.851013,,,,479.851013,968.410004,1063.705002,,44.099998,,,-1.986,,474.522987,516.636986,,516.636986,1580.341988,
12/31/1990,1646.75,13.008,7.272,5.736,93.355003,,,7.7,,,,,5.502,,,119.565002,1517.637939,2576.13501,-1058.496948,,9.547,,,,,,9.547,1527.184939,,82.847,82.847,,,,27.955999,,,,,,6.883997,,,6.883997,117.686996,427.113007,,,,,483.980988,,,,483.980988,911.093995,1028.780991,,121.513,,,-2.026,,498.481994,617.968994,,617.968994,1646.749985,
03/31/1991,1600.928955,13.544,6.273,7.271,64.027,,,5.566,,,,,7.068,,,90.205002,1501.555054,2594.521973,-1092.967041,,9.169,,,,,,9.169,1510.724053,,52.125999,52.125999,,,,20.301001,,,,,,7.854998,,,7.854998,80.281998,402.647003,,,,,489.44101,,,,489.44101,892.088013,972.37001,,121.598,,,-0.212,,507.172999,628.558998,,628.558998,1600.929008,
06/30/1991,1610.323975,13.046,5.582,7.464,47.741001,,,9.352,,,,,6.971,,,77.110001,1523.172974,2642.875977,-1119.703003,,10.041,,,,,,10.041,1533.213974,,50.162998,50.162998,,,,16.044001,,,,,,6.016001,,,6.016001,72.223,421.330994,,,,,489.891998,,,,489.891998,911.222992,983.445992,,124.245003,,,-1.08,,503.712996,626.877998,,626.877998,1610.32399,
09/30/1991,1631.041992,13.5,5.889,7.611,51.855,,,9.876,,,,,6.997,,,82.227997,1540.47998,2678.784912,-1138.305054,,8.334,,,,,,8.334,1548.81398,,52.462002,52.462002,,,,30.360001,,,,,,8.497997,,,8.497997,91.32,427.59201,,,,,486.953003,,,,486.953003,914.545013,1005.865013,,124.492996,,,0.0,,500.68399,625.176987,,625.176987,1631.042,
12/31/1991,1675.744995,14.983,7.618,7.365,79.248001,,,10.433,,,,,2.294,,,106.958,1555.137939,2723.208984,-1168.071045,,13.649,,,,,,13.649,1568.786939,,67.021004,67.021004,,,,29.103001,,,,,,8.080997,,,8.080997,104.205002,439.627991,,,,,491.395996,,,,491.395996,931.023987,1035.228989,,125.653999,,,0.0,,514.862,640.515999,,640.515999,1675.744988,
03/31/1992,1640.649048,12.087,5.743,6.344,56.168999,,,9.121,,,,,1.655,,,79.031998,1548.57605,2745.795898,-1197.219971,,13.041,,,,,,13.041,1561.61705,,48.631001,48.631001,,,,19.18,,,,,,8.931995,,,8.931995,76.742996,427.993988,,,,,494.795013,,,,494.795013,922.789001,999.531998,,127.053001,,,0.0,,514.064026,641.117027,,641.117027,1640.649025,
06/30/1992,1661.958984,11.083,3.896,7.187,66.004997,,,8.833,,,,,3.538,,,89.459,1559.496948,2781.771973,-1222.275024,,13.003,,,,,,13.003,1572.499949,,48.608002,48.608002,,,,12.019,,,,,,7.841001,,,7.841001,68.468002,474.708008,,,,,488.119995,,,,488.119995,962.828003,1031.296005,,128.516998,,,0.0,,502.145996,630.662994,,630.662994,1661.959,
09/30/1992,1675.687988,10.808,2.211,8.597,83.234001,,,8.729,,,,,2.659,,,105.43,1556.654053,2801.051025,-1244.396973,,13.604,,,,,,13.604,1570.258053,,44.609001,44.609001,,,,14.323,,,,,,14.483999,,,14.483999,73.416,475.687012,,,,,491.945007,,,,491.945007,967.632019,1041.048019,,130.393997,,,-0.426,,504.672002,634.639999,,634.639999,1675.688019,
12/31/1992,1904.967041,14.833,7.564,7.269,111.434998,,,10.249,,,,,2.29,,,138.807007,1754.55603,3030.633057,-1276.077026,0.0,11.604,,,,,,11.604,1766.16003,,75.158997,75.158997,,,,15.373,,,,,,16.881005,,,16.881005,107.413002,647.161987,,,,,493.497009,,,,493.497009,1140.658996,1248.071998,0.0,130.796997,,,-0.001,,526.099022,656.895019,0.0,656.895019,1904.967017,
03/31/1993,1874.994995,11.17,3.171,7.999,91.875,,,9.258,,,,,1.627,,,113.93,1749.894043,3061.596924,-1311.703003,0.0,11.171,,,,,,11.171,1761.065042,,63.381001,63.381001,,,,8.152,,,,,,14.916996,,,14.916996,86.449997,609.723022,,,,,430.803009,,,,430.803009,1040.526031,1126.976028,0.0,132.296997,,,0.0,,615.721985,748.018982,0.0,748.018982,1874.99501,
06/30/1993,1898.31897,11.731,11.731,0.0,83.179001,,,10.112,,,,,0.83,,,105.851997,1782.712036,3126.156982,-1343.444946,0.0,9.755,,,,,,9.755,1792.467036,,66.473,66.473,,,,0.0,,,,,,30.832001,,,30.832001,97.305,534.291992,,,,,436.071014,,,,436.071014,970.363007,1067.668007,0.0,210.927994,,,-0.267,,619.990022,830.651016,0.0,830.651016,1898.319023,
09/30/1993,1952.128052,19.069,19.069,0.0,94.150002,,,10.795,,,,,3.719,,,127.733002,1813.286011,3190.900879,-1377.61499,0.0,11.109,,,,,,11.109,1824.395011,,85.442001,85.442001,,,,0.0,,,,,,31.368996,,,31.368996,116.810997,529.341003,,,,,454.270996,,,,454.270996,983.612,1100.422997,0.0,239.638,,,0.0,,612.067017,851.705017,0.0,851.705017,1952.128014,
12/31/1993,2022.786011,17.799,17.799,0.0,110.486,,,9.551,,,,,3.025,,,140.860992,1841.727051,3266.824951,-1425.098022,0.0,40.198002,,,,,,40.198002,1881.925053,,92.310997,92.310997,,,,13.328,,,,,,20.378001,,,20.378001,126.016998,542.5,,,,,490.102997,,,,490.102997,1032.602997,1158.619995,0.0,241.912994,,,0.0,,622.252991,864.165985,0.0,864.165985,2022.78598,
03/31/1994,2049.36499,33.943001,33.943001,0.0,104.82,,,11.055,,,,,1.698,,,151.516006,1858.270996,3328.111084,-1469.839966,0.0,39.577999,,,,,,39.577999,1897.848995,,79.108002,79.108002,,,,11.235,,,,,,22.423997,,,22.423997,112.766998,560.5,,,,,499.697998,,,,499.697998,1060.197998,1172.964996,0.0,243.035004,,,0.0,,633.36499,876.399994,0.0,876.399994,2049.36499,
06/30/1994,2108.177979,56.339001,56.339001,0.0,93.514,,,12.288,,,,,0.445,,,162.585999,1913.171021,3424.983887,-1511.812988,0.0,32.421001,,,,,,32.421001,1945.592022,,81.536003,81.536003,,,,10.978,,,,,,24.149999,,,24.149999,116.664001,606.291992,,,,,499.459015,,,,499.459015,1105.751007,1222.415009,0.0,246.091995,,,0.0,,639.671021,885.763016,0.0,885.763016,2108.178024,
09/30/1994,2177.208984,55.882,55.882,0.0,89.808998,,,13.76,,,,,0.341,,,159.792007,1986.266968,3525.312988,-1539.046021,0.0,31.15,,,,,,31.15,2017.416967,,92.150002,92.150002,,,,13.671,,,,,,26.188002,,,26.188002,132.009003,655.575989,,,,,495.571991,,,,495.571991,1151.14798,1283.156982,0.0,247.341003,,,0.0,,646.710999,894.052002,0.0,894.052002,2177.208984,
