Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
10/01/1989,,,,,,,5.234566,0.712881,-4.218131,,-6.501383,-4.356166,-4.356166,-4.356166,,,,,
12/31/1989,,,,,,,13.848373,11.176381,7.455816,,5.717007,3.828821,3.828821,3.828821,,33.027525,63.408223,,
04/01/1990,,,,,,,17.735124,15.23969,12.673388,,11.285699,7.563916,7.563916,7.563916,,32.977869,22.395572,,
06/30/1990,,,,,,,11.775612,10.285082,4.807162,,4.84158,3.015085,3.015085,3.015085,,37.72518,75.05513,,
09/30/1990,,15.56198,6.867787,11.930592,11.675125,,9.104717,4.222033,-1.393802,,-2.841982,-1.904446,-1.904446,-1.904446,,,,,
12/30/1990,,16.129269,6.55851,11.186914,10.909294,,15.27488,11.97439,8.203452,40.670625,6.839696,4.58386,4.58386,4.58386,,32.981532,51.771654,7.77888,
03/31/1991,,14.235801,6.496678,11.600396,11.135227,,18.199863,15.322939,12.369516,-15.643837,11.392143,7.631774,7.631774,7.631774,,33.008444,24.467096,10.752714,
06/30/1991,,13.110279,6.677407,11.838749,10.136146,,10.220933,6.933299,3.088166,-26.781667,2.332044,1.973593,1.973593,1.973593,,15.370705,123.632479,-3.098284,
09/29/1991,,13.708268,6.423003,11.282119,11.344605,,10.406409,5.29813,-0.518295,,-2.523763,-1.618803,-1.618803,-1.618803,,,,,
12/29/1991,,15.798506,6.714133,11.22597,11.355107,,19.224528,15.350957,11.822631,50.763487,10.611997,6.791708,6.791708,6.791708,,35.999718,31.970383,10.747663,
03/31/1992,,16.107536,7.710479,13.132144,13.34156,,19.028355,16.379213,13.589742,24.146218,12.638121,8.03192,8.031919,8.031919,,36.446885,20.839335,12.750832,
06/30/1992,,17.250498,8.799088,14.6917,13.494189,,14.945702,11.238531,6.498673,29.882025,4.502111,3.01895,3.01895,3.01895,,32.943674,70.535161,5.082831,
09/27/1992,,17.95068,9.003924,14.833571,15.216079,,10.317682,4.805179,-0.801639,,-1.822754,-1.147445,-1.147445,-1.147445,,,,,
12/27/1992,,18.844273,8.418246,13.569098,13.93992,,20.098047,16.493213,13.274066,23.267513,12.174038,7.668411,7.668412,7.668412,,37.010122,25.955047,13.953233,
03/28/1993,,18.443988,9.140401,15.372958,15.796921,,20.787256,17.872037,14.6523,38.689653,13.778648,8.538955,8.538954,8.538954,,38.02763,19.713144,14.808098,
06/30/1993,,20.92474,11.078301,17.763229,16.340852,,19.403147,17.757678,12.404182,66.072463,10.164248,6.000013,6.000013,6.000013,,40.969439,35.166054,13.566335,
09/30/1993,,14.601432,7.532867,12.732748,20.60835,,14.199383,9.234434,4.20452,36.292384,5.29833,3.233588,-13.162479,-13.162479,,38.969679,99.112285,0.129619,
12/31/1993,,15.330119,7.250144,12.26047,19.119144,,22.00452,17.855394,14.771521,34.002448,14.278418,8.705922,8.705922,8.705922,,39.027402,22.222997,11.923307,
03/27/1994,,15.559903,7.828171,13.318367,19.978104,,21.484692,18.1672,15.226465,23.41777,15.152668,9.246341,9.246341,9.246341,,38.978792,18.631156,12.660913,
06/30/1994,,18.310442,9.755822,15.847649,20.463491,,22.320425,18.144653,15.062181,26.482985,14.446547,8.529579,8.529579,8.529579,,40.957666,20.978118,14.469256,
09/30/1994,,29.162399,15.308505,24.419561,23.620085,,17.467575,12.69284,7.690755,31.339469,8.222257,5.013935,5.013935,5.013935,,39.019962,58.23704,12.179081,
12/31/1994,,28.704291,14.743579,24.141911,23.38255,,22.77615,18.567996,15.496145,21.805187,15.069658,9.193193,9.193193,9.193193,,38.995348,19.924064,22.985229,
03/31/1995,,30.571715,15.317987,25.610318,24.847882,,23.42218,19.744404,17.259526,29.533985,17.238423,10.514191,10.514192,10.514192,,39.00723,14.191545,26.233117,
06/30/1995,,24.856808,13.30141,21.149539,19.82015,,14.530159,9.600545,6.007757,-49.808731,6.36612,4.182714,4.182715,4.182715,,34.29728,58.620415,10.285644,
09/30/1995,,21.514553,11.67036,18.36997,17.414842,,10.102021,2.396069,-2.819339,-59.593941,-2.807729,-1.741636,-1.741636,-1.741636,,,,,
12/31/1995,,18.266386,9.348726,14.663089,13.817725,,19.967088,15.793805,12.436961,-42.465181,11.714948,7.263851,7.263851,7.263851,,37.995022,31.437048,12.523974,
03/31/1996,,17.078445,8.90618,15.000533,14.141555,,22.61664,18.42521,16.085798,,15.8509,9.827445,9.827446,9.827446,,38.000712,16.629814,14.238332,
06/30/1996,,19.662484,11.292776,17.364089,16.740804,,23.624485,17.886713,14.208719,199.678101,13.910012,8.624194,8.624194,8.624194,,38.000095,29.402906,13.881142,
09/30/1996,,19.743822,11.263947,17.362772,16.784057,,11.11043,1.611317,-5.00337,-9.911338,-5.244511,-3.253551,-3.253551,-3.253551,,,,,
12/31/1996,,17.69223,9.109159,14.180984,13.668775,,18.973582,13.236825,9.606092,-41.006316,8.981392,5.570906,5.570906,5.570906,,37.972804,46.783278,9.415225,
03/30/1997,,16.636186,9.114308,14.765822,14.274461,,22.506117,18.273157,16.025046,14.250369,15.764937,9.772773,9.772773,9.772773,,38.009435,16.790643,13.842864,
06/29/1997,,14.458632,7.327627,12.057606,11.454049,,10.360019,4.701066,1.781498,,1.540377,0.954723,0.954723,0.954723,,38.020209,212.185687,-16.220516,
09/28/1997,,11.468933,5.267498,9.187696,8.692034,,15.485152,4.787256,-1.619986,60.378399,-2.487145,-1.543179,-1.543179,-1.543179,,,,,
12/28/1997,,10.38038,4.125649,7.287661,6.83455,,16.499233,10.526094,6.75309,,5.382503,3.336996,3.336996,3.336996,,38.002891,67.736934,3.349029,
03/29/1998,,8.075138,3.341837,6.653958,6.145398,,20.205093,15.909861,13.147712,-211.623646,12.303035,7.627677,7.627677,7.627677,,38.001664,19.18475,6.525943,
06/28/1998,,21.164346,8.638431,16.447246,15.472116,,21.762658,15.00249,11.843739,8413.025446,11.349953,7.168322,7.168322,7.168322,,36.842715,24.774855,15.92091,
09/27/1998,,16.673997,6.515823,12.363846,11.62459,,16.792495,9.240069,3.734245,20.82772,3.170358,1.982758,1.982757,1.982757,,37.459512,154.334604,-9.05975,
12/27/1998,,19.936656,6.518633,11.351701,10.774226,,19.856202,14.962647,11.769641,41.840584,10.9509,6.844695,6.844695,6.844695,,37.496513,27.434348,14.467165,
03/28/1999,,20.217329,6.929105,12.873257,12.298677,,21.591402,17.337625,14.842974,125.222074,14.050338,8.779467,8.779467,8.779467,,37.514197,16.140913,16.954068,
06/27/1999,,31.096515,12.71208,23.560075,22.767116,,21.16238,16.445737,13.298138,22.197139,12.75912,7.974308,7.974308,7.974308,,37.501112,19.13377,25.14658,
09/26/1999,,37.44247,14.859413,26.841308,23.87172,,18.497412,12.738641,8.597748,23.040721,13.624735,8.584722,8.584722,8.584722,,36.991641,27.00074,27.332726,
12/26/1999,,40.341416,13.666008,22.543264,20.270711,,23.581921,18.724269,15.731923,38.392971,15.442715,9.729497,9.729497,9.729497,,36.996202,16.838421,33.548559,
03/26/2000,,38.084729,13.287343,22.888403,20.204485,,21.700913,17.401004,14.608269,-30.645644,14.227054,8.961642,8.961642,8.961642,,37.009854,16.29494,31.878845,
07/02/2000,,35.201761,15.112201,28.03525,24.141385,,20.576221,14.368615,11.073787,-35.293832,10.912936,6.875448,6.875449,6.875449,,36.997261,24.087778,26.722439,
10/01/2000,,27.167473,10.625151,18.944967,17.203142,,14.233303,3.29543,-4.311149,-28.400468,-5.522176,-3.47805,-3.47805,-3.47805,,,,,
12/31/2000,,20.620548,6.854783,12.032718,10.765381,,18.904037,13.806636,10.007957,-54.281906,8.591091,5.412173,5.412173,5.412173,,37.0025,33.59595,13.692879,
04/01/2001,,16.862374,5.80217,10.700525,9.516648,,19.967779,15.603876,12.261151,-40.431182,11.027504,6.947893,6.947893,6.947893,,36.994877,22.402892,13.084714,
07/01/2001,,11.538549,4.312982,9.089046,8.593182,,17.232365,10.637817,5.213283,-39.426668,0.845608,1.354177,1.354178,1.354178,,,148.800033,-5.630816,
09/30/2001,,9.370127,3.218537,7.536895,7.311358,,9.025216,-0.764471,-7.604642,,-12.206494,-7.933378,-7.933379,-7.933379,,,,,
12/30/2001,,4.873336,1.436606,4.84092,4.655638,,16.446806,8.820461,4.256882,-65.365158,1.097274,0.713228,0.713228,0.713228,,34.999996,281.504778,-8.845337,
03/31/2002,,6.363255,2.006394,6.033814,5.797151,,19.91715,15.42124,13.068221,17.054121,11.087333,7.271314,7.271314,7.271314,,34.417827,18.392089,5.192919,
06/30/2002,,12.177914,4.016287,8.600402,7.979819,,20.0443,16.933351,11.768318,29.382605,10.155273,6.700221,6.700222,6.700222,,34.022244,22.662171,9.418134,
09/29/2002,,15.199636,4.955297,9.915358,9.163575,,15.134716,5.702422,-1.084585,83.814525,-4.501979,-2.971298,-2.971298,-2.971298,,,,,
12/29/2002,,17.399255,5.242201,9.847127,9.086041,,19.185282,11.801896,7.508183,64.562202,5.047056,3.331045,3.331045,3.331045,,34.000224,58.983306,7.136599,
03/30/2003,,17.210978,5.424625,10.243121,9.337143,,20.812021,15.304114,12.563901,6.516307,11.240456,7.668205,7.668205,7.668205,,31.780299,16.102384,14.4396,
06/29/2003,,16.718897,5.710449,10.876225,9.87908,,21.451597,14.514586,11.173014,5.970408,9.531944,6.483595,6.483595,6.483595,,31.980343,21.058701,13.198114,
09/28/2003,,18.950577,6.656282,12.05613,11.040484,,18.164118,9.095189,4.313584,17.766259,1.782163,1.211847,1.211847,1.211847,,32.001353,180.527876,-15.260497,
12/28/2003,,20.249076,6.984591,12.506765,11.491421,,21.838822,13.250509,9.297472,19.244109,7.294751,4.960527,4.960527,4.960527,,31.998683,35.323482,13.096397,
03/28/2004,,23.223877,8.31434,14.541458,13.46252,,25.625766,19.915194,17.490044,46.781958,16.400047,10.885912,10.885912,10.885912,,33.62268,10.258461,20.841464,
06/27/2004,,,,,,,22.201194,,12.237944,26.800328,11.257024,7.371118,7.371118,7.371118,,34.519834,,,
09/26/2004,,19.262832,8.157043,13.897926,12.396165,,16.131845,4.698687,0.651032,,-0.530302,-0.338956,-0.338956,-0.338956,,,,,
12/26/2004,,17.016392,6.769924,11.67209,9.936819,,21.072463,6.216994,2.67699,,2.138177,1.401628,1.401628,1.401628,,34.44754,123.269269,-3.95959,
03/27/2005,,16.552695,6.816919,11.858099,8.358074,,19.718658,13.737904,11.598845,,10.96705,7.236963,9.592808,9.592808,,34.01176,14.308464,14.184259,
