Date,Cash From Operating Activities,Net Income,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Insurance Reserves,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2016,498,,498.0,,-2105,,,-11872,10540,-773,1654,,,,-5,1620,-18,-1275,1332,47,
03/31/2017,360,,360.0,,-22,,,-3291,3514,-245,246,,,,-3,24,-20,160,85,584,
06/30/2017,965,246.0,719.0,,-2339,,,-5639,3968,-668,5,,,2988.0,-4,269,-648,459,-3059,-1369,
09/30/2017,705,-943.0,,,-193,,,-5912,6167,-448,-3257,,,,-3,0,0,576,-3830,-2745,
12/31/2017,1366,668.0,698.0,129.0,-1361,0.0,0.0,-6514,5775,-622,154,0.0,0.0,3585.0,-13,0,0,692,-4123,159,
03/31/2018,291,-67.0,,,-903,0.0,0.0,-4597,4348,-654,643,0.0,0.0,,-3,0,0,744,-98,31,
06/30/2018,726,-239.0,,,-1120,0.0,0.0,-4840,3721,-1,641,0.0,0.0,0.0,-3,0,0,707,-63,247,
09/30/2018,479,-271.0,,,-1446,0.0,0.0,-5565,4296,-177,976,0.0,375.0,0.0,-3,0,0,1054,-450,9,
12/31/2018,1566,1442.0,124.0,,-1069,0.0,0.0,-5708,4860,-221,1504,0.0,-375.0,375.0,0,0,0,481,1023,2001,
03/31/2019,376,-737.0,,,-1272,0.0,0.0,-5016,4446,-702,615,0.0,0.0,1000.0,-600,0,0,947,-732,-281,
06/30/2019,433,384.0,,,-1660,0.0,0.0,-6432,5358,-586,1344,-7.0,0.0,0.0,-1,0,0,1343,9,117,
09/30/2019,513,683.0,,,-2767,0.0,0.0,-4913,3251,-1105,2562,-7.0,,0.0,0,412,0,1378,779,308,
12/31/2019,506,-1070.0,,,-1642,0.0,0.0,-6591,2988,1961,-276,-7.0,,0.0,-1,0,0,1155,-1423,-1412,
03/31/2020,96,4957.0,,,-1484,0.0,0.0,-2998,2238,-724,7441,0.0,0.0,0.0,0,0,0,1496,5945,6053,
06/30/2020,371,-1991.0,,,-641,0.0,0.0,-4117,2431,1045,-1335,-14.0,,614.0,-1001,0,0,2186,-3120,-1605,
