Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
09/30/1989,,-0.792,0.579,-0.13,2.732,2.389,,,,,,,,,,,,,,,,,
12/31/1989,,0.711,0.601,-0.79,0.7,1.222,,,,,,,,,,,,,,,,,
03/31/1990,,1.1,0.632,-0.011,-0.597,1.124,,,,,,,,,,,,,,,,,
06/30/1990,,0.057735,0.665961,0.752354,-3.367271,-1.891221,,,,,,,,,,,,,,,-1.891221,,
09/30/1990,,0.348,0.661,-0.026,-1.019,-0.036,,,,,,,,,,,,,,,,,
12/31/1990,,1.91,0.65,-0.002,-6.355,-3.797,,,,,,,,,,,,,,,,,
03/31/1991,,1.323,0.671,-0.078,-0.487,1.429,,,,,,,,,,,,,,,,,
06/30/1991,,0.943,0.661,-2.597,6.561,5.568,,,,,,,,,,,,,,,5.568,,
09/30/1991,,1.047,0.698,-0.391,-2.909,-1.555,,,,,,,,,,,,,,,,,
12/31/1991,,0.728,0.731,0.747,-2.295,-0.089,,,,,,,,,,,,,,,,,
03/31/1992,,-2.36,0.754,0.243,6.259,4.896,,,,,,,,,,,,,,,,,
06/30/1992,,-1.324,0.805,-1.364,0.506,-1.377,,,,,,,,,,,,,,,-1.377,,
09/30/1992,,0.081,0.795,-0.335,-3.199,-2.658,,,,,,,,,,,,,,,,,
12/31/1992,,0.095,0.831,0.749,-5.074,-3.399,,,,,,,,,,,,,,,,,
03/31/1993,,2.346,0.82,0.004,12.337,15.507,,,,,,,,,,,,,,,,,
