Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1990,,,,,,,10.854285,5.150041,0.067586,,1.8113,0.959719,0.959719,0.959719,,47.014925,94.366197,,
06/30/1990,,,,,,,10.73368,5.545927,1.386482,,3.489313,2.079723,2.079723,2.079723,,40.397351,37.222222,,
09/30/1990,,,,,,,3.822874,-3.918445,-8.55368,,-5.718382,-3.408729,-3.408729,-3.408729,,,,,
12/31/1990,,,,,,,13.822663,6.214841,1.245647,,0.937584,0.415216,0.415216,0.415216,,55.714286,219.354839,,
03/31/1991,,-8.946115,-1.300683,,,,3.828097,-6.57277,-13.235825,-39.677419,-9.732756,-6.157458,-10.798122,-10.798122,,,,,
06/30/1991,,-14.864157,-2.124928,,,,4.561777,-1.662455,-7.141907,-57.834507,-4.255885,-2.819524,-2.819524,-2.819524,,,,,
09/30/1991,,-12.990344,-1.918684,,,,7.326622,0.685123,-4.753915,22.540046,-1.146532,-1.146532,-1.146532,-1.146532,,,,,
12/31/1991,,-12.270412,-1.777529,,,,8.18559,-0.980762,-4.690054,,1.647177,1.219666,1.219666,1.219666,,25.954198,41.237113,-7.210448,
03/31/1992,,-3.568519,-0.481983,,,,5.091185,-3.014184,-8.130699,3.859203,-3.609422,-2.925532,-0.16464,-0.278622,,,,,
06/30/1992,,2.485801,0.416638,,,,11.039323,3.954551,-0.735212,32.304527,2.38387,1.982845,1.982845,1.760053,,16.82243,27.848101,1.793553,
09/30/1992,,6.661851,1.09061,2.400407,,,12.538192,5.963562,1.595564,28.545994,4.062465,2.285844,2.285844,2.059522,,43.732591,24.175824,5.051294,
12/31/1992,,10.231539,1.727,,,,14.697171,6.710244,2.635073,34.330794,6.597896,3.635992,3.635992,3.431723,,44.891641,13.095238,8.891695,
