Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,15.915,-45.941002,40.676998,25.214001,,,25.214001,-4.035,,,-4.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,17.306,-41.796001,39.731998,28.363001,,,28.363001,-8.993,,,-8.993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,28.415001,-45.137001,39.047001,29.461,,,29.461,5.044,,,5.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,35.963001,-45.532001,41.762001,32.648998,,,32.648998,7.084,,,7.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,57.893002,-42.325001,42.404999,32.731998,,,32.731998,25.080999,,,25.080999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,8.014,-33.110001,40.169998,32.665001,,,32.665001,-31.711,,,-31.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,57.243999,-40.259998,40.556,38.543999,,,38.543999,18.403999,,,18.403999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,53.077,-39.876999,41.167999,47.499001,,,47.499001,4.287,,,4.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,65.760002,-36.669998,43.720001,42.112,,,42.112,16.598,,,16.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,47.994999,-40.299,52.126999,43.328999,,,43.328999,-7.162,,,-7.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,41.521,-52.338001,54.676998,46.972,,,46.972,-7.79,,,-7.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,97.021004,-140.925003,81.523003,124.611,,,124.611,31.812,,,31.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,87.069,-766.590027,87.672997,757.007019,,,757.007019,8.979,,,8.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,76.586998,-17.129,88.499001,17.094,,,17.094,-11.877,,,-11.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,75.375999,-35.654999,84.483002,40.536999,,,40.536999,-13.989,,,-13.989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,106.860001,-39.851002,80.845001,37.360001,,,37.360001,28.506001,,,28.506001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.860001,,,
03/31/1994,62.192001,-27.357,77.245003,30.607,,,30.607,-18.302999,,,-18.302999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,85.364998,-12.879,83.249001,22.77,,,22.77,-7.775,,,-7.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,107.503998,-17.246,82.815002,30.599001,,,30.599001,11.336,,,11.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,113.932999,-29.669001,93.153,20.670002,,,20.670002,29.778999,,,29.778999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.932999,,,
03/31/1995,72.838997,-0.628,243.477005,-114.275002,,,-114.275002,-55.735001,,,-55.735001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,134.0,-29.294001,143.565994,17.277,,,17.277,2.451,,,2.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,164.847,-7.36,147.632004,-4.463,,,-4.463,29.038,,,29.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,149.007004,-6.651,154.376999,-5.898,,,-5.898,7.179,,,7.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.007004,,,
03/31/1996,128.110992,-34.604,156.873001,26.388,,,26.388,-20.546,,,-20.546,,,-111.401001,,,,-111.401001,,,,,,,,,,111.401001,,,,,,,,,,,,,,,
06/30/1996,161.059998,16.847,167.399002,-6.668,,,-6.668,-16.518,,,-16.518,,,-167.503998,,,,-167.503998,,,,,,,,,,167.503998,,,,,,,,,,,,,,,
09/30/1996,238.154999,-9.972,166.718002,12.914,,,12.914,68.495003,,,68.495003,,,-171.300003,,,,-171.300003,,,,,,,,,,171.300003,,,,,,,,,,,,,,,
12/31/1996,272.273987,-25.771,207.309998,31.566,,,31.566,59.168999,,,59.168999,,,-220.195007,,,,-220.195007,,,,,,,,,,220.195007,,,,,,,,,,,,,,,
03/31/1997,197.399994,-64.699997,212.399994,53.299999,,,53.299999,-3.6,,,-3.6,,-159.0,-180.0,0.0,,,-180.0,,,52.0,52.0,0.0,,,,,-31.0,85.200001,-7.9,101.900002,,,,-7.0,0.0,-7.0,-1.8,,123.599998,,,
06/30/1997,239.0,-37.400002,250.0,4.7,,,4.7,21.700001,,,21.700001,,-268.799988,-267.100006,0.0,,,-267.100006,,,43.700001,43.700001,0.0,,,,,-45.399982,839.50005,-8.6,-84.199951,,,,971.9,998.5,-26.6,-39.599998,,809.700012,,,
09/30/1997,305.700012,-55.200001,241.300003,37.099998,,,37.099998,82.5,,,82.5,,-417.299988,-234.899994,0.0,,,-234.899994,,,98.599998,98.599998,0.0,,,,,-280.999992,-579.399975,-8.7,-567.799975,,,,1.0,1.0,0.0,-3.9,,-691.0,,,
12/31/1997,113.199997,-81.400002,122.800003,171.899994,,,171.899994,-100.099998,,,-100.099998,,-211.399994,-113.5,0.0,,,-113.5,,,-194.300003,0.0,-194.300003,,,,,96.400009,-61.400002,-8.8,-85.400002,,,,4.3,4.3,,28.5,,-159.600006,,,
03/31/1998,282.6,-78.9,239.3,52.6,,-40.3,92.9,69.6,,,69.6,,-256.3,-194.7,0.0,,,-194.7,,,0.0,0.0,0.0,,,,,-61.6,225.0,-8.9,228.4,,,,5.8,5.8,0.0,-0.3,,251.3,15.1,64.1,
06/30/1998,156.800003,-84.800003,229.199997,80.300003,,,80.300003,-67.900002,,,-67.900002,,-268.399994,-207.5,0.0,,,-207.5,,,0.0,0.0,0.0,,,,,-60.899994,-42.6,-9.0,-39.700001,,,,8.1,8.1,0.0,-2.0,,-154.199997,58.099998,147.0,
09/30/1998,380.5,714.299988,271.0,-724.200012,,,-724.200012,119.400002,,,119.400002,,-389.100006,-265.200012,0.0,,,-265.200012,,,0.0,0.0,0.0,,,,,-123.899994,-72.999999,-9.2,-77.699999,,,,9.9,9.9,0.0,4.0,,-81.599998,31.0,67.400002,
12/31/1998,,,230.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
