Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1990,,,,,,,18.955043,7.290401,,4.860267,3.037667,3.037667,3.037667,,37.5,64.0,,
06/30/1990,,,,,,,22.880372,13.240418,,13.356562,8.594657,8.594657,8.594657,,35.652174,20.27027,,
09/30/1990,,,,,,,24.085006,15.112161,,13.105077,8.50059,8.50059,7.792208,,35.135135,24.242424,,
12/31/1990,,,,,,,24.613555,14.863258,,14.268728,9.036861,9.036861,7.728894,,36.666667,26.153846,,
03/31/1991,,7.586324,3.342386,7.948784,5.622733,,17.218543,5.960265,-22.058824,3.84106,2.384106,2.384106,2.384106,,37.931034,88.888889,0.842925,
06/30/1991,,7.542042,3.22211,8.206853,5.634763,,26.75709,16.276202,,13.933416,9.001233,9.001233,9.001233,,35.39823,23.287671,5.785676,
09/30/1991,,7.910751,3.337647,8.476058,5.934401,,27.294398,17.520858,,15.137068,9.296782,9.296782,9.296782,,38.582677,23.076923,6.085193,
12/31/1991,,-8.189655,-2.886828,,,,26.328217,15.820543,150.0,-71.310508,-44.391972,-44.391972,-46.871311,,,,,
03/31/1992,,-7.671529,-2.616299,,,,21.428571,10.150376,83.72093,7.64411,4.761905,4.761905,4.135338,,37.704918,57.575758,-3.254588,
06/30/1992,,-7.60389,-2.505305,,,,27.758007,17.081851,37.5,14.709371,9.134045,9.134045,8.422301,,37.903226,25.352113,-5.676144,
09/30/1992,,-7.816334,-2.546201,,,,25.383707,17.355372,0.0,14.639906,8.854782,8.854782,8.264463,,39.516129,31.428571,-5.359772,
12/31/1992,,9.72067,3.913677,8.532118,6.44986,,30.571762,18.903151,280.0,17.619603,10.735123,10.735123,10.151692,,39.072848,25.287356,7.26257,
03/31/1993,,7.355715,2.952837,7.066266,7.248285,,22.303922,10.416667,22.222222,8.946078,5.637255,-3.431373,-4.044118,,36.986301,53.658537,3.408746,
06/30/1993,,7.538062,2.993252,7.039106,7.188813,,28.980527,18.098511,46.666667,15.693013,9.736541,9.736541,9.049255,,37.956204,27.848101,5.438855,
09/30/1993,,4.693954,1.947186,5.158053,5.183477,,29.274005,18.266979,128.571429,6.791569,-0.351288,-0.351288,-0.936768,,105.172414,,,
12/31/1993,,5.077626,2.096573,5.367952,4.613239,,31.868132,21.098901,56.603774,18.901099,11.648352,11.648352,11.098901,,38.372093,23.762376,3.871061,
03/31/1994,,5.048616,1.990431,5.134355,3.843931,,16.883117,-3.77804,,-6.257379,-3.77804,-3.77804,-4.368359,,,,,
06/30/1994,,5.563744,2.164747,5.407181,4.12065,,29.337539,19.873817,39.74359,17.45531,10.6204,10.6204,9.989485,,39.156627,26.315789,4.099601,
09/30/1994,,9.52381,3.481601,7.943184,6.596093,,29.293994,20.442571,40.0,18.33509,11.169652,11.169652,10.642782,,39.08046,29.70297,6.694955,
12/31/1994,,10.752307,3.98279,8.752999,5.934018,,34.482759,25.862069,82.894737,24.84787,15.111562,15.111562,14.604462,,39.183673,20.833333,8.512243,
03/31/1995,,13.838965,4.989984,10.383054,8.984192,,23.734533,12.823397,347.619048,10.23622,6.186727,6.186727,5.061867,,39.56044,66.666667,4.612988,
06/30/1995,,14.338559,5.171384,10.700583,9.133323,,31.310943,19.501625,-32.142857,17.87649,13.326111,13.326111,12.676056,,25.454545,24.786325,10.784557,
09/30/1995,,14.322514,5.218211,10.805551,9.238606,,32.502709,22.535211,,20.368364,12.567714,12.567714,12.026002,,38.297872,31.531532,9.806406,
12/31/1995,,8.360571,3.152992,7.689295,7.735058,,32.702419,25.131441,-45.714286,-5.467928,-3.154574,-3.154574,-3.154574,,,,,
03/31/1996,,7.809261,2.851372,7.242325,9.176048,,18.897638,7.76153,,5.624297,3.487064,3.487064,3.149606,,38.0,125.0,-1.952315,
06/30/1996,,4.731183,1.687316,5.079593,8.985951,,29.083246,19.915701,34.615385,4.004215,2.739726,2.739726,2.423604,,31.578947,147.826087,-2.26274,
09/30/1996,,5.448155,1.933216,5.470465,9.355452,,32.261522,25.187567,270.0,23.151125,14.790997,14.790997,14.362272,,36.111111,29.104478,3.862498,
12/31/1996,,11.057692,4.065137,8.856709,6.667908,,33.828208,11.45281,-1637.5,24.07211,15.588547,15.588547,14.528102,,35.242291,27.737226,7.990595,
03/31/1997,,11.997273,4.409934,9.52065,8.231103,,24.944812,12.803532,276.470588,10.816777,6.732892,6.732892,6.401766,,37.755102,68.965517,3.723292,
