Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/29/1989,18.73,3.675,3.675,0.0,9.751,,,2.343,,,,,1.368,,,,17.136999,1.241,,,0.0,,,0.352,,,,,0.352,1.593,,1.819,1.819,,,,0.09,,,,,,6.528,,,,6.528,8.437,0.19,,,,,0.107,,,,,0.107,0.297,8.734,2.719,0.069,,,0.0,,7.208,9.996,0.0,9.996,18.730001,
01/28/1990,22.517,6.147,6.147,0.0,9.712,,,2.645,,,,,2.202,,,,20.705999,1.626,,,0.0,,,0.185,,,,,0.185,1.811,,2.95,2.95,,,,0.084,,,,,,6.233,,,,6.233,9.267,0.168,,,,,0.107,,,,,0.107,0.275,9.542,0.0,,,,0.0,,12.975,12.975,0.0,12.975,22.517001,
04/29/1990,76.282997,55.978001,49.047001,6.931,11.283,,,3.246,,,,,1.661,,,,72.167999,3.477,,,0.0,,,0.638,,,,,0.638,4.115,,4.915,4.915,,,,0.0,,,,,,6.533,,,,6.533,11.448,0.0,,,,,0.252,,,,,0.252,0.252,11.7,0.0,,,,0.0,,64.583,64.583,0.0,64.583,76.283,
07/29/1990,82.672997,56.943998,35.841999,21.101999,15.874,,,3.701,,,,,1.673,,,,78.192001,4.114,5.184,-1.07,0.0,,,0.367,,,,,0.367,4.481,,4.973,4.973,,,,0.0,,,,,,8.266,,,,8.266,13.239,0.0,,,,,0.23,,,,,0.23,0.23,13.469,0.0,50.611,,,0.0,,18.593,69.204,0.0,69.204,82.673,
10/28/1990,98.960999,62.56,30.523001,32.036999,23.410999,,,5.629,,,,,2.106,,,,93.706001,4.851,,,,,,0.404,,,,,0.404,5.255,,8.118,8.118,,,,0.0,,,,,,13.316,,,,13.316,21.434,,,,,,0.205,,,,,0.205,0.205,21.639,,50.805,,,0.0,,26.517,77.322,,77.322,98.961,
01/27/1991,113.449997,67.217999,36.800999,30.417,27.790001,,,8.469,,,,,2.699,,,,106.176003,6.655,,,,,,0.619,,,,,0.619,7.274,,7.277,7.277,,,,,,,,,,17.407999,,,,17.407999,24.684999,0.0,,,,,0.181,,,,,0.181,0.181,24.865999,,51.669998,,,0.0,,36.914001,88.583999,,88.583999,113.449998,
04/28/1991,130.425995,83.458,48.876999,34.581001,28.041,,,6.029,,,,,3.51,,,,121.038002,9.136,,,,,,0.252,,,,,0.252,9.388,,6.502,6.502,,,,,,,,,,23.231,,,,23.231,29.733,0.0,,,,,0.156,,,,,0.156,0.156,29.889,,51.977001,,,0.0,,48.560001,100.537002,,100.537002,130.426002,
07/28/1991,154.145004,91.427002,40.323002,51.104,34.659,,,6.078,,,,,8.797,,,,140.960999,12.665,16.457001,-3.792,0.0,,,0.519,,,,,0.519,13.184,,7.743,7.743,,,,0.0,,,,,,18.507,,,,18.507,26.25,0.0,,,,,0.436,,,,,0.436,0.436,26.686,0.0,65.737,,,0.0,,61.722,127.459,0.0,127.459,154.145,
10/27/1991,187.414993,119.728996,40.016998,79.711998,34.138,,,6.261,,,,,10.126,,,,170.253998,16.448,,,,,,0.713,,,,,0.713,17.161,,9.001,9.001,,,,1.931,,,,,,27.760001,,,,27.760001,38.692001,0.0,,,,,0.422,,,,,0.422,0.422,39.114001,,71.096001,,,0.0,,77.205002,148.301003,,148.301003,187.415004,
01/26/1992,218.539993,144.414997,40.271,104.143997,35.976002,,,5.856,,,,,12.071,,,,198.317993,19.604,,,,,,0.618,,,,,0.618,20.222,,10.736,10.736,,,,1.723,,,,,,32.420002,,,,32.420002,44.879002,0.0,,,,,0.403,,,,,0.403,0.403,45.282002,,77.494003,,,0.0,,95.764,173.258003,,173.258003,218.540005,
04/26/1992,265.61499,138.413001,24.664,113.749001,48.435001,,,7.292,,,,,14.019,,,,208.158997,23.656,,,33.181999,,,0.618,,,,,0.618,57.455999,,13.456,13.456,,,,0.587,,,,,,44.199001,,,,44.199001,58.242001,0.0,,,,,0.404,,,,,0.404,0.404,58.646001,,88.056,,,0.0,,118.913002,206.969002,,206.969002,265.615003,
07/26/1992,323.933014,156.431999,39.955002,116.476997,61.257999,,,9.142,,,,,20.243999,,,,247.076004,28.017,38.268002,-10.251,46.866001,,,1.974,,,,,1.974,76.857001,,16.261999,16.261999,,,,,,,,,,62.060999,,,,62.060999,78.322998,,,,,,,,,,,,,,,98.940002,,,0.0,,146.669998,245.61,,245.61,,
10/24/1992,373.231995,174.011993,43.403,130.608994,74.114998,,,9.105,,,,,22.417999,,,,279.649994,32.083,,,59.028,,,2.471,,,,,2.471,93.582,,14.097,14.097,,,,0.0,,,,,,70.32,,,,70.32,84.417,0.0,,,,,0.0,,,,,0.0,0.0,84.417,0.0,109.150002,,,0.0,,179.664993,288.814995,0.0,288.814995,373.231995,
01/24/1993,424.895996,173.010002,60.636002,112.374001,97.724998,,,15.947,,,,,25.509001,,,,312.19101,33.841,,,76.278999,,,2.585,,,,,2.585,112.704999,,19.683001,19.683001,,,,0.0,,,,,,60.786001,,,,60.786001,80.469002,0.0,,,,,0.0,,,,,0.0,0.0,80.469002,0.0,126.675003,,,0.0,,217.751999,344.427002,0.0,344.427002,424.896004,
04/25/1993,508.911011,144.211002,44.716,99.495003,111.783997,,,21.597,,,,,29.34,,,,306.932007,40.735001,,,125.891998,,,35.352001,,,,,35.352001,201.979,,21.851999,21.851999,,,,0.0,,,,,,88.593,,,,88.593,110.445,0.0,,,,,0.0,,,,,0.0,0.0,110.445,0.0,134.181,,,0.0,,264.285004,398.466003,0.0,398.466003,508.911003,
07/25/1993,595.213013,88.984999,27.247,61.737999,129.108994,,,23.5,,,,,26.702,,,,268.29599,48.672001,72.209999,-23.538,235.360001,,,42.884998,,,,,42.884998,326.917,,24.743999,24.743999,,,,0.0,,,,,,95.287999,,,,95.287999,120.031998,0.0,,,,,0.0,,,,,0.0,0.0,120.031998,0.0,157.479004,,,0.0,,317.701996,475.181,0.0,475.181,595.212998,
10/24/1993,710.177979,67.127001,2.671,64.456001,156.197006,,,27.684,,,,,36.516998,,,,287.524994,55.702,,,317.596008,,,49.355,,,,,49.355,422.653008,,33.181,33.181,,,,0.0,,,,,,130.106003,,,,130.106003,163.287003,0.0,,,,,0.0,,,,,0.0,0.0,163.287003,0.0,177.960007,,,0.0,,368.931,546.891006,0.0,546.891006,710.178009,
01/30/1994,801.695984,115.972,64.557999,51.414001,174.278,,,36.859001,,,,,45.242001,,,,372.351013,62.740002,,,359.260986,,,7.344,,,,,7.344,429.344988,,34.188,34.188,,,,0.0,,,,,,118.683002,,,,118.683002,152.871002,0.0,,,,,0.0,,,,,0.0,0.0,152.871002,0.0,203.134995,,,0.0,,445.690002,648.824997,0.0,648.824997,801.695999,
05/01/1994,929.669983,176.609001,95.170998,81.438004,202.164001,,,33.111,,,,,52.080002,,,,463.963989,70.146004,,,311.092987,,,84.467003,,,,,84.467003,465.705994,,29.143,29.143,,,,0.0,,,,,,150.026007,,,,150.026007,179.169006,0.0,,,,,0.0,,,,,0.0,0.0,179.169006,0.0,220.121002,,,0.0,,530.380005,750.501007,0.0,750.501007,929.670013,
07/31/1994,1053.69397,182.785995,53.567001,129.218994,237.570007,,,27.896,,,,,59.424999,,,,507.677002,77.448997,131.798996,-54.349998,371.493988,,,97.073997,,,,,97.073997,546.016982,,31.708,31.708,,,,0.0,,,,,,173.803993,,,,173.803993,205.511993,0.0,,,,,0.0,,,,,0.0,0.0,205.511993,0.0,227.835007,,,0.0,,620.346985,848.181992,0.0,848.181992,1053.693985,
10/30/1994,1258.024048,279.378006,140.740005,138.638,270.22699,,,31.787001,,,,,64.158997,,,,645.551025,91.335999,,,407.828003,,,113.308998,,,,,113.308998,612.473,,36.868,36.868,,,,0.0,,,,,,237.091991,,,,237.091991,273.959991,0.0,,,,,0.0,,,,,0.0,0.0,273.959991,0.0,240.662003,,,0.0,,702.820007,943.48201,40.582001,984.064011,1258.024002,
01/29/1995,1358.239014,259.039993,94.240997,164.798996,295.877991,,,54.952999,,,,,67.987,,,,677.857971,109.064003,,,409.451996,,,161.865005,,,,,161.865005,680.381004,,69.128998,69.128998,,,,0.0,,,,,,212.194,,,,212.194,281.322998,0.0,,,,,0.0,,,,,0.0,0.0,281.322998,0.0,285.820007,,,0.0,,750.499023,1036.319031,40.597,1076.916031,1358.239029,
04/30/1995,1539.223999,364.581993,107.010002,257.571991,355.503998,,,52.863998,,,,,78.736,,,,851.685974,119.554001,,,401.845001,,,166.139008,,,,,166.139008,687.53801,,66.398003,66.398003,,,,0.0,,,,,,250.776009,,,,250.776009,317.174011,0.0,,,,,0.0,,,,,0.0,0.0,317.174011,0.0,321.778992,,,0.0,,859.656006,1181.434998,40.615002,1222.049999,1539.22401,
07/30/1995,1991.948975,564.141998,284.388,279.753998,421.747009,,,81.805,,,,,116.466003,,,,1184.160034,172.561005,,,410.798004,,,224.429993,,,,,224.429993,807.789002,,59.812,59.812,,,,0.0,,,,,,329.069012,,,,329.069012,388.881012,0.0,,,,,0.0,,,,,0.0,0.0,388.881012,0.0,508.674011,,,0.0,,1053.602051,1562.276062,40.792,1603.068062,1991.949074,
10/29/1995,2147.885986,598.268005,187.520996,410.747009,438.480011,,,129.350006,,,,,124.211998,,,,1290.310059,157.884003,,,462.48999,,,237.201996,,,,,237.201996,857.575989,,88.952003,88.952003,,,,0.0,,,,,,387.808983,,,,387.808983,476.760986,0.0,,,,,0.0,,,,,0.0,0.0,476.760986,0.0,446.394012,,,0.0,,1183.911987,1630.306,40.819,1671.125,2147.885986,
