Date,Revenue,Revenue From Electric,Revenue from Gas,Other Gas Revenue,Revenue from Water,Other Revenue,Cost of Revenue,Fuel & Purchased Power Cost,Fuel Cost,Purchased Power Cost,Purchased Gas & Water Cost,Purchased Gas Cost,Purchased Water Cost,Other Cost of Revenue,Gross Profit,Operating Expenses,Maintenance Expenses,Depreciation Expenses,Taxes Other Than Income,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Total Interest Income,AFUDC - Equity,Interest Expense,Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,1494.583984,1082.064941,296.609009,,0.0,115.910004,-478.529999,357.190002,357.190002,,121.339996,,,,1016.053986,-737.325989,130.774994,84.195999,283.782013,238.572998,278.727997,-62.504,,,1.276,62.493,57.556999,-0.473,5.409,1.287,216.223997,-78.150002,138.074005,0.0,,,138.073995,0.0,138.074005,-9.28,,128.794005,128.794005,,228.156998,0.56,0.56,0.56,228.156998,0.56,0.56,0.56,
06/30/1990,1263.269043,1064.062012,145.901001,,0.0,53.306,-414.877991,361.914001,361.914001,,52.964001,,,,848.391052,-730.328003,146.662994,84.999001,267.092987,231.572998,118.063004,-47.037999,,,1.366,61.549999,57.441002,-0.508,4.617,-13.146,71.025004,-21.959999,49.064999,0.0,,,49.065005,0.0,49.064999,-9.28,,39.784999,39.784999,,228.171997,0.18,0.18,0.18,228.171997,0.18,0.18,0.18,
09/30/1990,1613.827026,1463.863037,91.411003,,0.0,58.553001,-396.503998,368.813995,368.813995,,27.690001,,,,1217.323029,-741.94397,106.117996,86.292999,311.868988,237.664001,475.378998,-76.942002,,,1.786,64.609001,59.576,-0.663,5.696,14.119,398.436996,-135.179993,263.256989,0.0,,,263.257004,0.0,263.256989,-9.276,,253.980989,253.980989,,228.199005,1.11,1.11,1.11,228.199005,1.11,1.11,1.11,
12/31/1990,1367.208008,1134.774048,164.052002,,0.0,68.382004,-399.320007,347.067993,347.067993,,52.251999,,,,967.888,-750.047974,125.961998,87.311996,296.363007,240.410995,217.839996,-42.772996,,,2.119,66.630997,61.111,-0.786,6.306,-21.739,175.067,-53.970001,121.097,0.0,,,121.096999,0.0,121.097,-9.242,,111.855,111.855,,228.199005,0.49,0.49,,228.199005,0.49,0.49,0.49,
03/31/1991,1479.386963,1070.685059,292.647003,,0.0,116.055,-484.415009,372.845001,372.845001,,111.57,,,,994.971954,-783.518005,147.490005,88.817001,301.985992,245.225006,211.453995,-49.407,,,2.815,69.639,66.009003,-1.132,4.762,-17.417,162.046995,-55.349998,106.696999,0.0,,,106.696996,0.0,106.696999,-9.226,,97.470999,97.470999,,228.238998,0.43,0.43,0.43,228.238998,0.43,0.43,0.43,
06/30/1991,1330.645996,1137.696045,137.572998,,0.0,55.376999,-409.165009,366.298004,366.298004,,42.867001,,,,921.480988,-762.554993,132.320007,88.554001,290.377014,251.304001,158.925995,-60.444998,,,3.642,69.642998,66.32,-1.465,4.788,-5.556,98.480997,-33.830002,64.651001,0.0,,,64.650995,0.0,64.651001,-9.221,,55.430001,55.430001,,228.270004,0.24,0.24,0.24,228.270004,0.24,0.24,0.24,
09/30/1991,1720.295044,1572.456055,87.630997,,0.0,60.208,-419.197998,395.898987,395.898987,,23.299,,,,1301.097046,-781.531982,111.359001,90.505997,329.501007,250.166,519.565002,-59.990002,,,1.958,74.691002,69.781998,-0.787,5.696,-12.743,459.575001,-156.210007,303.36499,0.0,,,303.364994,0.0,303.36499,-9.218,,294.14699,294.14699,,228.300995,1.29,1.29,1.29,228.300995,1.29,1.29,1.29,
12/31/1991,1342.72998,1115.980957,160.481003,,0.0,66.267998,-351.151001,305.53299,305.53299,,45.618,,,,991.578979,-786.137024,129.731995,91.948997,306.014008,258.441986,205.442001,-67.585002,,,1.871,75.774002,69.25,-0.752,7.276,-6.318,137.856999,-45.66,92.196999,0.0,,,92.196999,0.0,92.196999,-9.167,,83.029999,83.029999,,228.322006,0.36,0.36,,228.322006,0.36,0.36,0.36,
03/31/1992,1456.105957,1053.010986,283.764008,,0.0,119.331001,-419.227997,321.036011,321.036011,,98.192001,,,,1036.87796,-789.812988,124.169998,93.148003,319.11499,253.380005,247.065002,-69.853004,,,2.216,74.132004,69.975998,-1.078,5.234,-2.063,177.211999,-60.73,116.482002,0.0,,,116.481999,0.0,116.482002,-9.168,,107.314002,107.314002,,228.337006,0.47,0.47,0.47,228.337006,0.47,0.47,0.47,
06/30/1992,1280.109985,1072.0,150.917007,,0.0,57.193001,-332.891998,284.692993,284.692993,,48.199001,,,,947.217987,-760.356995,123.674004,94.609001,281.862,260.212006,186.860992,-67.294997,,,2.081,72.922997,69.032997,-1.014,4.904,-3.547,119.565996,-42.029999,77.536003,0.0,,,77.535997,0.0,77.536003,-9.055,,68.481003,68.481003,,229.039993,0.3,0.3,0.3,229.039993,0.3,0.3,0.3,
