Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1992,975.0,,-744.0,,231.0,,-113.0,,,,118.0,-1.0,,0.0,,0.0,,1.0,117.0,-44.0,73.0,2.0,,,71.0,0.0,71.0,0.0,,71.0,71.0,,162.600006,0.325,0.335,,162.600006,0.325,0.335,0.335,
03/31/1993,941.0,,-711.0,,230.0,,-106.0,,,,124.0,-2.0,,2.0,,0.0,,0.0,122.0,-46.0,76.0,476.0,,,-400.0,0.0,-400.0,0.0,,-400.0,-400.0,,164.399994,-2.435,0.46,,164.399994,-2.435,0.46,0.46,
06/30/1993,1012.0,,-750.0,,262.0,,-116.0,,,,146.0,0.0,,2.0,,0.0,,-2.0,146.0,-54.0,92.0,0.0,,,92.0,0.0,92.0,0.0,,92.0,92.0,,164.399994,0.45,0.45,,164.399994,0.45,0.45,0.45,
09/30/1993,970.0,,-746.0,,224.0,,-111.0,,,,113.0,-4.0,,0.0,,0.0,,4.0,109.0,-48.0,61.0,0.0,,,61.0,0.0,61.0,0.0,,61.0,61.0,,164.399994,0.255,0.255,,164.399994,0.255,0.255,0.255,
12/31/1993,980.0,,-799.0,,181.0,,-113.0,,,,68.0,-6.0,,2.0,,0.0,,4.0,62.0,-24.0,38.0,13.0,,,25.0,0.0,38.0,0.0,,38.0,38.0,,165.199996,0.14,0.14,0.14,165.199996,0.14,0.14,0.14,
03/31/1994,983.0,,-756.0,,227.0,,-110.0,,,,117.0,-25.0,,25.0,,0.0,,0.0,92.0,-36.0,56.0,0.0,,,56.0,0.0,56.0,0.0,,56.0,56.0,,165.199997,0.34,0.34,,165.199997,0.34,0.34,0.34,
06/30/1994,1047.0,,-772.0,,275.0,,-121.0,,,,154.0,-18.0,,21.0,,0.0,,-3.0,136.0,-53.0,83.0,0.0,,,83.0,0.0,83.0,0.0,,83.0,83.0,,165.800003,0.5,0.5,,165.800003,0.5,0.5,0.5,
09/30/1994,1130.0,,-838.0,,292.0,,-113.0,,,,179.0,-27.0,,21.0,,0.0,,6.0,152.0,-59.0,93.0,0.0,,,93.0,0.0,93.0,0.0,,93.0,93.0,,165.399994,0.56,0.56,,165.399994,0.56,0.56,0.56,
12/31/1994,1169.0,,-850.0,,319.0,,-133.0,,,,186.0,-16.0,,20.0,,0.0,,-4.0,170.0,-66.0,104.0,0.0,,,104.0,0.0,104.0,0.0,,104.0,104.0,,166.199996,0.625,0.625,,166.199996,0.625,0.625,0.625,
03/31/1995,1232.0,,-882.0,,350.0,,-122.0,,,,228.0,-15.0,,19.0,,0.0,,-4.0,213.0,-81.0,132.0,0.0,,,132.0,0.0,132.0,0.0,,132.0,132.0,,166.199997,0.79,0.79,,166.199997,0.79,0.79,0.79,
06/30/1995,1321.0,,-927.0,,394.0,,-129.0,,,,265.0,-10.0,,20.0,,0.0,,-10.0,255.0,-97.0,158.0,0.0,,,158.0,0.0,158.0,0.0,,158.0,158.0,,166.399994,0.95,0.95,,166.399994,0.95,0.95,0.95,
09/30/1995,1266.0,,-858.0,,408.0,,-148.0,,,,260.0,-21.0,,19.0,,0.0,,2.0,239.0,-91.0,148.0,0.0,,,148.0,0.0,148.0,0.0,,148.0,148.0,,163.800003,0.905,0.905,,163.800003,0.905,0.905,0.905,
12/31/1995,1221.0,,-869.0,,352.0,,-141.0,,,,211.0,-19.0,,21.0,,0.0,,-2.0,192.0,-71.0,121.0,0.0,,,121.0,0.0,121.0,0.0,,121.0,121.0,,161.800004,0.75,0.75,,161.800004,0.75,0.75,0.75,
03/31/1996,1261.0,,-940.0,,321.0,,-130.0,,,,191.0,-13.0,,15.0,,0.0,,-2.0,178.0,-66.0,112.0,0.0,,,112.0,0.0,112.0,0.0,,112.0,112.0,,161.199996,0.695,0.695,0.695,161.199996,0.695,0.695,0.695,
06/30/1996,1241.0,,-922.0,,319.0,,-129.0,,,,190.0,-13.0,,20.0,,0.0,,-7.0,177.0,-65.0,112.0,0.0,,,112.0,0.0,112.0,0.0,,112.0,112.0,,159.199997,0.705,0.705,0.655,159.199997,0.705,0.705,0.655,
09/30/1996,1167.0,,-873.0,,294.0,,-125.0,,,,169.0,-13.0,,16.0,,0.0,,-3.0,156.0,-60.0,96.0,0.0,,,96.0,0.0,96.0,0.0,,96.0,96.0,,157.0,0.61,0.61,0.61,157.0,0.61,0.61,0.61,
12/31/1996,1113.0,,-868.0,,245.0,,-132.0,,,,113.0,-17.0,,16.0,,0.0,,1.0,96.0,-36.0,60.0,0.0,,,60.0,0.0,60.0,0.0,,60.0,60.0,,156.399994,0.385,0.385,0.385,156.399994,0.385,0.385,0.385,
03/31/1997,1171.0,,-911.0,,260.0,0.0,-126.0,78.0,,48.0,134.0,-20.0,19.0,,,,,1.0,114.0,-42.0,72.0,,,,72.0,,72.0,0.0,0.0,72.0,72.0,,155.2,0.46,0.46,0.46,156.4,0.46,0.46,0.46,
06/30/1997,1208.0,,-925.0,,283.0,0.0,-126.0,84.0,,42.0,157.0,-16.0,22.0,,,,,-6.0,141.0,-51.0,90.0,,,,90.0,,90.0,0.0,0.0,90.0,90.0,,156.2,0.57,0.57,0.57,157.4,0.57,0.57,0.57,
09/30/1997,1145.0,,-857.0,,288.0,0.0,-140.0,85.0,,55.0,148.0,0.0,26.0,,,,,-26.0,148.0,-52.0,96.0,,,,96.0,,96.0,0.0,0.0,96.0,96.0,,157.8,0.61,0.61,0.61,158.0,0.61,0.61,0.61,
12/31/1997,1154.0,,-889.0,,265.0,0.0,-136.0,90.0,,46.0,129.0,-86.0,20.0,,,,,66.0,43.0,-15.0,28.0,,,,28.0,,28.0,,0.0,28.0,28.0,,156.4,0.18,0.18,0.575,158.0,0.175,0.175,0.57,
03/31/1998,1148.0,,-894.0,,254.0,,-121.0,,,,133.0,-19.0,,21.0,,0.0,,-2.0,114.0,-40.0,74.0,0.0,,,74.0,0.0,74.0,0.0,,74.0,74.0,,156.800004,0.475,0.475,0.475,158.399994,0.47,0.47,0.47,
06/30/1998,1165.0,,-868.0,,297.0,,-133.0,,,,164.0,-15.0,,21.0,,0.0,,-6.0,149.0,-52.0,97.0,0.0,,,97.0,0.0,97.0,0.0,,97.0,97.0,,158.0,0.61,0.61,0.61,159.800004,0.605,0.605,0.605,
09/30/1998,1131.0,,-870.0,,261.0,0.0,-120.0,75.0,,45.0,141.0,-18.0,28.0,,,,,-10.0,123.0,-43.0,80.0,,,,80.0,,80.0,0.0,0.0,80.0,80.0,,158.2,0.505,0.505,0.505,159.0,0.5,0.5,0.5,
12/31/1998,1037.0,,-914.0,,123.0,,-127.0,,,,-4.0,-22.0,,26.0,,0.0,,-4.0,-26.0,24.0,-2.0,0.0,,,-2.0,0.0,-2.0,0.0,,-2.0,-2.0,,158.199997,-0.01,-0.01,0.07,159.0,-0.01,-0.01,0.07,
03/31/1999,1023.0,,-829.0,,194.0,0.0,-123.0,76.0,,47.0,71.0,-34.0,26.0,31.0,-5.0,0.0,,8.0,37.0,-12.0,25.0,0.0,,,25.0,0.0,25.0,0.0,0.0,25.0,25.0,,157.4,0.16,0.16,0.2,157.6,0.155,0.155,0.195,
06/30/1999,1122.0,,-897.0,,225.0,,-129.0,,,,96.0,-32.0,28.0,28.0,,0.0,,4.0,64.0,-21.0,43.0,0.0,,,43.0,0.0,43.0,0.0,,43.0,43.0,,156.0,0.275,0.275,0.275,156.800003,0.27,0.27,0.27,
09/30/1999,1190.0,,-976.0,,214.0,,-139.0,,,,75.0,-26.0,35.0,35.0,,0.0,,-9.0,49.0,-16.0,33.0,0.0,,,33.0,0.0,33.0,0.0,,33.0,33.0,,156.0,0.21,0.21,0.21,156.8,0.21,0.21,0.21,
12/31/1999,1255.0,,-1029.0,,226.0,,-151.0,,,,75.0,-152.0,37.0,37.0,,0.0,,115.0,-77.0,25.0,-52.0,0.0,,,-52.0,0.0,-52.0,0.0,0.0,-52.0,-52.0,,156.2,-0.332906,-0.332906,0.1,156.2,-0.332906,-0.332906,0.1,
03/31/2000,1217.0,,-967.0,,250.0,0.0,-118.0,80.0,,38.0,132.0,-30.0,33.0,35.0,-2.0,,,-3.0,102.0,-34.0,68.0,,,,68.0,,68.0,0.0,0.0,68.0,68.0,,155.0,0.44,0.44,0.44,155.2,0.44,0.44,0.44,
06/30/2000,1316.0,,-1026.0,,290.0,0.0,-117.0,81.0,,36.0,173.0,-45.0,32.0,34.0,-2.0,0.0,,13.0,128.0,-42.0,86.0,0.0,,,86.0,0.0,86.0,0.0,0.0,86.0,86.0,,153.0,0.56,0.56,0.56,153.8,0.56,0.56,0.56,
