Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,3934,63,63,0.0,,,,2144,,,,,154,,,,,,2361,1348,,,0.0,225,,,,,,225,1573,,550,550,,,,734.0,,,,,,328,,,328,1612,321,,,,,180,,,,,,180,501,2113,1.0,247.0,,,-91.0,,1664.0,1821,0.0,1821,3934,
07/29/1989,3996,23,23,0.0,,,,2239,,,,,160,,,,,,2422,1352,,,0.0,222,,,,,,222,1574,,509,509,,,,821.0,,,,,,331,,,331,1661,314,,,,,185,,,,,,185,499,2160,1.0,215.0,,,0.0,,1620.0,1836,0.0,1836,3996,
10/28/1989,4389,46,46,0.0,,,,2553,,,,,180,,,,,,2779,1388,,,0.0,222,,,,,,222,1610,,591,591,,,,1027.0,,,,,,368,,,368,1986,311,,,,,193,,,,,,193,504,2490,1.0,218.0,,,-1.0,,1681.0,1899,0.0,1899,4389,
01/27/1990,3907,56,56,0.0,166.0,,,1963,,,,,50,,,,,,2235,1447,2233.0,-786.0,0.0,225,,,,,,225,1672,,791,791,,,,19.0,,,,,,489,,,489,1299,306,,,,,226,,,,,,226,532,1831,1.0,222.0,,,-3.0,,1856.0,2076,0.0,2076,3907,
04/28/1990,4343,53,53,0.0,,,,2398,,,,,198,,,,,,2649,1470,,,0.0,224,,,,,,224,1694,,536,536,,,,840.0,,,,,,349,,,349,1725,295,,,,,232,,,,,,232,527,2252,1.0,224.0,,,-4.0,,1870.0,2091,0.0,2091,4343,
07/28/1990,4479,48,48,0.0,,,,2500,,,,,188,,,,,,2736,1512,,,0.0,231,,,,,,231,1743,,529,529,,,,933.0,,,,,,346,,,346,1808,290,,,,,240,,,,,,240,530,2338,1.0,237.0,,,-1.0,,1904.0,2141,0.0,2141,4479,
10/26/1990,4883,82,82,0.0,,,,2804,,,,,183,,,,,,3069,1575,,,0.0,239,,,,,,239,1814,,637,637,,,,1118.0,,,,,,404,,,404,2159,288,,,,,241,,,,,,241,529,2688,1.0,237.0,,,-12.0,,1969.0,2195,0.0,2195,4883,
01/26/1991,4305,50,50,0.0,198.0,,,2091,,,,,52,,,,,,2391,1663,2524.0,-861.0,0.0,251,,,,,,251,1914,,927,927,,,,30.0,,,,,,479,,,479,1436,269,,,,,260,,,,,,260,529,1965,1.0,241.0,,,-13.0,,2111.0,2340,0.0,2340,4305,
04/27/1991,4811,92,92,0.0,,,,2615,,,,,177,,,,,,2884,1615,,,,312,,,,,,312,1927,,578,578,,,,1078.0,,,,,,329,,,329,1985,259,,,,,421,,,,,,421,680,2665,1.0,244.0,,,-13.0,,1914.0,2146,0.0,2146,4811,
07/27/1991,4856,61,61,0.0,,,,2677,,,,,189,,,,,,2927,1617,,,0.0,312,,,,,,312,1929,,523,523,,,,1270.0,,,,,,298,,,298,2091,239,,,,,415,,,,,,415,654,2745,1.0,247.0,,,-1.0,,1864.0,2111,0.0,2111,4856,
10/26/1991,5356,68,68,0.0,,,,3064,,,,,196,,,,,,3328,1674,,,0.0,354,,,,,,354,2028,,688,688,,,,1463.0,,,,,,345,,,345,2496,242,,,,,433,,,,,,433,675,3171,1.0,249.0,,,-2.0,,1937.0,2185,0.0,2185,5356,
01/25/1992,4618,69,69,0.0,162.0,,,2152,,,,,207,,,,,,2590,1642,2622.0,-980.0,0.0,386,,,,,,386,2028,,919,919,,,,121.0,,,,,,552,,,552,1592,425,,,,,570,,,,,,570,995,2587,1.0,251.0,,,-7.0,,1786.0,2031,0.0,2031,4618,
04/25/1992,5056,97,97,0.0,,,,2626,,,,,369,,,,,,3092,1579,,,0.0,385,,,,,,385,1964,,589,589,,,,1084.0,,,,,,467,,,467,2140,413,,,,,555,,,,,,555,968,3108,1.0,252.0,,,-8.0,,1703.0,1948,0.0,1948,5056,
07/25/1992,5172,120,120,0.0,,,,2690,,,,,363,,,,,,3173,1617,,,0.0,382,,,,,,382,1999,,625,625,,,,1136.0,,,,,,431,,,431,2192,414,,,,,568,,,,,,568,982,3174,1.0,255.0,,,-2.0,,1744.0,1998,0.0,1998,5172,
10/24/1992,5594,118,118,0.0,,,,3024,,,,,366,,,,,,3508,1657,,,0.0,429,,,,,,429,2086,,658,658,,,,1458.0,,,,,,496,,,496,2612,361,,,,,582,,,,,,582,943,3555,1.0,258.0,,,-2.0,,1782.0,2039,0.0,2039,5594,
01/30/1993,4692,49,49,0.0,219.0,,,2269,,,,,117,,,,,,2654,1626,2648.0,-1022.0,0.0,412,,,,,,412,2038,,945,945,,,,185.0,,,,,,528,,,528,1658,372,,,,,603,,,,,,603,975,2633,1.0,267.0,,,-3.0,,1794.0,2059,0.0,2059,4692,
05/01/1993,5298,73,73,0.0,,,,2799,,,,,358,,,,,,3230,1638,,,0.0,430,,,,,,430,2068,,544,544,,,,1369.0,,,,,,400,,,400,2313,357,,,,,599,,,,,,599,956,3269,1.0,267.0,,,-3.0,,1764.0,2029,0.0,2029,5298,
07/31/1993,5345,66,66,0.0,0.0,,,2882,,,,,328,,,,,,3276,1618,,,0.0,451,,,,,,451,2069,,583,583,,,,1511.0,,,,,,363,,,363,2457,352,,,,,584,,,,,,584,936,3393,1.0,276.0,,,0.0,,1675.0,1952,0.0,1952,5345,
10/30/1993,5523,79,79,0.0,0.0,,,2784,,,,,583,,,,,,3446,1599,,,0.0,478,,,,,,478,2077,,810,810,,,,1547.0,,,,,,627,,,627,2984,346,,,,,660,,,,,,660,1006,3990,1.0,277.0,,,0.0,,1255.0,1533,0.0,1533,5523,
01/29/1994,4593,57,57,0.0,0.0,,,1579,,,,,858,,,,,,2494,1531,2503.0,-972.0,0.0,568,,,,,,568,2099,,862,862,,,,565.0,,,,,,654,,,654,2081,336,,,,,827,,,,,,827,1163,3244,1.0,277.0,,,0.0,,1071.0,1349,0.0,1349,4593,
04/30/1994,4510,19,19,0.0,,,,1880,,,,,501,,,,,,2400,1540,,,0.0,570,,,,,,570,2110,,451,451,,,,1152.0,,,,,,519,,,519,2122,327,,,,,790,,,,,,790,1117,3239,1.0,277.0,,,0.0,,993.0,1271,0.0,1271,4510,
07/30/1994,4706,58,58,0.0,0.0,,,1972,,,,,571,,,,,,2601,1554,,,0.0,551,,,,,,551,2105,,545,545,,,,1301.0,,,,,,516,,,516,2362,321,,,,,771,,,,,,771,1092,3454,1.0,284.0,,,0.0,,967.0,1252,0.0,1252,4706,
10/29/1994,4955,177,177,0.0,0.0,,,2201,,,,,473,,,,,,2851,1547,,,0.0,557,,,,,,557,2104,,508,508,,,,1503.0,,,,,,557,,,557,2568,320,,,,,770,,,,,,770,1090,3658,1.0,284.0,,,0.0,,1012.0,1297,0.0,1297,4955,
01/28/1995,4173,72,72,0.0,0.0,,,1622,,,,,375,,,,,,2069,1521,2621.0,-1100.0,0.0,583,,,,,,583,2104,,359,359,,,,879.0,,,,,,472,,,472,1710,309,,,,,796,,,,,,796,1105,2815,0.0,282.0,,,0.0,,1076.0,1358,0.0,1358,4173,
