Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
05/20/1989,436.877987,-22.205,0,0,148.822999,563.495986,412.769997,36.054704,0.264107,,,,,,483.951015,610.569014,12.57579,,
08/12/1989,443.999768,-28.079,0,0,163.041001,578.961768,434.496003,37.524166,0.281609,,,,,,490.906018,625.868018,12.87669,,
11/04/1989,393.592486,-25.82,0,0,234.093003,601.86549,508.642007,46.023136,0.388946,,,,,,434.472494,642.745497,13.380141,,
02/03/1990,371.216987,-24.903999,0,0,232.041006,578.353993,483.587004,47.983301,0.401209,0.25316,6.575866,11.546066,,,371.159237,578.296244,12.853454,,
05/26/1990,343.125,-28.672001,0,0,221.970999,536.423998,479.681005,46.274711,0.413798,0.226607,5.943756,10.318227,,,374.173989,567.472987,11.920533,,
08/18/1990,326.25,-28.563999,0,0,245.582998,543.268999,511.931997,47.971801,0.452047,0.222451,5.793077,10.022304,,,358.005008,575.024007,12.072644,,
11/10/1990,258.761494,-27.399,0,0,310.977011,542.339504,580.567007,53.564362,0.573399,0.218668,5.619225,9.832829,,,279.932989,563.511,12.051454,,
02/02/1991,315.895986,-28.978001,0,0,272.277992,559.195977,557.576995,48.832358,0.48691,0.225841,5.150937,8.283403,5.258811,,315.454986,558.754977,12.391331,,
05/25/1991,378.131263,-26.962999,0,0,313.582008,664.750272,607.050011,51.656701,0.471729,0.261697,5.867325,9.414526,8.363419,,414.244265,700.863274,14.723151,,
08/17/1991,492.202482,-23.745001,0,0,281.243996,749.701477,586.475998,47.954903,0.375141,0.289084,6.220918,9.917342,7.550994,,545.337749,802.836744,16.564328,,
11/09/1991,543.091264,-33.965,0,0,309.643013,818.769277,623.314018,49.676889,0.378181,0.308324,6.53124,10.397862,7.628764,,603.226254,878.904267,17.902857,,
02/01/1992,624.51548,-29.988001,0,0,272.159013,866.686492,607.31302,44.813631,0.314022,0.320672,6.870449,11.110226,8.231234,,699.725486,941.896498,18.908424,,
05/23/1992,624.591002,-30.134001,0,0,239.151994,833.608994,633.067994,37.776668,0.286887,0.301955,6.171955,10.206666,6.778838,,652.484272,861.502264,16.516266,,
08/15/1992,657.591995,-26.596001,0,0,234.354997,865.350991,644.104997,36.384595,0.270821,0.310543,6.130936,10.153722,8.356646,,720.486012,928.245008,17.107208,,
11/07/1992,731.515007,-27.389,0,0,277.08101,981.207017,697.712007,39.712805,0.282388,0.348946,6.638838,11.13199,10.257116,,802.355027,1052.047037,19.281697,,
01/30/1993,821.664987,-31.884001,0,0,223.339005,1013.119991,673.467011,33.162575,0.220447,0.354987,5.888863,9.641232,7.727337,,824.297528,1015.752533,20.03639,,
05/22/1993,778.509892,-37.046001,0,0,262.182008,1003.645898,724.808,36.172615,0.26123,0.348344,5.674676,9.304993,8.038566,,855.511903,1080.647909,19.579548,,
08/14/1993,875.182495,-33.845001,0,0,252.405,1093.742494,733.757997,34.398944,0.230772,0.375319,5.828009,9.289551,7.460493,,963.491978,1182.051976,21.245423,,
11/06/1993,972.026997,-34.724998,0,0,361.431001,1298.732999,854.905992,42.27728,0.278295,0.443357,6.763177,10.760721,8.626101,,1054.315031,1381.021033,24.717997,,
01/29/1994,960.845661,-34.054001,0,0,338.041999,1264.833659,865.728003,39.047137,0.267262,0.424572,6.34654,9.824103,10.397233,,1039.23375,1343.221748,23.941579,,
05/21/1994,990.4375,-38.026001,0,0,403.910987,1356.322486,949.236976,42.551122,0.297799,0.443334,6.47997,10.190404,8.674916,,1073.596889,1439.481876,25.59099,,
08/13/1994,968.819473,-37.695,0,0,408.971992,1340.096465,974.545997,41.965386,0.305181,0.429252,6.312753,10.208159,9.211329,,1046.674022,1417.951014,25.243878,,
11/05/1994,846.281226,-37.702999,0,0,572.428016,1381.006243,1102.104026,51.939563,0.414501,0.444881,8.608047,18.523073,17.871414,,910.222492,1444.947509,26.007651,,
01/28/1995,866.781033,-34.868,0,0,555.612014,1387.525047,1094.232025,50.776435,0.400434,0.443521,10.530221,32.808215,23.227697,,930.13875,1450.882764,26.112711,,
05/20/1995,654.223478,-39.404999,0,0,614.56697,1229.385449,1158.406981,53.052768,0.499898,0.392428,9.879423,41.588088,,,697.392504,1272.554475,23.019614,,
08/12/1995,677.614012,-36.048,0,0,595.726027,1237.292039,1149.720046,51.814877,0.481476,0.390154,10.32867,58.784303,,,719.863362,1279.541389,23.166792,,
11/04/1995,510.714009,-41.735001,0,0,689.378005,1158.357013,1240.515014,55.57192,0.595134,0.3516,6.892562,17.749334,8.282648,,540.28125,1187.924254,21.688829,,
02/03/1996,594.18625,-41.848999,0,0,671.025983,1223.363234,1242.259992,54.016549,0.548509,0.356805,6.257485,13.834725,7.762947,-15.591804,627.427728,1256.604712,22.905135,,
05/25/1996,744.401873,-38.799999,0,0,631.394025,1336.995899,1212.23802,52.084988,0.472248,0.378537,6.312421,13.2852,7.71298,-85.418076,795.524613,1388.118639,25.032689,,
08/17/1996,788.534986,-44.837002,0,0,651.186994,1394.884979,1247.359983,52.205218,0.466839,0.386382,6.248029,12.790539,8.40293,-51.010285,846.738474,1453.088466,26.092125,,
11/09/1996,835.448017,-42.834,0,0,591.58299,1384.197008,1125.072981,52.581744,0.427384,0.374591,5.820723,11.333336,6.305177,23.891242,941.562027,1490.311018,28.166144,,
02/01/1997,907.3135,-48.769001,0,0,648.768013,1507.312512,1216.066002,53.349737,0.430414,0.404665,6.012079,11.260365,7.882459,34.020011,925.24925,1525.248262,28.761115,,
05/24/1997,1185.613484,-64.152,0,0,572.308996,1693.77048,1165.140997,49.119291,0.337891,0.395903,5.850736,10.532023,8.342997,-58.539174,1965.475967,2473.632963,31.786407,,
08/16/1997,1464.367211,-39.793999,0,0,539.399999,1963.973212,1154.966009,46.702673,0.274647,0.402294,5.868475,10.206859,10.278207,-71.558517,2658.031255,3157.637256,36.672764,,
11/08/1997,2834.173813,-117.375,0,0,1957.105943,4673.904756,3242.130907,60.364803,0.41873,0.77998,10.835251,18.41026,18.716972,-200.431601,3976.636798,5816.367742,53.081187,,
01/31/1998,3274.131284,-72.609001,0,0,2032.64798,5234.170262,3383.222961,60.080225,0.388342,0.711242,9.455556,15.311306,16.11891,-1125.229954,5015.258265,6975.297243,58.949997,,
05/23/1998,6330.677567,-163.772995,0,0,5347.948914,11514.853485,7453.911942,71.746875,0.464439,1.174241,15.275822,24.987204,31.233438,293.180039,6059.63702,11243.812939,75.93897,,
08/15/1998,6343.91001,-165.955002,0,0,5048.462128,11226.417136,7185.899109,70.255121,0.449695,0.947094,12.027058,19.535449,20.365436,127.166052,6651.262848,11533.769974,72.665715,,
11/07/1998,8301.594902,-186.044998,0,0,5307.846771,13423.396675,7484.064789,70.921978,0.395418,1.002862,12.452858,19.7373,21.224685,240.758249,8673.794441,13795.596214,86.507681,,
01/30/1999,9735.625267,-177.906998,0,0,5168.632248,14726.350517,7483.037186,69.071316,0.350978,0.989756,11.811289,17.710457,17.509309,123.885816,10242.875099,15233.600349,94.539065,,
09/05/2020,,-177.906997680664,0,0,5168.6322479248,,7483.03718566895,69.0713158264595,,,,,,,,,94.5390647323521,,
