Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
04/30/1989,124.344006,-29.480999,34.056,0.0,70.042001,198.961007,205.804999,34.033187,0.352039,,,,,,124.344006,198.961007,9.600511,,
07/31/1989,161.08912,-21.936001,17.749001,0.0,67.603001,224.50512,208.786005,32.379086,0.30112,,,,,,161.267256,224.683256,9.929901,,
10/31/1989,178.11675,-24.277001,17.436001,0.0,63.984002,235.259752,209.04401,30.60791,0.271972,,,,,,180.534369,237.677371,10.401439,,
01/31/1990,144.463869,-36.549,16.757,0.0,62.215,186.886869,214.766002,28.968738,0.332902,0.37966,5.617954,7.452818,7.415776,,145.885506,188.308506,8.247071,,
04/30/1990,136.038002,-14.399,16.790001,0.0,61.716001,200.145003,208.988995,29.530742,0.308356,0.402498,6.156035,8.301672,10.946198,,136.625999,200.733001,8.82746,,
07/31/1990,113.35,-5.036,14.707,0.0,59.410002,182.431002,207.550995,28.624292,0.325657,0.368685,6.401088,9.169691,11.013489,,113.765001,182.846003,8.047243,,
10/31/1990,73.687251,-3.05,14.288,0.0,60.903999,145.829251,208.548002,29.203828,0.417639,0.300387,6.120593,9.683217,17.318277,,73.684003,145.826002,6.431846,,
01/31/1991,93.534371,-3.379,14.272,0.0,39.613001,144.040372,188.772002,20.984574,0.275013,0.302389,8.72496,18.967655,14.184119,,93.839629,144.34563,6.352387,,
04/30/1991,93.546748,-3.243,14.212,0.0,49.576999,154.092746,196.345995,25.249814,0.321735,0.326053,10.433526,26.719741,10.333625,,93.542625,154.088624,6.794812,,
07/31/1991,134.143876,-3.036,8.507,0.0,50.197001,189.811877,196.591003,25.533723,0.264457,0.400816,14.895384,51.217451,,,133.532876,189.200877,8.31305,,
10/31/1991,125.598002,-3.448,8.524,0.0,42.639999,173.314002,190.400004,22.394957,0.246027,0.363307,13.030148,40.69359,5.085263,,126.263504,173.979504,7.589508,,
01/31/1992,128.503119,-7.242,8.33,0.0,27.436999,157.028118,176.601004,15.536151,0.174727,0.332852,11.221103,32.144957,5.12663,,129.020625,157.545624,6.873632,,
04/30/1992,140.170626,-6.403,8.34,0.0,39.876001,181.983628,188.223,21.185509,0.219119,0.380407,11.263454,26.158348,6.801912,,140.139995,181.952996,7.952092,,
07/30/1992,134.778375,-2.514,8.317,0.0,83.188,223.769376,234.781003,35.432168,0.371758,0.456347,11.683254,22.706177,33.838694,,135.101502,224.092502,9.754125,,
10/31/1992,169.425872,-2.599,8.313,0.0,86.182,261.321872,237.219003,36.330142,0.329793,0.508062,10.21387,16.124012,-76.463161,,171.240124,263.136124,11.375174,,
01/31/1993,251.962886,-4.817,8.305,0.0,68.901002,324.351888,223.952,30.765969,0.212427,0.6008,10.641466,15.328539,-317.48148,,257.356886,329.745888,13.99939,,
04/30/1993,232.588446,-2.9,8.235,0.0,93.114999,331.038444,252.407003,36.890814,0.281282,0.596038,10.340104,14.694533,-20.445698,,230.056754,328.506752,13.699068,,
07/31/1993,196.477659,-2.426,8.188,0.0,118.847002,321.08666,278.025996,42.746723,0.37014,0.561916,10.355296,15.053995,-18.13437,,199.582493,324.191495,13.277994,,
10/31/1993,157.995495,-2.097,8.131,0.0,129.034003,293.063498,285.854001,45.139828,0.440294,0.50582,12.855354,23.165244,-16.564317,,157.650998,292.719001,12.056754,,
01/31/1994,102.271121,-3.625,8.064,0.0,105.253,211.963121,203.976,51.600679,0.496563,0.453018,,,,,98.653504,208.345504,8.549313,,
04/30/1994,96.088378,-4.135,7.979,0.0,122.467002,222.39938,218.374003,56.08131,0.550663,0.47305,,,,,94.189622,220.500624,8.968802,,
07/31/1994,80.671502,-5.015,7.954,0.0,130.836997,214.447498,226.453991,57.776415,0.610112,0.489331,,,,,79.030248,212.806245,8.639412,,
10/31/1994,57.814626,-5.619,7.942,0.0,123.163,183.300626,130.041005,94.710896,0.671918,0.449984,,,,,57.800375,183.286375,7.529911,,
01/31/1995,51.731,-10.235,7.943,0.0,87.399999,136.838999,116.792996,74.833254,0.638707,0.313769,,,,,51.731,136.838999,5.621056,,
04/30/1995,94.332999,-11.224,7.944,0.0,88.385999,179.438998,117.108998,75.473277,0.492569,0.450052,,,,,94.332999,179.438998,7.370974,,
07/31/1995,107.900625,-5.388,7.944,0.0,81.713002,192.169627,110.957005,73.643843,0.425213,0.487566,,,,,106.504999,190.774001,7.791819,,
10/31/1995,97.407997,-22.575001,7.945,0.0,78.087001,160.864997,111.593997,69.974194,0.485419,0.420083,8.320316,10.273006,,,97.384003,160.841003,6.605823,,
01/31/1996,96.2705,-35.549999,7.958,0.0,77.697001,146.375502,111.602007,69.619717,0.530806,0.336824,13.947165,46.601558,,,95.979871,146.084873,5.891785,,
04/30/1996,149.799129,-34.002998,7.958,0.0,77.341999,201.096131,112.409001,68.804098,0.384602,0.455413,14.243953,29.783194,,,153.431245,204.728247,8.222436,,
07/31/1996,153.193748,-30.559999,7.962,0.0,77.031004,207.626752,114.559013,67.24133,0.371007,0.477386,17.561258,48.296521,,,159.993756,214.42676,8.470758,,
10/31/1996,222.309002,-25.181999,7.963,0.0,76.738002,281.828005,120.749006,63.551664,0.272287,0.630433,14.338744,33.289394,,,232.245003,291.764005,11.409579,,
02/01/1997,216.186259,-43.375,7.944,0.0,76.485003,257.240262,130.275004,58.710421,0.297329,0.557584,7.770905,10.145144,,,227.491259,268.545262,10.411634,,
05/03/1997,288.776501,-26.421,7.945,0.0,75.725,346.025501,141.132997,53.655064,0.218842,0.727993,9.868116,12.808643,,,303.358497,360.607497,13.779838,,
08/02/1997,338.47038,-17.624001,7.938,0.0,75.561001,404.34538,146.136002,51.705945,0.186872,0.821201,10.30652,13.122984,39.529167,-19.151524,358.212064,424.087064,15.754125,,
11/01/1997,326.969561,-13.167,7.938,0.0,75.405003,397.145565,156.014001,48.332203,0.189867,0.770678,9.516343,12.019417,36.285764,-18.654914,347.180754,417.356757,15.410561,,
01/31/1998,312.533989,-49.276001,7.945,0.0,75.279001,346.481989,147.242999,51.125692,0.217267,0.646293,7.702509,9.600498,9.364361,28.22648,312.449114,346.397115,13.442039,,
05/02/1998,449.969174,-127.702003,7.945,0.0,103.632002,433.844173,179.079009,57.86943,0.238869,0.780674,9.307364,11.573499,,,479.296553,463.171552,16.692093,,
08/01/1998,291.00924,-53.249001,7.951,0.0,103.562004,349.273244,182.54401,56.732622,0.296507,0.615183,7.404249,9.288688,,,308.148507,366.41251,13.427389,,
