Date,Assets,Cash & Near Cash Items,Interbanking Assets,Short-Term Investments,Net Loans,Total Loans,Reserve for Losses on Loans,Long-Term Investments,Net Fixed Assets,Other Assets,Customers' Acceptance Liability,Total Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Customer Deposits,ST Borrowings & Repos,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,101.707001,781.750977,13.441,15491.928711,15491.928711,,3345.120117,138.365005,534.801025,0.0,20407.113281,,0.0,12194.02002,2148.399902,10045.620117,0.0,12194.019531,883.455017,388.828003,5849.26709,0.0,19315.569641,0.0,0.0,28.77,1062.774048,1091.544048,20407.113689,
06/30/1990,,219.085007,923.888,10.362,16050.383789,16050.383789,,3304.779053,136.919006,564.53302,0.0,21209.949219,,0.0,,,,0.0,12910.52832,753.189026,439.325989,5968.157227,0.0,20071.200562,0.0,0.0,29.223,1109.526978,1138.749977,21209.950539,
09/30/1990,,183.026001,284.20401,12.493,17033.013672,17033.013672,,3454.785889,138.960999,564.83197,0.0,21671.314453,,0.0,,,,0.0,13749.549805,1093.583984,424.859009,5223.079102,0.0,20491.071899,0.0,0.0,30.174999,1150.067993,1180.242992,21671.314892,
12/31/1990,,214.483994,893.695007,26.363001,17730.447094,17757.246094,-26.799,2984.745117,136.623001,575.744019,0.0,22562.101562,,0.0,14372.484375,2539.370117,11833.114258,0.0,14372.484375,2246.689941,394.208008,4328.315918,0.0,21341.698242,0.0,0.0,31.042,1189.360962,1220.402962,22562.101204,
03/31/1991,,233.626999,521.916016,34.709999,18117.744141,18150.304688,-32.560001,3595.341064,139.095993,550.200989,0.0,23192.634766,,0.0,15093.605957,2707.600098,12386.005859,0.0,15093.606445,1269.197021,434.536987,5124.324219,0.0,21921.664673,0.0,0.0,31.839001,1239.131958,1270.970959,23192.635632,
06/30/1991,,196.449997,828.411011,29.688,18658.197266,18694.619141,-36.423,2756.968994,137.518997,556.406006,0.0,23163.640625,,0.0,15193.989014,2865.199951,12328.789062,0.0,15193.989258,958.440979,429.990997,5250.573242,0.0,21832.994476,0.0,0.0,32.679001,1297.967041,1330.646042,23163.640518,
09/30/1991,,163.134003,1025.812012,40.331001,19529.560547,19572.214844,-42.654999,3334.586914,145.143005,463.569,0.0,24702.136719,,0.0,,,,0.0,16782.490234,948.236023,326.026001,5256.375977,0.0,23313.128235,0.0,0.0,0.0,1389.008057,1389.008057,24702.136292,
12/31/1991,,245.934006,743.612976,49.950001,20087.432751,20135.46875,-48.035999,2586.404053,148.240005,436.210999,0.0,24297.783203,,0.0,16818.509766,3275.791016,13542.71875,0.0,16818.509766,1492.521973,404.880005,4132.736816,0.0,22848.64856,0.0,0.0,33.229,1415.906006,1449.135006,24297.783566,
03/31/1992,,133.811996,484.080994,51.962002,20318.242188,20372.050781,-53.807999,3180.326904,146.880005,432.480988,0.0,24747.785156,,0.0,16630.775635,3653.300049,12977.475586,0.0,16630.775391,1213.375977,484.662994,4902.350098,0.0,23231.164459,0.0,0.0,34.217999,1482.402954,1516.620953,24747.785412,
06/30/1992,,144.473007,,739.661987,20916.21875,20978.646484,-62.426998,2953.758057,147.100006,458.747986,0.0,25359.960938,,0.0,16372.544922,3731.0,12641.544922,0.0,16372.544922,1134.567993,488.144012,5777.314941,0.0,23772.571869,0.0,0.0,34.556999,1552.831055,1587.388054,25359.959923,
