Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,2635.0,,,,,,,,,,,,,,,,,,,,,,,,,,,82.800003,,,82.800003,82.800003,,0.0,0.2475,0.2475,,0.0,0.2475,0.2475,0.2475,
04/01/1990,2333.0,,,,,,-2222.0,,,,,111.0,13.0,,,,0.0,,-13.0,124.0,0.0,124.0,,,,124.0,,124.0,0.0,,124.0,124.0,,332.799984,0.37125,0.37125,0.37125,332.799984,0.37125,0.37125,0.37125,
07/01/1990,2449.0,,,,,,-2805.0,,,,,-356.0,116.0,,,,0.0,,-116.0,-240.0,0.0,-240.0,,,,-240.0,,-240.0,0.0,,-240.0,-240.0,,333.600008,-0.71875,-0.71875,-0.71875,333.600008,-0.71875,-0.71875,-0.71875,
10/01/1990,2276.0,,,,,,-2160.0,,,,,116.0,-23.0,,,,0.0,,23.0,93.0,-33.0,60.0,-8.0,,,68.0,0.0,68.0,0.0,,68.0,68.0,,333.600008,0.20375,0.18,0.18,333.600008,0.20375,0.18,0.18,
12/31/1990,2399.0,,,,,,-3187.0,,,,,-788.0,-158.0,,,,0.0,,158.0,-946.0,293.0,-618.0,-10.0,,,-643.0,0.0,-530.0,0.0,,-530.0,-530.0,,333.403992,-1.58875,-1.61875,-1.61875,333.403992,-1.58875,-1.61875,-1.61875,
04/01/1991,766.0,,,,,,-724.0,,,,,42.0,15.0,,,,0.0,,-15.0,57.0,0.0,57.0,0.0,,,57.0,0.0,57.0,0.0,,57.0,57.0,,333.600008,0.16875,0.16875,0.16875,333.600008,0.16875,0.16875,0.16875,
07/01/1991,856.0,,,,,,-836.0,,,,,20.0,191.0,,,,0.0,,-191.0,211.0,0.0,211.0,0.0,,,211.0,0.0,211.0,0.0,,211.0,211.0,,340.799984,0.61875,0.61875,0.61875,340.799984,0.61875,0.61875,0.61875,
09/30/1991,779.0,,,,,,-752.0,,,,,27.0,44.0,,,,0.0,,-44.0,71.0,0.0,71.0,0.0,,,71.0,0.0,71.0,0.0,,71.0,71.0,,341.600008,0.2075,0.2075,0.2075,341.600008,0.2075,0.2075,0.2075,
12/31/1991,921.0,,,,,,-895.0,,,,,26.0,-273.0,,,,0.0,,273.0,-247.0,0.0,-133.0,-299.0,,,52.0,0.0,166.0,0.0,,166.0,166.0,,335.303984,0.48375,0.48375,0.48375,335.303984,0.48375,0.48375,0.48375,
03/30/1992,848.0,,,,,,-810.0,,,,,38.0,7.0,,,,0.0,,-7.0,45.0,-15.0,30.0,-405.0,,,435.0,0.0,435.0,0.0,,435.0,435.0,,347.200016,1.25125,0.085,0.085,347.200016,1.25125,0.085,0.085,
