Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,34.307999,13.702,-4.68,-11.648,31.681999,,,,,,,,,,,,,,,,,
06/30/1990,,34.535,13.232,-6.255,-9.618,31.893999,,,,,,,,,,,,,,,,,
09/30/1990,,35.429001,16.535,-1.104,35.835999,86.695999,,,,,,,,,,,,,,,,,
12/31/1990,,36.577,7.12,-7.502,9.905,46.099998,,,,,,,,,,,,,,,46.099998,,
03/31/1991,,38.681,19.385,-5.678,-43.262001,9.126,,,,,,,,,,,,,,,,,
06/30/1991,,39.966999,15.746,1.6,-30.562,26.750999,,,,,,,,,,,,,,,,,
09/30/1991,,39.155998,18.665001,-2.383,53.949001,109.387001,,,,,,,,,,,,,,,,,
12/31/1991,,39.668999,10.021,4.243,2.633,56.566002,,,,,,,,,,,,,,,56.566002,,
03/31/1992,,53.035,20.098,-2.795,-41.907001,28.431,,,,,,,,,,,,,,,,,
06/30/1992,,58.777,17.271999,-4.623,-2.92,68.505997,,,,,,,,,,,,,,,,,
09/30/1992,,60.001999,18.705999,-5.235,61.429001,134.901993,,,,,,,,,,,,,,,,,
12/31/1992,,60.921001,18.806999,5.784,3.223,88.735001,,,,,,,,,,,,,,,88.735001,,
03/31/1993,,64.241997,20.469999,-3.141,-47.050999,34.52,,,,,,,,,,,,,,,,,
06/30/1993,,70.106003,23.462,-0.492,-8.005,85.070999,,,,,,,,,,,,,,,,,
09/30/1993,,68.497002,25.330999,-0.169,17.287001,110.945999,,,,,,,,,,,,,,,,,
12/31/1993,,69.939003,,22.368999,-16.083,69.436996,,,,,,,,,,,,,,,,,
03/31/1994,,66.884003,22.968,0.006,-32.502998,57.355,,,,,,,,,,,,,,,,,
06/30/1994,,67.746002,24.283001,-3.553,-12.726,75.75,,,,,,,,,,,,,,,,,
09/30/1994,,72.339996,25.083,-6.8,-11.825,78.797997,,,,,,,,,,,,,,,,,
12/31/1994,,71.705002,0.329,151.563004,-9.473,214.123993,,,,,,,,,,,,,,,214.123993,,
03/31/1995,,68.327003,27.594999,3.799,-47.904999,51.816002,,,-50.363998,,,,,,,,,,,,,,
06/30/1995,,78.471001,27.537001,-0.404,-18.768999,86.834999,,,-75.879997,,,,,,,,,,,,,,
09/30/1995,,74.164001,26.009001,1.446,12.522,114.140999,,,-58.029999,,,,,,,,,,,,,,
12/31/1995,,74.611,2.32,33.396999,-19.152,91.176003,-62.365002,,-62.365002,,,,,,,,,,,,28.811001,,
03/31/1996,,66.222,30.423,3.534,-38.918999,61.259998,,,-52.278999,,,,,,,,,,,,,,
06/30/1996,,77.958,30.775,3.209,-33.493,78.448997,,,-56.493999,,,,,,,,,,,,,,
09/30/1996,,68.345001,30.197001,2.593,69.922997,171.057999,,,-69.216003,,,,,,,,,,,,,,
12/31/1996,,37.771,32.976002,-36.651001,-34.620998,-0.525,-59.474998,,-59.474998,,,,,,,,,,,,-59.999998,,
03/31/1997,,52.868,16.870001,4.865,0.345,48.409,-42.040001,0.0,-34.771999,0.0,0.0,-7.268,-6.498,-8.981,1.208,85.436996,0.0,0.034,-81.956001,-2.24,-0.129,,
06/30/1997,,62.390999,17.507,31.993999,-33.472,78.419998,-33.837002,0.0,-32.254002,0.0,0.0,-1.583,-25.48,-4.372,-0.733,0.0,-17.865,0.387,-2.279,-0.618,19.103001,,
09/30/1997,,58.818001,20.695,19.143999,65.871002,164.528,-28.409,0.0,-33.389,0.0,0.0,4.98,-75.913002,-9.574,-0.081,0.0,-64.028,1.52,-2.17,-1.58,60.206001,,
