Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/1980,,,,,,,,,,,,,4.757666,,
12/31/1980,,,,,,,,,,,,,4.676106,,
03/31/1981,,,,,,,,,,,,,5.369366,,
06/30/1981,,,,,,,,,,,,,5.546079,,
09/30/1981,,,,,,,,,,,,,4.023626,,
12/31/1981,,,,,,,,,,,,,4.186746,,
03/31/1982,,,,,,,,,,,,,3.262399,,
06/30/1982,,,,,,,,,,,,,3.235213,,
09/30/1982,,,,,,,,,,,,,3.398333,,
12/31/1982,,,,,,,,,,,,,3.629419,,
03/31/1983,,,,,,,,,,,,,4.254713,,
06/30/1983,,,,,,,,,,,,,6.606359,,
09/30/1983,,,,,,,,,,,,,7.544299,,
12/31/1983,,,,,,,,,,,,,7.367586,,
03/31/1984,,,,,,,,,,,,,6.497612,,
06/30/1984,,,,,,,,,,,,,7.122906,,
09/30/1984,,,,,,,,,,,,,8.020065,,
12/31/1984,,,,,,,,,,,,,7.231652,,
03/31/1985,,,,,,,,,,,,,8.101625,,
06/30/1985,,,,,,,,,,,,,8.509425,,
09/30/1985,,,,,,,,,,,,,7.856945,,
12/31/1985,,,,,,,,,,,,,8.427865,,
03/31/1986,,,,,,,,,,,,,8.699732,,
06/30/1986,,,,,,,,,,,,,8.291932,,
09/30/1986,,,,,,,,,,,,,6.851039,,
12/31/1986,,,,,,,,,,,,,7.829759,,
03/31/1987,,,,,,,,,,,,,11.037785,,
06/30/1987,,,,,,,,,,,,,12.641798,,
09/30/1987,,,,,,,,,,,,,15.686704,,
12/31/1987,,,,,,,,,,,,,11.744638,,
03/31/1988,,,,,,,,,,,,,12.614611,,
06/30/1988,,,,,,,,,,,,,13.919571,,
09/30/1988,,,,,,,,,,,,,12.315558,,
12/31/1988,,,,,,,,,,,,,12.668985,,
03/31/1989,,,,,,,,,,,,,13.702078,,
06/30/1989,,,,,,,,,,,,,16.040131,,
09/30/1989,,,,,,,,,,,,,18.405371,,
12/31/1989,,,,,,,,,,,,,20.553117,,
03/31/1990,,2039.364511,2039.364511,2039.364511,2.972883,,,,,,,,22.945543,2056.613743,
06/30/1990,,2233.021832,2465.267366,2000.18526,3.334242,,,,,,,,27.567276,2446.912406,
09/30/1990,,2231.525285,2585.834488,1869.710022,2.692977,,,,,,,,23.489276,2068.832916,
12/31/1990,15.897755,2178.055424,2483.137897,1931.649159,3.017373,,2.102096,11.418385,,2.291218,7.609998,9.033476,27.730396,2443.121499,
03/31/1991,20.520581,2784.954228,3196.82286,2344.171397,3.932404,,2.632825,17.160293,,2.82117,9.528476,11.448709,36.865114,3196.82286,
06/30/1991,19.042056,3123.194676,3373.122851,2967.632871,3.658151,,2.349556,17.020764,,2.526254,8.670004,10.383272,35.451408,3088.888485,
09/30/1991,19.263698,3103.324891,3243.776609,2956.127235,3.574102,,2.335893,15.583547,,2.457763,8.562642,10.27237,36.701994,3133.884377,
12/31/1991,25.644619,3682.871143,4289.487408,3146.232243,4.504907,,3.091813,20.057256,,3.284609,11.493608,13.860713,49.751592,4294.977469,
03/31/1992,24.176955,4297.101388,4648.054172,3868.94614,4.496942,,3.121533,18.816387,,3.227199,11.101426,13.319676,51.110926,4301.536312,
06/30/1992,23.005566,4647.306631,5100.353775,4184.837173,4.361286,,3.214387,16.725344,,3.283567,11.232698,13.454309,53.938338,4493.550884,
09/30/1992,23.238255,4612.299418,5134.080868,4191.078392,4.732383,,3.480361,17.073573,,3.517055,11.995651,14.271285,60.245644,4972.40114,
12/31/1992,21.17737,4855.008693,5016.956141,4589.228129,4.696937,,3.293379,15.382864,,3.297795,11.270053,13.59488,60.245644,4935.07743,
03/31/1993,23.245614,5307.954527,5728.587168,4766.199141,5.136849,,3.581688,17.341027,,3.608117,12.629521,15.152233,69.162869,5708.619026,
06/30/1993,19.292717,5217.424748,5981.369175,4860.221523,4.259086,,2.956037,14.310181,,2.965999,10.383163,12.532702,59.919404,4930.527731,
09/30/1993,19.241193,4921.036443,5141.164009,4636.134747,4.168348,,2.871345,15.885795,,2.832898,10.06431,12.231014,61.768097,5003.512049,
12/31/1993,19.53534,5259.11324,5519.762804,5030.214674,4.232893,,2.973576,17.767844,,2.924495,,12.337694,64.92175,5240.81803,
03/31/1994,18.264249,5398.159171,5734.192441,4839.896111,3.800923,,2.779365,15.593767,,2.722747,,11.43266,61.333111,4929.648584,
06/30/1994,14.095052,4110.442689,4897.98548,3377.894808,2.90859,,2.054548,12.295257,,2.032691,,8.889435,47.087299,3810.473957,
09/30/1994,14.94911,4092.449721,4298.345951,3890.808069,3.137581,,2.143944,14.704896,,2.141472,,9.56116,51.110926,4133.375706,
12/31/1994,14.25,3970.431925,4226.158941,3681.120085,2.926072,,1.919729,9.229292,,1.877886,7.583523,8.839633,49.588472,3877.849823,
03/31/1995,15.287991,4087.757111,4379.982332,3915.959709,3.147383,,1.953907,10.145877,,1.945321,8.108581,9.510625,54.264578,4251.240146,
06/30/1995,13.946759,4079.215768,4412.136559,3878.859541,3.015377,,1.756729,9.405548,,1.793052,7.439583,8.704097,52.415885,4124.60157,
09/30/1995,15.299774,4523.970233,4701.64236,4213.410011,3.235397,,1.892593,9.625476,,1.936063,8.015178,9.350798,58.831938,4571.689357,
12/31/1995,15.929204,4650.822328,4952.036844,4497.992327,3.279237,,1.992938,13.640238,47.954648,2.057175,8.362771,9.766159,62.63807,4857.13099,
03/31/1996,16.928392,4859.168288,5287.128323,4494.063349,2.996625,,2.064617,12.358092,41.618358,2.167624,8.796196,10.539963,58.614444,4587.761336,
06/30/1996,17.887931,4466.375938,4690.620007,4248.98409,2.725879,,2.148793,11.641593,34.695887,2.295485,9.477587,11.813051,54.155832,4291.811382,
09/30/1996,20.430108,4069.472764,4369.482579,3869.382834,2.419568,,2.244633,9.074124,22.49904,2.372895,10.309742,13.739979,49.588472,3870.071058,
12/31/1996,25.0,3496.376896,3892.528898,3142.397047,1.937191,,2.198311,9.609283,41.556195,2.397064,10.516357,17.629968,40.671247,3241.49871,
03/31/1997,25.274725,3293.396131,3532.800556,3026.592548,1.966438,,2.140725,9.764715,38.022396,2.365964,11.044904,17.928085,40.018767,3187.990019,
06/30/1997,31.362275,3236.460152,3554.755026,2933.500015,2.172854,,2.460744,10.922659,31.972233,2.689204,13.108815,20.58068,45.564846,3522.259984,
09/30/1997,29.178994,3290.888265,3628.726064,3133.247986,1.99644,,2.350838,10.174912,22.180692,2.526121,12.341108,18.648011,42.900553,3212.847162,
12/31/1997,22.767857,3073.9349,3411.635988,2779.028899,2.011848,,2.042955,12.822927,31.926948,2.383047,11.651037,16.306831,38.822554,3124.715032,
03/31/1998,26.865672,3301.916652,3699.35843,2985.054221,2.38045,,2.425084,14.506193,32.912023,2.782191,13.458046,18.952017,46.978553,3690.223055,
06/30/1998,18.779762,3226.280337,3692.460989,2369.372027,2.140339,,1.706047,3.746783,4.760277,1.730733,8.447218,11.978589,39.4375,2374.419962,
09/30/1998,17.832569,2382.96559,2476.208027,2225.696026,2.090045,,1.639947,4.205642,5.639687,1.638777,8.290878,11.856261,38.875,2298.869732,
12/31/1998,18.099548,2383.123156,2679.392033,2207.840031,2.215081,,1.693687,3.89533,5.29914,1.752569,8.919574,12.829901,40.0,2443.659936,
03/31/1999,16.261062,2426.789303,2653.943992,2208.17999,2.012566,2.247095,1.552934,4.188625,5.992457,1.664483,8.47706,12.245189,36.75,2319.900056,
06/30/1999,19.601064,2847.919898,3057.200075,2354.628009,2.463082,2.995856,1.979738,19.068676,1143.231217,2.124226,10.761969,15.597439,46.0625,2903.073285,
09/30/1999,15.992647,2706.852953,2975.900091,2387.691832,2.016408,2.636412,1.588527,12.022415,37.315015,1.803593,9.08288,13.351546,38.0625,2526.11248,
12/31/1999,15.715021,2432.007269,2607.30141,2252.935222,2.091266,2.780802,1.519506,8.42048,15.445864,1.713361,9.536681,13.810469,38.1875,2490.027484,
03/31/2000,14.049587,2241.931068,2689.973475,1897.992499,1.847299,2.434237,1.267194,6.383525,11.372066,1.499077,8.493842,12.611784,34.0,2283.994071,
06/30/2000,12.850766,2058.292271,2331.594958,1899.504495,1.741164,2.334163,1.097132,5.190317,9.33356,1.280812,7.179586,10.750445,31.484375,2038.284387,
09/30/2000,12.473404,2043.302331,2186.487488,1784.625008,1.656092,2.347053,0.96436,6.799893,22.48779,1.195144,6.930563,10.116039,29.3125,1954.418722,
12/31/2000,17.216435,2177.372033,2441.093689,1967.700016,1.969602,2.778567,1.164999,9.542993,41.171786,1.422621,7.825589,11.673042,37.1875,2376.631235,
03/31/2001,15.068628,2187.1537,2369.92346,2006.195491,1.639858,2.350596,0.941337,10.000561,,1.28479,7.353438,11.096455,30.74,2153.821952,
06/30/2001,18.92638,2242.97703,2343.595778,2119.872021,2.024997,2.593607,0.919366,19.181489,,1.2636,8.97008,15.33325,30.85,2142.055005,
09/30/2001,22.1,1933.12276,2189.547827,1605.136634,1.630301,2.130632,0.670381,5.661168,34.424502,0.967371,10.646215,28.78492,22.1,1603.320034,
12/31/2001,485.600029,1652.881689,1749.069357,1547.307948,1.986725,2.703762,0.765839,6.52744,58.715594,1.076789,18.9741,,24.28,1717.156004,
03/31/2002,,1715.601493,1977.959331,1593.882202,2.357263,3.218149,0.944427,9.002686,85.071648,1.321032,31.851302,,28.17,1981.151001,
06/30/2002,,1867.058791,1957.382784,1600.245636,1.795993,2.312072,0.920045,7.916308,22.225308,1.108133,18.054583,1233.267617,26.49,1603.246961,
09/30/2002,109.181815,1585.647482,1726.359281,1356.840146,1.602183,1.957877,0.845455,12.209703,85.330355,0.99671,9.087578,21.614073,24.02,1422.205975,
12/31/2002,25.136842,1445.782306,1554.118383,1357.366919,1.607585,2.106442,0.849112,8.27884,14.984702,0.981921,7.112755,12.075575,23.88,1386.276018,
03/31/2003,24.666666,1320.402638,1484.551114,1221.469608,1.507222,2.198974,0.779056,11.200403,27.653604,1.037777,7.784688,13.30233,22.2,1484.54002,
06/30/2003,27.567567,1520.519743,1614.068405,1329.122653,1.308689,1.875137,0.712219,8.72006,18.493829,0.927713,7.374033,13.675205,20.4,1334.7,
09/30/2003,44.838549,1358.950309,1418.255314,1288.087225,1.34475,2.115299,0.701018,7.169798,12.627097,0.891367,7.866473,17.438415,20.11,1286.95501,
12/31/2003,101.267044,1428.643335,1662.822968,1290.109477,1.850456,2.900114,0.942244,14.684984,44.690891,1.13135,15.115831,115.923517,27.19,1646.113968,
03/31/2004,63.012221,1557.848265,1676.902127,1398.669727,1.663038,2.620141,0.809473,12.419237,36.029243,1.073732,14.804584,190.344643,23.85,1598.895023,
06/30/2004,52.189209,1641.007405,1752.546158,1520.27711,1.828962,2.902551,0.89799,21.943021,,1.14914,14.544345,96.908724,27.06,1754.047989,
09/30/2004,35.068493,1659.973108,1760.37194,1523.816313,1.622423,2.470557,0.836435,25.14725,,0.986577,11.262941,44.657723,25.6,1531.759965,
12/31/2004,35.6125,1613.745605,1736.047526,1441.029103,1.675882,2.485154,0.903706,62.362206,,1.070234,11.174056,30.758692,28.49,1716.335,
03/31/2005,37.788235,1695.84543,2015.415674,1527.174324,1.905982,2.794676,0.990487,62.05145,,1.224186,12.278934,28.000717,32.12,2027.25196,
