Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Free Cash Flow,EV/Total Revenues,Price/Share,Enterprise Value,Source: Bloomberg
12/31/1982,,,,,,,,,,0.835272,,
03/31/1983,,,,,,,,,,1.019112,,
06/30/1983,,,,,,,,,,1.06707,,
09/30/1983,,,,,,,,,,1.119025,,
12/31/1983,,,,,,,,,,1.366809,,
03/31/1984,,,,,,,,,,1.258903,,
06/30/1984,,,,,,,,,,1.430753,,
09/30/1984,,,,,,,,,,1.878363,,
12/31/1984,,,,,,,,,,1.998259,,
03/31/1985,,,,,,,,,,2.781577,,
06/30/1985,,,,,,,,,,3.077319,,
09/30/1985,,,,,,,,,,2.429883,,
12/31/1985,,,,,,,,,,2.813549,,
03/31/1986,,,,,,,,,,4.252295,,
06/30/1986,,,,,,,,,,4.76385,,
09/30/1986,,,,,,,,,,3.452992,,
12/31/1986,,,,,,,,,,3.325103,,
03/31/1987,,,,,,,,,,3.788699,,
06/30/1987,,,,,,,,,,3.628838,,
09/30/1987,,,,,,,,,,3.916588,,
12/31/1987,,,,,,,,,,3.13327,,
03/31/1988,,,,,,,,,,3.724755,,
06/30/1988,,,,,,,,,,4.204337,,
09/30/1988,,,,,,,,,,4.044476,,
12/31/1988,,,,,,,,,,3.900602,,
03/31/1989,,,,,,,,,,4.220323,,
06/30/1989,,,,,,,,,,4.987655,,
09/30/1989,,,,,,,,,,5.978791,,
12/31/1989,,,,,,,,,,7.129788,,
03/31/1990,,,,,2.636917,,,,,5.786958,3043.425509,
06/30/1990,,3094.547612,3220.214454,2945.211577,2.696127,,,,,6.10668,3165.571072,
09/30/1990,,3106.543652,3353.606149,2679.437591,2.264293,,,,,5.243432,2662.542201,
12/31/1990,11.446136,2879.243651,3088.096112,2537.16744,2.66022,,1.413779,,1.719106,6.250554,3087.729565,
03/31/1991,13.23014,3283.051261,3606.011492,2979.035803,2.947254,,1.594707,,1.969531,7.241691,3613.008399,
06/30/1991,11.168982,3455.889467,3689.410552,3188.580031,2.441745,,1.321383,,1.706754,6.170624,3206.921359,
09/30/1991,11.413043,3288.037581,3398.446257,3160.585638,2.420623,,1.341418,,1.715483,6.378443,3270.754986,
12/31/1991,12.287686,3420.688746,3702.124509,3267.78326,2.724698,,1.525906,,1.901365,7.401551,3673.383653,
03/31/1992,11.752577,3694.099454,3856.550733,3526.68094,2.735718,,1.462891,,1.832204,7.289649,3611.836309,
06/30/1992,13.467262,3771.045591,4194.530994,3509.727079,3.304924,,1.673173,,2.084409,8.680437,4213.575786,
09/30/1992,14.362464,4410.865764,4721.059196,4104.434807,3.459371,,1.808152,,2.204606,9.615622,4507.046503,
12/31/1992,15.927044,4682.412418,5043.262545,4451.251238,3.767404,,2.049383,,2.46568,10.958453,5044.313833,
03/31/1993,17.473249,5207.806417,5534.540552,4889.265921,3.750839,,2.127085,,2.512519,11.485993,5165.813675,
06/30/1993,14.880953,4783.419282,5244.184274,4465.899877,3.17423,,1.881723,,2.350865,10.191121,4864.103886,
09/30/1993,16.142857,5141.234012,5333.836082,4762.325878,3.257081,,1.990708,,2.48589,10.838557,5191.911037,
12/31/1993,12.162162,4434.859882,5124.332351,4085.831192,2.344408,,1.559427,,1.966085,8.632479,4167.314888,
03/31/1994,9.938272,4129.6489,4441.801525,3851.891125,2.236092,,1.409438,,1.830128,7.721273,3830.469782,
06/30/1994,10.0,3780.053298,3957.196033,3622.276654,2.230089,,1.413597,,1.811426,7.481482,3648.453978,
09/30/1994,11.135787,3772.266974,4080.27651,3603.731478,2.493638,,1.634028,,2.095926,8.416667,4079.135717,
12/31/1994,9.375,3593.235175,4053.44301,3274.423231,2.007679,,1.341117,,1.98265,6.690171,3718.136149,
03/31/1995,11.369863,4079.849503,4272.354202,3717.996711,2.142699,,1.572028,,2.178829,7.961064,4127.451517,
06/30/1995,10.14785,3996.822628,4152.656706,3850.121641,1.760716,,1.388592,,1.986973,7.241691,3865.679789,
09/30/1995,11.114776,4002.029375,4187.794295,3838.388375,1.893246,,1.519736,,2.101935,8.08096,4169.411263,
12/31/1995,21.445497,4224.271669,4403.143626,4079.857516,2.040925,,1.566941,10.351427,2.130239,8.680437,4404.229728,
03/31/1996,20.361991,4447.081169,4635.983368,4206.125382,2.088172,,1.536006,10.115214,2.052159,8.632479,4310.799096,
06/30/1996,18.696581,4143.578519,4323.399673,4037.817767,2.008729,,1.469379,8.887085,1.961467,8.392688,4191.660365,
09/30/1996,18.423695,4143.825026,4362.087996,3967.494687,2.056242,,1.502145,6.144058,1.945735,8.800333,4253.375183,
12/31/1996,11.373874,4525.956898,4686.284063,4293.950392,2.160164,,1.629996,8.829844,2.059261,9.68756,4542.338948,
03/31/1997,12.06427,4915.639901,5378.284426,4574.310791,2.341978,3.483625,1.76877,9.497335,2.217163,10.622745,4904.491418,
06/30/1997,16.341743,5497.759306,6152.053415,4770.975955,2.884035,4.190585,2.253532,10.784638,2.704723,13.668092,5988.989856,
09/30/1997,17.139738,6386.355541,6815.912713,5977.323432,3.00045,4.219809,2.431438,11.93131,2.903169,15.05888,6526.197195,
12/31/1997,20.185407,6667.717767,7001.628049,6243.162943,3.056774,3.922923,2.63209,14.522532,3.144934,16.185898,7001.501222,
03/31/1998,21.357809,7218.468666,7762.968697,6581.499051,2.633707,3.350302,2.805732,15.181874,3.260531,17.576686,7403.72984,
06/30/1998,21.995192,7252.248552,7945.366666,6677.69889,2.579918,3.258662,2.807332,17.775166,3.303148,17.552707,7506.615683,
09/30/1998,18.242386,6802.102707,7665.762642,6075.221155,1.993265,2.387606,2.285532,,2.761392,13.787987,6074.429827,
12/31/1998,,6288.025508,7346.572115,5679.831197,,,,,,15.694444,,
03/31/1999,,5302.398594,5302.398594,5302.398594,1.977798,2.710528,,,,14.055556,5196.897625,
06/30/1999,,5565.75339,6063.621151,5251.080219,2.203754,2.748979,,,,15.166667,5489.527432,
09/30/1999,,5161.105042,5772.433143,4248.114812,1.692995,2.1209,,,,11.5,4361.752941,
