Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
08/31/2000,17.268999,8.649,4.996,1.953,,,1.953,1.671,,,,1.671,,-2.016,-2.016,0.0,,,-2.016,,,0.0,0.0,0.0,,,,,0.0,-16.82,0.0,-0.726,,,,0.0,0.0,0.0,-16.094,,-1.567,0.175,0.857,
11/30/2000,17.264,8.407,4.933,3.073,,,3.073,0.851,,,,0.851,,-1.732,-2.583,0.0,,,-2.583,,,0.0,0.0,0.0,,,,,0.851,-11.757,0.0,-0.741,,,,0.0,0.0,0.0,-11.016,,3.775,,,
02/28/2001,20.362,5.846,4.877,2.126,,,2.126,7.513,,,,7.513,,-1.434,-1.335,0.0,,,-1.335,,,0.0,0.0,0.0,,,,,-0.099,-23.351998,0.0,58.208,,,,0.0,0.0,0.0,-81.559998,,-4.424,,,
05/31/2001,23.719,0.766,6.95,8.022,,,8.022,7.981,,,,7.981,,-28.267,-7.667,0.0,,,-7.667,,,0.0,0.0,0.0,,,,,-20.6,10.101,-1.459,13.115,,,,0.302,0.302,0.0,-1.857,,5.553,,,
08/31/2001,16.077,-3.125,6.963,18.553,,-9.352,27.905,-6.314,-3.965,0.29,,-2.639,,-10.574,-4.784,0.0,,,-4.784,,,0.0,0.0,0.0,,,,,-5.79,-10.949,-1.46,-10.4,,,,2.254,2.254,0.0,-1.343,,-5.446,0.595,0.993,
11/30/2001,66.546997,11.642,6.909,-1.465,,,-1.465,49.460999,,,,49.460999,,-63.219002,-8.019,0.0,,,-8.019,,,0.0,0.0,0.0,,,,,-55.200002,22.883,-1.461,25.979,,,,0.055,0.055,0.0,-1.69,,26.211,0.01,0.001,
02/28/2002,44.337002,10.275,8.768,1.924,,,1.924,23.370001,,,,23.370001,,-8.474,-3.249,0.0,,,-3.249,,,0.0,0.0,0.0,,,,,-5.225,-45.261,-1.464,-43.109,,,,1.144,1.144,0.0,-1.832,,-9.398,11.449,-0.543,
05/31/2002,33.507,5.046,6.931,16.438999,,,16.438999,5.091,,,,5.091,,-5.277,-6.338,0.0,,,-6.338,,,0.0,0.0,0.0,,,,,1.061,-26.506,-1.472,-26.749,,,,0.0,,0.0,1.715,,1.724,11.412,2.861,
08/31/2002,19.588,14.613,7.86,3.97,,,3.97,-6.855,-4.449,-0.033,,-2.373,,-5.37,-5.201,0.0,,,-5.201,,,0.0,0.0,0.0,,,,,-0.169,-16.072,-1.475,-14.176,,,,1.259,1.259,0.0,-1.68,,-1.854,2.18,0.243,
11/30/2002,34.379002,13.582,8.012,4.109,,,4.109,8.676,,,,8.676,,-5.407,-4.608,0.0,,,-4.608,,,0.0,0.0,0.0,,,,,-0.799,-11.332,-1.477,-9.15,,,,0.991,0.991,0.0,-1.696,,17.639999,7.463,0.932,
