Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
10/31/1989,273.41374,-9.089,0.0,0.0,50.006,,314.330741,54.873,91.130429,0.159087,,,,,,273.41374,314.330741,2.38014,,
01/31/1990,195.000743,-4.803,0.0,0.0,45.699001,,235.896744,54.108001,84.45886,0.193725,,,,,,195.000743,235.896744,1.786231,,
04/30/1990,206.349993,-1.579,0.0,0.0,41.095001,,245.865994,50.586001,81.237892,0.167144,,,,,,206.349993,245.865994,1.861719,,
07/31/1990,220.794492,-3.893,0.0,0.0,34.936002,,251.837494,56.307002,62.045572,0.138724,0.573816,5.215431,6.028859,6.788139,,220.794492,251.837494,1.906935,,
10/31/1990,180.556244,-1.639,0.0,0.0,28.372,,207.289243,52.056,54.502843,0.136872,0.442204,4.763956,5.629647,4.856233,,180.556244,207.289243,1.569612,,
01/31/1991,218.730992,-2.07,0.0,0.0,44.794001,,261.454993,70.246,63.767333,0.171326,0.541095,6.601565,7.971918,7.11061,,218.730992,261.454993,1.97976,,
04/30/1991,264.127991,-1.253,0.0,0.0,50.218999,,313.09399,78.325999,64.115363,0.160396,0.641432,7.376985,8.828751,8.06351,,264.127991,313.09399,2.370775,,
07/31/1991,254.842241,-17.172001,0.0,0.0,80.638001,,318.308242,110.449,73.009263,0.253333,0.650494,11.444174,15.281241,10.384617,,254.842241,318.308242,2.410258,,
10/31/1991,226.984992,-8.272,0.0,0.0,80.450001,,299.162993,109.909001,73.196918,0.268917,0.637547,11.402767,16.003156,15.548154,,226.984992,299.162993,2.265288,,
01/31/1992,231.111992,-2.485,0.0,0.0,101.763998,,330.39099,120.581998,84.394022,0.308011,0.724831,29.698066,115.764174,,,231.111992,330.39099,2.501749,,
04/30/1992,189.841993,-1.595,0.0,0.0,95.863998,,284.110992,116.375998,82.374372,0.337417,0.608346,24.393491,109.568443,,,189.841993,284.110992,2.151313,,
07/31/1992,201.191243,-1.389,0.0,0.0,90.664,,290.466242,120.168999,75.447079,0.312133,0.573287,13.76552,26.367668,,,201.191243,290.466242,2.199436,,
10/31/1992,197.064243,-1.187,0.0,0.0,80.164,,276.041243,111.074999,72.171056,0.290406,0.509866,10.924106,18.67541,,,197.064243,276.041243,2.090208,,
01/31/1993,217.686439,-3.645,0.0,0.0,96.755997,,310.797436,129.114997,74.937845,0.311315,0.534693,7.152003,9.590145,9.644496,,217.699242,310.810239,2.353523,,
04/30/1993,237.273757,-1.354,0.0,0.0,89.955997,,325.875754,126.403996,71.165469,0.276044,0.526304,6.849151,9.050093,9.888427,,237.302492,325.904488,2.467858,,
07/31/1993,220.767757,-6.631,0.0,0.0,80.055998,,294.192755,126.533997,63.268371,0.272121,0.467059,5.951945,7.724838,6.620826,,220.794492,294.21949,2.227923,,
10/31/1993,227.989132,-4.917,0.0,0.0,80.055998,,303.12813,134.609997,59.47255,0.2641,0.494257,5.153575,6.388235,8.713512,,228.016742,303.15574,2.29559,,
