Date,Revenue,Sales & Services Revenue,Other Operating Income,Operating Expenses,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,43.563999,,,-38.389,,,,5.175,-4.054,,4.054,,0.0,,0.0,1.121,-0.561,0.56,0.0,,,0.56,0.0,0.56,0.0,,0.56,0.56,,141.36905,0.004097,0.004097,,141.36905,0.004097,0.004097,0.004097,
03/31/1990,56.658001,,,-48.396999,,,,8.261,-4.603,,4.603,,0.0,,0.0,3.658,-1.829,1.829,0.0,,,1.829,0.0,1.829,0.0,,1.829,1.829,,141.386126,0.012876,0.012876,,141.386126,0.012876,0.012876,0.012876,
06/30/1990,57.508999,,,-49.744999,,,,7.764,-4.566,,4.566,,0.0,,0.0,3.198,-1.599,1.599,0.0,,,1.599,0.0,1.599,0.0,,1.599,1.599,,141.386126,0.01112,0.01112,,141.386126,0.01112,0.01112,0.01112,
09/30/1990,54.062,,,-48.471001,,,,5.591,-4.413,,4.413,,0.0,,0.0,1.178,-0.522,0.656,0.0,,,0.656,0.0,0.656,0.0,,0.656,0.656,,141.386133,0.004682,0.004682,0.004682,141.386133,0.004682,0.004682,0.004682,
12/30/1990,57.049,,,-50.376999,,,,6.672,-4.238,,4.238,,0.0,,0.0,2.434,-1.094,1.34,0.0,,,1.34,0.0,1.34,0.0,,1.34,1.34,,141.36905,0.009364,0.009364,,141.36905,0.009364,0.009364,0.009364,
03/31/1991,61.882,,,-50.808998,,,,11.073,-3.706,,3.706,,0.0,,0.0,7.367,-3.316,4.051,0.0,,,4.051,0.0,4.051,0.0,,4.051,4.051,,166.451197,0.024582,0.024582,,166.451197,0.024582,0.024582,0.024582,
06/30/1991,60.028999,,,-50.117001,,,,9.912,-3.058,,3.058,,0.0,,0.0,6.854,-3.084,3.77,0.0,,,3.77,0.0,3.77,0.0,,3.77,3.77,,191.601699,0.019899,0.019899,,191.601699,0.019899,0.019899,0.019899,
09/30/1991,66.287003,,,-58.043999,,,,8.243,-3.095,,3.095,,0.0,,0.0,5.148,-2.318,2.83,0.0,,,2.83,0.0,2.83,0.0,,2.83,2.83,,192.131367,0.014632,0.014632,0.014632,192.131367,0.014632,0.014632,0.014632,
12/31/1991,71.001999,,,-62.455002,,,,8.547,-2.356,,2.356,,0.0,,0.0,6.191,-2.724,3.467,-1.255,,,4.722,0.0,4.722,0.0,,4.722,4.722,,205.441315,0.022826,0.016973,,205.441315,0.022826,0.016973,0.016973,
03/31/1992,77.517998,,,-63.181999,,,,14.336,-1.934,,1.934,,0.0,,0.0,12.402,-5.46,6.942,0.0,,,6.942,0.0,6.942,0.0,,6.942,6.942,,217.093927,0.031605,0.031605,,217.093927,0.031605,0.031605,0.031605,
