Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1993,,,,,,,,,,,,,,,,,,,
06/30/1993,,,,,,,,,,,,,,,,,,,
09/30/1993,,,,,,,,,,,,,,,,,,,
12/31/1993,57.563999,-15.498,0.0,0.0,0.851,42.916999,16.977,5.012664,0.019829,153.824362,,,,,37.89,23.243,1.677494,,
03/31/1994,56.0175,-13.331,0.0,0.0,0.709,43.395499,14.738999,4.810367,0.016338,,,,,,56.0175,43.395499,1.694607,,
06/30/1994,75.671252,-10.485,0.0,0.0,0.472,65.658253,12.071,3.910198,0.007189,,,,,,68.074376,58.061376,2.304769,,
09/30/1994,51.634502,-16.141,0.0,0.0,0.349,35.842502,17.952001,1.944073,0.009737,,,,,,51.634502,35.842502,1.258161,,
12/31/1994,109.973252,-25.154001,0.0,0.0,0.148,84.967251,24.102,0.614057,0.001742,349.659468,,,,,102.300377,77.294376,2.680017,,
03/31/1995,113.031002,-21.689001,0.0,0.0,0.137,91.479002,22.183999,0.617562,0.001498,53.031306,,,,,113.002498,91.450497,2.883226,,
06/30/1995,130.017501,-16.789,0.0,0.0,0.124,113.352501,19.371999,0.640099,0.001094,30.81906,,,,,129.91925,113.254251,3.569033,,
09/30/1995,178.965,-11.59,0.0,0.0,0.111,167.486,16.461,0.674321,0.000663,28.205794,,,,,178.650001,167.171002,5.264207,,
12/31/1995,249.900007,-41.181001,0.0,0.0,0.231,208.950007,47.734002,0.483932,0.001106,21.08902,,,,,221.125007,180.175006,5.22584,,
03/31/1996,282.434996,-49.005999,0.0,0.0,0.085,233.513997,44.995995,0.188906,0.000364,15.885306,,,,,285.969011,237.048013,5.890868,,
06/30/1996,401.859794,-37.52,0.0,0.0,0.072,364.411795,43.454004,0.165692,0.000198,17.221729,,,,,389.635504,352.187504,8.742247,,
09/30/1996,508.21651,-49.693998,0.0,0.0,0.19,458.712511,44.668001,0.42536,0.000414,14.417214,,,,,503.860495,454.356497,11.169585,,
12/31/1996,538.020477,-38.25,0.0,0.0,0.11,499.880477,45.357002,0.24252,0.00022,11.963156,845.821485,,,,571.340993,533.200993,11.962298,,
03/31/1997,545.064018,-38.547,0.0,0.0,0.077,506.594018,46.334999,0.166181,0.000152,9.492112,100.038314,,,,595.556004,557.086004,12.082475,,
06/30/1997,708.257007,-37.900001,0.0,0.0,0.057,670.414006,49.533002,0.115075,8.5e-05,10.134908,67.965736,606.160934,,,766.078001,728.235,15.855028,,
09/30/1997,1009.091961,-116.291996,0.0,0.0,0.067,892.866965,141.202994,0.047449,7.5e-05,11.764658,67.544216,236.208193,,,1041.43198,925.206984,18.581266,,
12/31/1997,1172.430038,-113.095001,0.0,0.0,1.173,1060.508037,146.874994,0.798638,0.001106,12.003351,59.90894,145.474355,,,1172.655001,1060.732999,20.352115,,
