Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,7.135,,,7.135,,1.038,,1.038,0.386843,,,0.386843,0.112778,,,0.112778,
06/30/2008,7.506,,,7.506,,1.151,,1.151,0.394096,,,0.394096,0.115324,,,0.115324,
09/30/2008,220.408,32.695,,253.103,,,,,11.595283,1.720027,,13.31531,3.320551,0.492566,,3.813116,
12/31/2008,4.691,217.945,,222.636,,,,,0.259698,12.065639,,12.325336,0.073794,3.428504,,3.502298,
03/31/2009,6.573,190.043,0.0,196.616,,,,,0.361544,10.453192,0.0,10.814735,0.10526,3.043335,0.0,3.148595,
06/30/2009,7.82,260.238,0.0,268.058,,,,,0.400704,13.33483,0.0,13.735533,0.120819,4.020673,0.0,4.141492,
09/30/2009,7.493,379.661,0.0,387.154,,,,,0.365499,18.51938,0.0,18.884879,0.111732,5.661322,0.0,5.773054,
12/31/2009,8.061,387.821,0.0,395.882,,,,,0.373632,17.975723,0.0,18.349354,0.117733,5.664238,0.0,5.781972,
03/31/2010,8.35,252.575,,260.925,,1.332,,1.332,0.388022,11.737084,0.0,12.125106,0.123912,3.748138,0.0,3.87205,
06/30/2010,8.838,268.439,,277.277,,,,,0.417664,12.685823,,13.103487,0.13296,4.03844,,4.171401,
09/30/2010,8.743,93.363,0.0,102.106,0.0,5.737,0.0,5.737,0.444436,4.745955,0.0,5.190391,0.137665,1.470071,0.0,1.607736,
12/31/2010,8.527,244.339,,252.866,,2.44,,2.44,0.436641,12.511822,0.0,12.948463,0.132894,3.808043,0.0,3.940937,
03/31/2011,8.619,191.714,0.0,200.333,,1.336,,1.336,0.425003,9.453418,0.0,9.878421,0.133213,2.963075,0.0,3.096288,
06/30/2011,8.527,244.339,,252.866,,2.44,,2.44,0.413509,11.848986,,12.262494,0.133012,3.811425,,3.944437,
09/30/2011,8.234,475.17,0.0,483.404,0.0,5.257,0.0,5.257,0.480481,27.727707,0.0,28.208188,0.128828,7.434471,0.0,7.5633,
12/31/2011,8.497,185.253,,193.75,,0.435,,0.435,0.677453,14.769951,,15.447405,0.14065,3.066464,,3.207113,
03/31/2012,9.143,167.035,0.0,176.178,0.0,4.172,0.0,4.172,0.7206,13.16477,0.0,13.885371,0.150215,2.744297,0.0,2.894512,
06/30/2012,8.986,173.792,,182.778,0.0,0.731,0.0,0.731,0.718694,13.899757,,14.618451,0.147621,2.855034,,3.002655,
09/30/2012,10.063,352.675,0.0,362.738,0.0,5.779,0.0,5.779,0.774598,27.147118,0.0,27.921717,0.159034,5.57362,0.0,5.732654,
12/31/2012,10.525,219.175,,229.7,,1.522,,1.522,0.905417,18.854607,,19.760024,0.165531,3.447048,,3.612579,
03/31/2013,10.923,215.775,,226.698,0.0,1.709,0.0,1.709,0.968285,19.127684,0.0,20.095969,0.173431,3.42599,0.0,3.599421,
06/30/2013,11.788,234.575,,246.363,0.0,0.52,0.0,0.52,1.077968,21.450995,,22.528963,0.186083,3.702947,,3.88903,
09/30/2013,11.568,80.033,0.0,91.601,0.0,7.059,0.0,7.059,1.078937,7.464609,0.0,8.543546,0.181294,1.254283,0.0,1.435577,
12/31/2013,12.785,37.286,,50.071,,5.592,,5.592,1.215612,3.545193,,4.760805,0.192169,0.560438,,0.752607,
03/31/2014,12.971,60.278,,73.249,0.0,1.822,0.0,1.822,1.233957,5.734367,,6.968324,0.193406,0.898784,,1.09219,
06/30/2014,12.987,53.775,,66.762,,6.073,,6.073,1.001195,4.145627,,5.146822,0.192825,0.798426,,0.991251,
09/30/2014,12.068,98.341,,110.409,0.0,11.293,0.0,11.293,2.580496,21.028221,,23.608717,0.181847,1.481856,,1.663703,
12/31/2014,13.885,53.776,,67.661,,2.411,,2.411,1.59606,6.181469,,7.777529,0.212854,0.824372,,1.037226,
03/31/2015,9.892,34.76,0.0,44.652,0.0,7.756,0.0,7.756,1.307597,4.594833,0.0,5.90243,0.155255,0.545558,0.0,0.700813,
06/30/2015,10.086,28.038,0.0,38.124,,,,,1.396518,3.88217,0.0,5.278687,0.15704,0.436554,0.0,0.593594,
09/30/2015,9.111,380.21,0.0,389.321,,0.666,,0.666,1.470045,61.346258,0.0,62.816303,0.1366,5.700452,0.0,5.837052,
12/31/2015,10.138,19.502,0.0,29.64,,,,,1.917871,3.689319,0.0,5.60719,0.159639,0.30709,0.0,0.466729,
03/31/2016,8.76,30.093,,38.853,,,,,1.680917,5.774412,0.0,7.455329,0.1364,0.46857,0.0,0.604969,
06/30/2016,9.877,19.223,0.0,29.1,,,,,0.439754,0.855866,0.0,1.295619,0.101396,0.19734,0.0,0.298736,
09/30/2016,10.225,19.17,0.0,29.395,,,,,0.475525,0.891523,0.0,1.367048,0.103232,0.19354,0.0,0.296772,
12/31/2016,10.181,22.718,0.0,32.899,,,,,0.525696,1.173044,0.0,1.69874,0.107318,0.23947,0.0,0.346787,
03/31/2017,9.958,26.237,0.0,36.195,,,,,0.523066,1.378157,0.0,1.901224,0.102956,0.271264,0.0,0.374219,
06/30/2017,10.766,46.731,0.0,57.497,,,,,0.57966,2.516076,0.0,3.095735,0.109693,0.476133,0.0,0.585826,
09/30/2017,10.741,56.451,0.0,67.192,,,,,0.574801,3.020957,0.0,3.595759,0.104688,0.550204,0.0,0.654892,
12/31/2017,11.279,611.566,0.0,622.845,,2.329,,2.329,0.490638,26.60322,0.0,27.093859,0.102794,5.573675,0.0,5.676469,
03/31/2018,10.739,17.068,0.0,27.807,0.0,1.102,0.0,1.102,0.474909,0.754795,0.0,1.229704,0.089505,0.142255,0.0,0.231761,
06/30/2018,10.529,9.016,0.0,19.545,0.0,3.413,0.0,3.413,0.511751,0.438213,0.0,0.949964,0.089134,0.076326,0.0,0.16546,
09/30/2018,10.583,10.529,0.0,21.112,0.0,0.365,0.0,0.365,0.545832,0.543047,0.0,1.088878,0.089641,0.089184,0.0,0.178825,
12/31/2018,10.248,1.554,0.0,11.802,0.0,0.973,0.0,0.973,0.550239,0.083438,0.0,0.633677,0.086428,0.013106,0.0,0.099534,
03/31/2019,9.49,2.432,0.0,11.922,0.0,3.756,0.0,3.756,0.53898,0.138124,0.0,0.677104,0.069324,0.017766,0.0,0.08709,
06/30/2019,9.744,5.04,0.0,14.784,0.0,8.578,0.0,8.578,0.587348,0.303801,0.0,0.891149,0.071015,0.036732,0.0,0.107747,
09/30/2019,9.54,32.551,0.0,42.091,0.0,12.046,0.0,12.046,0.631015,2.153059,0.0,2.784074,0.070265,0.239748,0.0,0.310013,
12/31/2019,10.168,14.217,0.0,24.385,0.0,9.756,0.0,9.756,0.694428,0.970956,0.0,1.665384,0.073591,0.102896,0.0,0.176488,
03/31/2020,9.582,15.131,0.0,24.713,0.0,23.506,0.0,23.506,0.852612,1.346365,0.0,2.198977,0.070631,0.111533,0.0,0.182164,
06/30/2020,10.504,767.59,0.0,778.094,0.0,24.404,0.0,24.404,1.02545,74.935739,0.0,75.961188,0.073109,5.342524,0.0,5.415633,
