Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
12/31/1982,0.892442,22.54902,0.731803,0.981686,0.724663,,,,
03/31/1983,1.017384,14.0,0.892442,1.08521,0.856744,,,,
06/30/1983,1.195872,17.54386,1.017384,1.206582,0.978117,,,,
09/30/1983,1.242279,3.880597,1.195872,1.363652,1.170884,,,,
12/31/1983,1.277977,2.873563,1.23871,1.299396,1.153035,,,,
03/31/1984,1.185163,-7.26257,1.274407,1.352942,1.056652,,,,
06/30/1984,0.896012,-24.39759,1.185163,1.188733,0.896012,,,,
09/30/1984,0.756791,-15.537849,0.878163,0.903151,0.589012,,,,
12/31/1984,0.838896,10.849057,0.753221,0.921,0.738942,,,,
03/31/1985,1.028093,22.553191,0.838896,1.031663,0.810337,,,,
06/30/1985,0.913861,-11.111111,1.020954,1.049512,0.863884,,,,
09/30/1985,0.970977,6.25,0.917431,0.999535,0.874593,,,,
12/31/1985,1.08521,11.764706,0.963838,1.110198,0.935279,,,,
03/31/1986,1.345803,24.013158,1.095919,1.363652,1.010245,,,,
06/30/1986,1.552849,15.384615,1.342233,1.567128,1.213721,,,,
09/30/1986,1.38864,-10.574713,1.54214,1.69921,1.335093,,,,
12/31/1986,1.524291,9.768638,1.38507,1.602826,1.377931,,,,
03/31/1987,1.706349,11.943794,1.524291,1.881268,1.517152,,141.342896,,
06/30/1987,1.677791,-1.67364,1.69207,1.817012,1.427907,,141.342896,,
09/30/1987,1.774175,5.744681,1.677791,1.895547,1.656373,,141.342896,,
12/31/1987,1.270838,-28.370221,1.792024,1.85628,1.192303,,141.342896,,
03/31/1988,1.274407,0.280899,1.295826,1.406489,1.23514,,135.835007,,
06/30/1988,1.474314,15.686275,1.277977,1.524291,1.263698,,135.835007,,
09/30/1988,1.413628,-4.116223,1.485024,1.513582,1.320814,,135.835007,,
12/31/1988,1.438617,1.767677,1.413628,1.567128,1.363652,,135.835007,,
03/31/1989,1.510012,4.962779,1.438617,1.592117,1.420768,,133.632004,,
06/30/1989,1.624245,7.565012,1.510012,1.734908,1.510012,,133.632004,,
09/30/1989,1.727768,6.373626,1.624245,1.842001,1.609966,,133.632004,,
12/31/1989,1.681361,-2.68595,1.734908,1.820582,1.631384,,133.632004,,
03/31/1990,1.527861,-9.129512,1.684931,1.717059,1.481454,,122.760002,,
06/30/1990,1.642094,7.476636,1.513582,1.738477,1.467175,,122.760002,,
09/30/1990,1.288686,-21.521739,1.638524,1.69207,1.249419,,122.760002,,
12/31/1990,1.370791,6.371191,1.306535,1.417198,1.149466,,122.760002,,
03/31/1991,1.617105,17.96875,1.360082,1.69207,1.281547,,114.167999,,
06/30/1991,1.606396,-0.662252,1.602826,1.799163,1.592117,,114.167999,,
09/30/1991,1.570698,-2.222222,1.613535,1.745617,1.54571,,114.167999,,
12/31/1991,1.649233,5.0,1.584977,1.656373,1.427907,,114.167999,,
03/31/1992,1.877698,13.852814,1.638524,2.016919,1.563559,,114.421997,,
06/30/1992,1.84914,-1.520913,1.870559,1.956233,1.784884,,114.421997,,
09/30/1992,1.931245,4.440154,1.84914,1.945524,1.792024,,114.421997,,
12/31/1992,2.056187,6.469501,1.913396,2.059757,1.806303,,114.421997,,
03/31/1993,2.277512,10.763889,2.059757,2.31321,1.970512,,114.421997,,
06/30/1993,2.434582,6.896552,2.281082,2.477419,2.206117,,114.421997,,
09/30/1993,2.673757,9.824047,2.427443,2.705885,2.391745,,114.421997,,
12/31/1993,2.605931,-2.536716,2.666617,2.709454,2.456001,,114.421997,,
03/31/1994,2.674977,2.649571,2.598792,2.977187,2.503404,,117.560997,,
06/30/1994,2.546297,-4.810496,2.596989,2.830952,2.5307,,117.560997,,
09/30/1994,2.600889,2.143951,2.554096,2.71787,2.452712,,117.560997,,
12/31/1994,2.764663,6.296852,2.59309,2.819254,2.40202,,117.560997,,
03/31/1995,3.201394,15.796897,2.752965,3.244287,2.702273,,105.671997,,
06/30/1995,3.665421,14.494519,3.209193,3.727811,3.107809,12444.072265,105.671997,,
09/30/1995,3.868188,5.531915,3.677119,4.008566,3.493848,14443.768248,105.906998,,
12/31/1995,3.978948,2.863343,3.868188,3.978948,3.523027,2809.656,116.482002,,
03/31/1996,4.227632,6.25,3.937501,4.600659,3.688816,3003.517593,117.069,,
06/30/1996,4.165461,-1.470588,4.26908,4.745724,4.10329,2966.433409,117.785004,,
09/30/1996,3.999672,-3.9801,4.186185,4.310527,3.564474,2849.4761,118.067001,,
12/31/1996,4.061843,1.554404,3.978948,4.26908,3.782073,2901.706402,118.112999,,
03/31/1997,3.70954,-8.673469,4.020395,4.372698,3.70954,2650.027796,118.436996,,
06/30/1997,4.26908,15.083799,3.688816,4.600659,3.668093,3049.958742,118.436996,,
09/30/1997,5.502139,28.883495,4.26908,5.585034,4.144737,3930.893437,118.445,,
12/31/1997,5.201646,-5.461394,5.502139,5.533225,4.766448,3716.243223,118.445,,
03/31/1998,6.310363,21.314741,5.17056,6.455429,4.66283,4508.312801,118.445999,,
06/30/1998,6.196383,-1.80624,6.320725,6.372534,5.45033,4426.881864,118.445,,
09/30/1998,5.616119,-9.364548,6.196383,6.320725,4.89079,3681.365727,118.445,,
12/31/1998,6.590133,17.343173,5.574672,6.776646,5.087665,3814.728092,108.675003,,
03/31/1999,5.864804,-11.006289,6.600494,6.776646,5.802633,3109.993157,95.968002,,
06/30/1999,6.320725,7.773852,5.885527,6.880264,5.781909,3351.75941,87.915001,,
09/30/1999,5.274178,-16.557377,6.403619,6.63158,5.05658,2796.795967,87.915001,,
12/31/1999,5.543586,5.108055,5.232731,6.009869,5.201646,2939.657813,87.915001,,
03/31/2000,5.149836,-7.102804,5.502139,5.792271,3.70954,2730.859688,87.915001,,
06/30/2000,5.035856,-2.21328,5.180922,5.999508,4.745724,2670.405823,87.914597,,
09/30/2000,5.377797,6.790123,5.035856,5.792271,4.911514,2851.729675,87.910004,,
12/31/2000,6.424343,19.460501,5.377797,6.569409,4.932238,3406.70625,87.914597,,
03/31/2001,6.424343,0.0,6.362172,7.336185,5.893817,3406.70625,87.914597,,
06/30/2001,7.336185,14.193548,6.465791,8.123686,6.291712,3890.23875,87.914597,,
09/30/2001,7.42737,1.242938,7.308001,7.659475,6.963159,3938.592,87.914597,,
12/31/2001,8.37237,12.723214,7.460528,8.621054,7.160449,,88.396301,,
03/31/2002,10.45137,24.831683,8.37237,10.693423,7.593159,5697.303005,90.080902,,
06/30/2002,11.704739,11.992386,10.45137,11.746186,10.345265,6475.855453,90.749199,,
09/30/2002,10.33366,-11.713881,11.67987,11.681528,8.937712,5719.58782,91.665398,,
12/31/2002,10.061765,-2.631157,10.411581,11.20737,9.15987,5572.85925,91.803703,,
03/31/2003,8.854817,-11.995386,10.121449,10.29387,8.307712,4906.56306,91.846802,,
06/30/2003,10.852581,22.561318,8.854817,11.141054,8.815028,6040.910416,91.876701,,
09/30/2003,9.920844,-8.585396,10.852581,11.537291,9.781581,5521.97532,92.361397,,
12/31/2003,12.303239,24.014037,10.005396,12.500528,9.968923,6847.43091,92.271301,91.8354,
03/31/2004,12.654713,2.856758,12.334739,13.017792,11.776028,7043.045714,92.271301,91.8344,
06/30/2004,13.760529,8.738373,12.69616,14.254581,12.540318,7659.07399,92.615402,92.1535,
09/30/2004,13.261502,-3.626506,13.810265,14.02745,12.462397,7381.31721,92.277496,91.813,
12/31/2004,14.000923,5.575697,13.259844,14.377265,12.832107,7793.815593,92.319,91.8682,
03/31/2005,14.960844,6.856128,13.994292,15.212845,13.342739,8327.853809,92.281097,91.8372,
06/30/2005,16.186029,8.189273,15.045397,16.471187,14.014186,9017.500889,92.290604,91.8307,
09/30/2005,18.833687,16.357677,16.288818,19.140398,16.104792,10490.502209,92.7118,92.2393,
12/31/2005,17.046476,-9.489437,18.833687,19.248161,15.62566,9492.235467,92.342697,91.854,
03/31/2006,18.641371,9.356156,17.212266,19.473635,16.529213,10407.800417,92.3535,91.8535,
06/30/2006,16.413161,-11.953042,18.667898,19.089003,15.693634,9139.584045,92.482452,91.97175,
09/30/2006,17.000055,3.575758,16.413161,17.205634,15.033792,9470.406706,92.337349,91.8266,
12/31/2006,18.840319,10.825044,16.937055,19.045898,16.721529,10398.989973,92.349297,91.83845,
03/31/2007,20.000845,6.159803,18.840319,20.667319,18.667898,10984.819092,90.896851,90.372,
06/30/2007,22.640214,13.196286,20.000845,23.356425,19.901372,12364.299847,90.861549,90.3196,
09/30/2007,22.524161,-0.512595,22.567267,24.351162,19.261424,12313.984597,90.546852,89.96795,
12/31/2007,21.897477,-2.782276,22.524161,23.197267,19.911319,11985.607591,90.655197,90.0811,
03/31/2008,17.179108,-21.547547,21.814582,21.88753,16.890634,9409.410667,90.784447,90.17185,
06/30/2008,20.998898,22.23509,17.457634,22.421372,17.258687,11506.317692,90.842201,90.21775,
09/30/2008,18.439108,-12.190115,20.703793,23.121004,17.325003,10096.678745,90.871902,90.21495,
12/31/2008,15.249318,-17.299047,18.27995,18.618161,11.52237,8356.383,90.794701,90.139,
03/31/2009,12.755844,-16.351381,15.46816,17.049792,10.590633,7001.54,90.900002,90.25285,
06/30/2009,14.755266,15.674552,12.600002,15.554371,12.354634,8116.8,91.0,90.55015,
09/30/2009,17.291845,17.191011,14.868002,17.477529,13.644476,9517.375,91.199997,90.7536,
12/31/2009,16.492739,-4.621285,17.258687,18.883424,16.058371,9097.446,91.349998,91.00275,
03/31/2010,17.77595,7.780458,16.645266,18.439108,15.72016,9832.074,91.449997,91.0876,
06/30/2010,14.894529,-16.209662,17.882055,19.228266,14.645844,8251.804,91.75,91.37965,
09/30/2010,15.527845,4.252004,14.858055,16.840897,13.942897,8597.988,91.699997,91.29685,
12/31/2010,17.278582,11.274824,15.703581,17.653266,14.94095,9588.24,91.800003,91.39685,
03/31/2011,19.911319,15.236999,17.411213,21.221056,17.175792,11229.35,91.849998,91.41625,
06/30/2011,19.53995,-1.865112,20.057214,20.239748,18.037898,10913.836,92.050003,91.6531,
09/30/2011,13.926318,-28.729001,19.556529,19.937845,13.346055,7786.8,92.650002,92.2519,
12/31/2011,19.33,38.801943,13.813581,20.76,13.140476,1807.355,92.650002,91.7921,
03/31/2012,22.94,18.675634,19.65,25.59,19.52,2156.36,94.900002,93.9616,
06/30/2012,17.6,-23.278117,23.03,23.33,16.88,1626.24,92.300003,91.3132,
09/30/2012,20.15,14.488636,17.88,21.85,17.22,1867.905,92.300003,91.3047,
12/31/2012,23.46,16.426799,20.1,23.46,19.791,2160.666,92.300003,91.3002,
03/31/2013,28.43,21.184996,23.89,29.375,23.83,2592.816,92.300003,91.2636,
06/30/2013,29.41,3.447063,28.49,30.93,25.94,2655.723,92.300003,91.25575,
09/30/2013,35.95,22.237334,29.58,36.51,29.105,3257.07,90.300003,89.55355,
12/31/2013,43.42,20.77886,35.92,43.66,35.055,3951.22,90.699997,89.9497,
03/31/2014,42.76,-1.520037,43.21,44.87,37.87,3921.092,91.656174,90.88349,
06/30/2014,48.1,12.488307,42.91,48.24,41.481,4405.96,91.699997,90.90736,
09/30/2014,44.94,-6.569647,48.44,49.42,44.93,4116.504,91.599998,90.80439,
12/31/2014,40.46,-9.968847,44.9,45.34,36.74,3681.86,91.599998,90.90257,
03/31/2015,39.91,-1.359367,40.78,42.969,35.3,3559.972,90.397568,89.74664,
06/30/2015,41.84,4.835881,40.06,43.96,39.01,3740.496,89.199997,88.59614,
09/30/2015,33.43,-20.100382,42.2,42.43,32.86,2991.985,89.400002,88.91486,
12/31/2015,36.32,8.64493,33.47,40.52,32.7,3250.64,89.5,88.99737,
03/31/2016,36.89,1.569383,35.07,38.96,29.15,3320.1,89.829277,89.19092,
06/30/2016,31.98,-13.30984,36.62,39.7,30.31,2865.408,90.099998,89.49516,
09/30/2016,35.84,12.070044,31.99,36.98,30.06,3164.672,89.599998,88.99516,
12/31/2016,38.57,7.617187,35.65,43.07,32.46,3409.588,88.199997,87.5932,
03/31/2017,41.02,6.352087,39.03,44.0,38.52,3638.474,88.664467,88.02726,
06/30/2017,40.18,-2.047782,41.18,42.73,36.93,3535.84,88.7,88.032494,
09/30/2017,44.27,10.179194,40.54,44.95,38.66,3895.76,88.0,87.332642,
12/31/2017,53.37,20.555681,44.22,54.79,44.06,4707.234,88.0,87.336105,
03/31/2018,48.98,-8.225595,53.67,57.62,47.71,4280.852,88.664466,87.950241,
06/30/2018,52.27,6.717027,48.68,55.62,47.06,4578.852,87.4,86.656265,
09/30/2018,61.26,17.199158,51.61,63.04,51.26,5366.376,87.6,86.862488,
12/31/2018,48.27,-21.204701,61.75,61.88,44.89,4228.452,87.6,86.857262,
