Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
11/30/1993,,,,,,,7.432548,5.555415,2.990501,,1.986067,1.089297,1.089297,1.089297,,45.153059,0.0,,
02/28/1994,,,,,,,8.120504,6.432723,4.149318,,3.420098,2.135334,2.135334,2.135334,,37.565105,0.0,,
05/31/1994,,,,,,,7.292641,4.882179,2.249526,,1.252672,0.515241,0.515241,0.515241,,58.868648,0.0,,
08/31/1994,,,,,,,4.017579,2.934215,0.355467,,-0.607525,-0.516234,-0.516234,-0.516234,,,,,
11/30/1994,,6.934511,2.411357,5.62223,5.602405,,8.455936,6.748701,4.315661,8.020252,3.056227,1.703501,1.703501,1.703501,,44.261297,0.0,6.934511,
02/28/1995,,1.632567,0.5154,2.00607,2.62374,,5.064351,2.999642,0.575812,,-0.645714,-0.670179,-0.670179,-0.670179,,,,,
05/31/1995,,3.124321,0.895977,3.804171,4.056607,,5.912817,4.477466,2.236468,2.21436,1.088032,0.931736,0.931736,0.931736,,14.365026,0.0,3.124321,
08/31/1995,,13.137711,3.198039,8.279759,7.826247,,6.545927,5.751357,3.978675,9.473864,2.966966,2.428005,2.428005,2.428005,,18.165409,0.0,13.137711,
11/30/1995,,13.542691,4.197997,9.911767,9.752815,,7.405441,6.583139,4.856856,5.314849,3.718116,2.230014,2.230014,2.230014,,40.023003,0.0,13.542691,
02/29/1996,,21.680105,7.29841,14.568779,14.697343,,7.752901,6.899435,4.952722,9.086407,3.966846,2.689833,2.689833,2.689833,,32.192147,0.0,21.680105,
05/31/1996,,26.545692,9.377786,18.505334,18.543159,,8.447392,7.104656,5.175671,9.636717,4.370941,2.838858,2.838858,2.838858,,35.051545,0.0,26.545692,
08/31/1996,,26.490924,8.383184,16.419361,16.250067,,10.814984,9.393973,6.322192,,5.989627,3.767353,3.767353,3.767353,,37.102033,0.0,26.490924,
11/30/1996,,23.527135,8.761878,15.602951,15.636827,,11.371453,9.894617,7.219185,,6.895159,4.347269,4.347269,4.347269,,36.951863,0.0,23.527135,
02/28/1997,,25.338998,10.246948,17.118827,17.127122,,11.916088,10.697296,7.990567,,7.815489,4.977339,4.977339,4.977339,,36.314428,0.0,25.338998,
