Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EPS Surprise %,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Gross Margin %,Gross Margin Surprise %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Net Income Surprise %,Source: Bloomberg
12/31/1989,,,26.299999,,26.299999,26.299999,,,,,,,,,,,,,
03/31/1990,,,6.0,,6.0,6.0,,,,,,,,,,,,,
06/30/1990,,,24.9,,24.9,24.9,,,,,,,,,,,,,
09/30/1990,,,0.0,,27.0,27.0,,,,,,,,,,,,,
12/31/1990,,,22.4,,22.4,22.4,,,,,,,,,,,,,
03/31/1991,,,8.0,,8.0,8.0,,,,,,,,,,,,,
06/30/1991,,,27.200001,,27.199999,27.199999,,,,,,,,,,,,,
09/30/1991,,,0.0,,29.299999,29.299999,,,,,,,,,,,,,
12/31/1991,,,26.4,,26.4,26.4,,,,,,,,,,,,,
03/31/1992,,,14.5,,14.5,14.5,,,,,,,,,,,,,
06/30/1992,,,34.299999,,34.300002,34.300002,,,,,,,,,,,,,
09/30/1992,,,0.0,,39.700001,39.700001,,,,,,,,,,,,,
12/31/1992,,,32.599998,,-91.600003,-91.600003,,,,,,,,,,,,,
03/31/1993,,,19.299999,,16.8,16.8,,,,,,,,,,,,,
06/30/1993,,,40.200001,,38.5,38.5,,,,,,,,,,,,,
09/30/1993,,,0.0,,42.499998,42.499998,,,,,,,,,,,,,
12/31/1993,,,35.799999,,35.799999,35.799999,,,,,,,,,,,,,
03/31/1994,,,23.200001,,23.2,23.2,,,,,,,,,,,,,
06/30/1994,,,43.400002,,43.399998,43.399998,,,,,,,,,,,,,
09/30/1994,,,0.0,,53.5,53.5,,,,,,,,,,,,,
12/31/1994,,,38.799999,,38.800001,38.800001,,,,,,,,,,,,,
03/31/1995,,,30.0,,29.999999,29.999999,,,,,,,,,,,,,
06/30/1995,,,52.900002,,52.899999,52.899999,,,,,,,,,,,,,
09/30/1995,,,0.0,,64.7,64.7,,,,,,,,,,,,,
12/31/1995,,,42.900002,,44.6,44.6,,,,,,,,,,,,,
03/31/1996,,,34.0,,34.100002,34.100002,,,,,,,,,,,,,
06/30/1996,,,61.099998,,66.900003,66.900003,,,,,,,,,,,,,
09/30/1996,,,0.0,,79.6,79.6,,,,,,,,,,,,,
12/31/1996,,,52.599998,,50.799999,50.799999,,,,,,,,,,,,,
03/31/1997,,,36.200001,,65.599998,65.599998,,,,,,,,,,,,,
06/30/1997,,,72.099998,,72.100002,72.100002,,,,,,,,,,,,,
09/30/1997,,,0.0,,90.400002,90.400002,,,,,,,,,,,,,
12/31/1997,,,63.0,,63.000003,63.000003,,,,,,,,,,,,,
03/31/1998,,,50.099998,,50.1,50.1,,,,,,,,,,,,,
06/30/1998,,,81.5,,81.500001,81.500001,,,,,,,,,,,,,
09/30/1998,,,-35.0,,133.6,133.6,,,,,,,,,,,,,
12/31/1998,,,77.300003,,77.299997,77.299997,,,,,,,,,,,,,
03/31/1999,,,63.400002,,95.9,95.9,,,,,,,,,,,,,
06/30/1999,,,112.099998,,108.599998,108.599998,,,,,,,,,,,,,
09/30/1999,,,124.800003,,124.8,124.8,,,,,,,,,,,,,
12/31/1999,,,96.599998,,96.6,96.6,,,,,,,,,,,,,
03/31/2000,,,86.400002,,86.4,86.4,,,,,,,,,,,,,
06/30/2000,,,130.899994,,130.9,130.9,,,,,,,,,,,,,
09/30/2000,,,148.699997,,148.7,148.7,,1.74794007490636,,,,,,,,,,,
12/31/2000,,,100.0,,100.0,100.0,,7.21228070175438,,,,,,,,,,,
03/31/2001,,,80.900002,,80.9,80.9,,3.72937062937063,,,,,,,,,,,
06/30/2001,,,134.399994,,134.4,134.4,,0.694583333333334,,,,,,,,,,,
09/30/2001,,,154.199997,,154.2,154.2,,1.21199999999999,,,,,,,,,,,
12/31/2001,,,117.800003,,117.800002,117.800002,,19.5858757062147,,,,,,,,,,,
03/31/2002,,,112.900002,,114.800003,114.800003,,4.49067357512954,,,,,,,,,,,
06/30/2002,,,173.399994,,175.300003,175.300003,,1.42532894736843,,,,,,,,,,,
09/30/2002,,,188.699997,,188.7,188.7,,0.4976119402985,,,,,,,,,,,
12/31/2002,,,138.699997,,140.399994,140.399994,,1.92851239669422,,,,,,,,,,,
03/31/2003,,,130.300003,,130.299997,130.299997,,2.3390350877193,,,,,,,,,,,
06/30/2003,,,188.199997,,188.2,188.2,,6.15700636942675,,,,,,,,,,,
09/30/2003,,,218.5,,218.5,218.5,,1.0498687664042,,,,,,,,,,,
12/31/2003,,,153.699997,,162.7,162.7,,-4.24028268551235,,,,,,,,,,,
03/31/2004,,,146.080002,,157.7,157.7,,-4.74419475655432,,,,,,,,,,,
06/30/2004,,,209.300003,,222.3,222.3,,-5.51181102362205,,,,,,,,,,,
09/30/2004,,,254.5,,273.0,273.0,,-1.4295711060948,,,,,,,,,,,
12/31/2004,,,160.5,,168.399994,168.399994,,1.34322344322343,,,,,,,,,,,
03/31/2005,,,164.800003,,203.0,203.0,,-0.234859154929568,,,,,,,,,,,
06/30/2005,,,254.699997,,254.699997,254.699997,,-0.304337899543373,,,,,,,,,,,
09/30/2005,,284.0,292.5,,283.0,283.0,,0.806451612903226,,,,,,,,,,2.99295774647887,
12/31/2005,,165.8,167.300003,,165.399994,165.399994,,3.86485507246376,,,,,,,,,,0.904706272617607,
03/31/2006,,152.571,162.0,-0.644768856447689,165.0,165.0,,6.82123552123552,,,,,,,,,,6.18007353953242,
06/30/2006,,325.0,332.0,-0.648661219987077,338.0,338.0,,0.538599640933573,,,,,,,,,,2.15384615384615,
09/30/2006,,362.833,368.0,-0.0967039389724489,360.0,360.0,,1.3549593495935,,,,,,,,,,1.42407112914205,
12/31/2006,,163.833,168.0,-1.65505793068106,162.0,162.0,,1.55304659498207,,,,,,,,,,2.543443628573,
03/31/2007,,208.429,295.809998,0.949690273939552,228.0,228.0,,5.76005665722381,,,,,,,,,,41.9236277101555,
06/30/2007,,392.429,396.0,-0.241810894924214,396.0,396.0,,-0.151285930408472,,,,,,,,,,0.909973523873115,
09/30/2007,,469.333,463.0,1.44983991618314,466.0,466.0,,-0.255754475703325,,,,,,,,,,-1.34936175380807,
12/31/2007,,220.8,235.0,4.88636186436283,235.0,235.0,,4.83870967741936,,,,,,,,,,6.43115942028985,
03/31/2008,,280.167,289.0,0.28787717240644,289.0,289.0,,2.78372591006423,,,,,,,,,,3.15276245953307,
06/30/2008,,436.889,439.0,0.417345276872964,439.0,439.0,,-0.815217391304348,,,,,,,,,,0.483189093797278,
09/30/2008,,431.556,337.75,-1.77686049844628,16.0,16.0,,0.412654745529574,,,,,,,,,,-21.7366923412025,
12/31/2008,,43.75,-82.0,-11.8398715957824,-608.0,-137.7,,-1650.0,,,,,,,,,,,
03/31/2009,,-117.35,-96.0,-9.50615293675103,-193.0,-124.5,,12.0879120879121,,,,,,,,,,18.1934384320409,
06/30/2009,,128.064,169.0,-5.47569198863487,163.0,163.75,,39.8963730569948,,,,,,1.98630136986302,,,,31.9652673663168,
09/30/2009,,331.667,326.4,0.574310378177046,300.0,258.15,,1.96078431372549,,,,,,-9.0738423028786,,,,-1.58803860498633,
12/31/2009,,182.143,288.0,12.3144483961996,350.0,350.0,,46.2585034013605,,,,,,2.4390243902439,,,,58.11752304508,
03/31/2010,,256.6,294.49,5.11880687563195,274.0,286.35,,12.8608923884514,,,,,,0.0,,,,14.7661730319563,
06/30/2010,,370.909,367.0,0.693131903050673,418.0,425.15,,-2.52707581227437,,,,,,-0.336871543888647,,,,-1.05389731713169,
09/30/2010,,374.7,409.0,3.85333794852665,449.0,456.15,,5.26315789473685,,,,,,5.03184713375796,,,,9.15398985855351,
12/31/2010,,363.0,375.0,6.72112573610664,375.0,375.0,,1.10294117647059,,,,,,-4.93589743589743,,,,3.30578512396694,
03/31/2011,,377.071,383.0,8.50648482417436,354.0,377.4,,0.719424460431655,,,,,,-3.71106693174288,,,,1.57238291992754,
06/30/2011,,362.857,384.648,8.34557848844746,357.0,357.0,,5.0656660412758,,,,,,-1.46225793703069,,,,6.00539606511656,
09/30/2011,,517.286,513.95,1.76158471878316,234.0,550.9,,-1.5748031496063,,,,,,-0.980936516749947,,,,-0.644904366249985,
12/31/2011,,427.118,410.0,-0.784504362548302,424.0,424.0,,-3.3816425120773,,,,,,-3.8059115877583,,,,-4.00779175778122,
03/31/2012,,363.563,363.0,-0.315837921572484,379.0,378.35,,-0.188323917137477,,,,,,0.638429326560033,,,,-0.15485624224687,
06/30/2012,,456.944,437.664,-2.65784291583046,431.0,440.95,,-3.6144578313253,,,,,,-5.99120082815735,,,,-4.21933541090375,
09/30/2012,,516.059,524.74,-4.28603664798501,-8.0,454.0,,2.25763612217796,,,,,,-3.52317211769163,,,,1.68217199971322,
12/31/2012,,346.643,354.0,1.43126897700015,359.0,359.0,,1.96078431372549,,,,,,1.2879742405152,,,,2.12235643010245,
03/31/2013,,289.267,292.69,-0.726542743314918,164.0,262.3,,-0.943396226415095,,,,,,2.8765049383606,,,,1.18333581085986,
06/30/2013,,517.867,535.0,-1.56122390181825,550.0,464.1,,4.27807486631016,,,,,,0.252084545278261,,,,3.30837840603862,
09/30/2013,,651.267,657.8,0.86580054958942,105.0,498.798,,0.422832980972516,,,,,,14.4111104430951,,,,1.00312160757414,
12/31/2013,,468.0,469.0,2.05241553520682,469.0,447.0,,-0.719424460431655,,,,,,-0.997197419018448,,,,0.213675213675214,
03/31/2014,,433.0,614.386,-1.93205014877966,261.0,584.0,,-1.38674884437596,,-0.655211045139347,,-3.7554549562345,,-1.35486885136489,,,,41.8905311778291,
06/30/2014,,557.357,383.211,-0.317505156992555,176.0,450.196,,1.44927536231884,,,,,,-2.58424119584494,,,,-31.2449650762438,
09/30/2014,,679.267,700.0,-1.81955312023612,309.0,840.75,,3.17460317460318,,,,,,-2.82040887241558,,,,3.05226074577448,
12/31/2014,,511.308,527.04,-0.101153903791391,507.0,491.0,,2.86458333333334,,,,,,0.178094390026717,,,,3.0768147574456,
03/31/2015,,488.385,432.164,-7.66728904414864,529.0,484.0,,4.61956521739131,,,,,,7.25037631710989,,,,-11.5116148120847,
06/30/2015,,595.909,532.0,0.256390484032385,178.0,601.0,,0.552486187845304,,,,,,2.93354782608695,,-2.05025726558935,,-10.7246240617275,
09/30/2015,,662.583,696.256,-0.515038501100826,349.0,487.35,,3.0723488602577,,,,,,-10.5148445738965,,13.6046511627907,,5.08208028277212,
12/31/2015,,534.182,537.0,-4.07305445511314,450.0,537.0,,0.122100122100122,,,,,,6.60248309629285,,0.383408853258975,,0.527535559041672,
03/31/2016,,533.364,558.976,0.14563310813965,-530.0,504.85,,5.3921568627451,,,,,,6.43299421836781,,-76.1347571992313,,4.80197388650152,
06/30/2016,,667.444,550.0,-1.05022356244151,383.0,675.2,,3.78273520853542,,,,,,5.08059986222247,,-15.9074336676685,,-17.5960829672602,
09/30/2016,,765.7,-288.0,-1.60253733418744,-1150.0,-408.15,,,,,,,,-1.50822645751367,,,,,
12/31/2016,,613.2,,,,,,,,,,,,,,,,,
03/31/2017,,627.0,,,,,,,,,,,,,,,,,
