Date,Assets,Cash & Near Cash Items,Short-Term Investments,Accounts & Notes Receivable,Inventories,Other Current Assets,Total Current Assets,LT Investments & LT Receivables,Net Fixed Assets,Gross Fixed Assets,Accumulated Depreciation,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Liabilities & Shareholders' Equity,Accounts Payable,Short-Term Borrowings,Other Short-Term Liabilities,Total Current Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,,77.412003,13.615,56.183998,20.153,8.049,175.412994,13.755,146.675995,241.537994,-94.862,2.34,162.770995,338.18399,,6.142,4.0,22.972,33.113998,11.296,13.116,24.412,57.525998,0.0,0.0,44.237999,236.419998,280.657997,338.183995,
06/30/1990,,32.311001,17.934999,64.871002,21.632999,8.632,145.382004,42.523998,148.770004,247.460007,-98.690002,2.381,193.675003,339.057007,,5.404,4.0,15.761,25.165001,11.342,13.272,24.614,49.779001,0.0,0.0,44.074001,245.203995,289.277996,339.056997,
09/30/1990,,19.083,20.334999,61.348,22.555,9.482,132.802994,58.943001,149.977005,252.251007,-102.274002,2.618,211.538006,344.341003,,5.162,4.0,18.114,27.275999,11.381,14.347,25.728,53.003999,0.0,0.0,43.804001,247.533005,291.337006,344.341004,
12/31/1990,,22.153999,20.035,55.761002,23.700001,9.12,130.770004,62.112999,151.184998,257.527008,-106.342003,3.037,216.334997,347.105011,,5.552,4.0,15.885,25.437,11.304,14.678,25.982,51.419,,,43.568001,252.117996,295.685997,347.104997,
03/31/1991,,26.857,32.035,60.426998,22.752001,8.431,150.501999,62.007999,151.001999,260.842987,-109.841003,3.442,216.451998,366.95401,,7.209,4.0,25.672001,36.881001,11.2,14.796,25.995999,62.877,0.0,0.0,43.241001,260.835999,304.077,366.954,
06/30/1991,,30.066999,36.404999,56.932999,23.434999,7.983,154.822998,62.022999,149.516998,263.350006,-113.833,3.12,214.659997,369.483002,,6.141,4.0,20.893999,31.035,11.259,14.922,26.181,57.216,0.0,0.0,43.068001,269.199005,312.267006,369.483006,
09/30/1991,,29.48,53.48,53.674,22.481001,8.146,167.261002,61.967999,146.464996,264.071991,-117.607002,3.753,212.185995,379.446991,,5.871,4.0,23.933001,33.804001,11.438,15.043,26.481,60.285001,0.0,0.0,42.588001,276.574005,319.162006,379.447007,
12/31/1991,,18.923,52.5,47.956001,24.233999,6.776,150.389008,54.806,140.126999,251.692993,-111.566002,6.232,201.164999,351.553986,,7.513,4.0,23.540001,35.053001,11.661,12.577,24.238,59.291001,0.0,0.0,42.599998,249.662994,292.262992,351.553993,
03/31/1992,,34.959999,40.5,57.539001,28.742001,7.31,169.050995,7.522,150.660004,267.367004,-116.707001,44.505001,202.687005,371.738007,,8.772,4.0,36.667,49.438999,13.012,12.747,25.759,75.197999,0.0,0.0,42.507999,254.031998,296.539997,371.737996,
06/30/1992,,29.691,29.700001,56.054001,29.545,6.918,151.908005,7.419,148.457001,269.903015,-121.445999,45.671001,201.547002,353.454987,,7.439,4.0,32.223,43.661999,12.95,12.916,25.866,69.527999,0.0,0.0,42.318001,241.608994,283.926994,353.454993,
09/30/1992,,23.058001,17.325001,61.702999,27.864,7.393,137.343002,7.463,147.514999,274.975006,-127.459999,42.912998,197.890997,335.234009,,7.445,4.0,29.042999,40.487999,12.871,13.05,25.921,66.408999,0.0,0.0,42.125,226.699997,268.824997,335.233996,
12/31/1992,,19.132999,0.15,56.700001,27.121,7.555,110.658997,7.705,147.729004,278.28299,-130.554001,73.787003,229.221007,339.880005,,9.639,22.0,27.827,59.466,12.622,11.57,24.192,83.658,0.0,0.0,42.233002,213.988998,256.222,339.88,
03/31/1993,,37.741001,0.0,64.338997,29.158001,9.333,140.570999,7.677,150.656006,286.846985,-136.190994,63.542,221.875006,362.446014,,11.08,25.0,45.873001,81.953003,11.514,12.332,23.846,105.799003,0.0,0.0,42.146,214.501007,256.647007,362.44601,
06/30/1993,,6.277,0.0,65.692001,27.011999,10.902,109.883003,8.275,152.619995,294.062988,-141.442993,58.339001,219.233995,329.117004,,8.403,32.0,40.306999,80.709999,11.495,12.633,24.128,104.837999,0.0,0.0,42.159,182.119995,224.278996,329.116995,
09/30/1993,,1.729,,67.644997,25.257,10.326,104.957001,8.199,150.729004,298.273987,-147.544998,58.835999,217.764003,322.721008,,7.757,64.0,41.898998,113.655998,11.587,12.066,23.653,137.308998,0.0,0.0,42.147999,143.264008,185.412006,322.721004,
