Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
11/30/1993,111.239998,123.639999,123.639999,,0.638547,0.035474,0.019096,0.0075,0.0075,,0.0075,0.0075,0.0075,,0.024078,,0.011273,0.436138,,
02/28/1994,114.264,123.552002,123.552002,,0.726998,0.046766,0.030165,0.015,0.015,,0.015,0.015,0.015,,-0.088918,,0.001322,0.446265,,
05/31/1994,114.272003,123.856003,123.856003,,0.672248,0.03282,0.015122,0.00375,0.00375,,0.00375,0.00375,0.00375,,0.001373,,0.004621,0.450784,,
08/31/1994,114.872,123.256,123.256,,1.004259,0.029467,0.00357,-0.005,-0.005,-0.005,-0.005,-0.005,-0.005,0.0,-0.053287,,0.015652,0.445983,,
11/30/1994,115.704002,123.751999,123.751999,,0.866176,0.058456,0.037381,0.015,0.015,0.015,0.015,0.015,0.015,,0.101962,,0.03623,0.4616,,
02/28/1995,116.688004,116.391998,116.391998,,0.983289,0.029495,0.005662,-0.00625,-0.00625,-0.00625,-0.00625,-0.00625,-0.00625,,-0.081801,,0.037947,0.45434,,
05/31/1995,117.688004,124.264,124.264,,1.065803,0.047721,0.023836,0.01,0.01,0.01,0.01,0.01,0.01,,0.046128,,0.051662,0.461959,,
08/31/1995,118.2,126.504,126.504,,1.623625,0.09338,0.064599,0.04,0.04,0.04,0.04,0.04,0.04,0.0,-0.172935,,0.046413,0.504188,,
11/30/1995,141.367996,134.216003,134.216003,,1.742378,0.114703,0.084625,0.03875,0.03875,0.03875,0.03875,0.03875,0.03875,,-0.178712,-0.274714,0.024114,0.736744,,
02/29/1996,141.983992,148.16,148.16,,1.590362,0.109726,0.078766,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,,0.148461,0.10465,0.030567,0.781426,,
05/31/1996,142.024002,148.863998,148.863998,,1.47585,0.104854,0.076385,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,,0.352026,,0.197178,0.825487,,
08/31/1996,142.384,150.104,150.104,,1.159869,0.108958,0.073329,0.04375,0.04375,0.04375,0.04375,0.04375,0.04375,,0.330771,,0.514938,0.872528,,
11/30/1996,143.0,151.535995,142.679993,,1.423255,0.140826,0.102747,0.0625,0.0625,0.0625,0.0575,0.0575,0.0575,,0.087945,-0.005397,0.506427,0.933902,,
02/28/1997,145.712006,153.304001,144.727997,,1.535204,0.164225,0.122671,0.0775,0.0775,0.0775,0.0725,0.0725,0.0725,,0.057577,-0.071755,0.44717,1.008949,,
05/31/1997,146.016006,153.567993,146.016006,,1.695958,0.188596,0.151072,0.1,0.1,0.1,0.095,0.095,0.095,,0.163338,-0.052522,0.386471,1.109009,,
08/31/1997,148.0,155.039992,147.376008,,2.070948,0.240059,0.18579,0.1225,0.1225,0.1225,0.1175,0.1175,0.1175,0.0,0.167117,-0.038141,0.307142,1.22625,,
11/30/1997,148.0,154.699997,148.076004,,2.157757,0.246387,0.19825,0.13,0.13,0.13,0.125,0.125,0.125,0.0,0.145148,-0.067026,0.291561,1.355676,,
02/28/1998,148.679993,154.255997,148.320007,,2.229558,0.25956,0.204443,0.135,0.135,0.135,0.13,0.13,0.13,0.0,0.325108,0.143056,0.374496,1.541236,,
05/31/1998,148.740192,154.46,148.668,,2.082486,0.331692,0.173319,0.115,0.115,0.115,0.1125,0.1125,0.1125,0.0,0.467357,-0.009289,0.291434,1.657313,,
08/31/1998,149.072006,153.787994,148.932007,,2.132349,0.21916,0.137533,0.005,0.005,0.09,0.005,0.005,0.085,0.0,0.194498,0.000316,0.15522,1.666081,,
11/30/1998,149.276001,165.556,159.380005,,3.106506,0.28247,0.201129,0.13,0.13,0.13,0.12,0.12,0.12,0.0,0.166897,-0.057673,0.087194,1.793945,,
02/28/1999,163.828003,167.005997,159.944,,3.493116,0.338543,0.224604,0.14,0.14,0.14,0.13,0.13,0.13,0.0,0.047204,-0.322407,0.110408,1.789676,,
05/31/1999,164.147995,181.328003,173.130005,,3.36301,0.323503,0.226679,0.13,0.13,0.15,0.12,0.12,0.14,0.0,0.411823,0.182753,0.965403,3.147623,,
08/31/1999,174.703995,182.585999,174.561996,,3.450551,0.313505,0.224906,0.12,0.12,0.16,0.11,0.11,0.15,0.0,0.028735,-0.166646,0.876483,3.307371,,
11/30/1999,173.731422,182.778,174.82,,3.945899,0.38646,0.254862,0.15,0.15,0.17,0.145,0.145,0.165,0.0,-0.003981,-0.357968,0.277002,3.500386,,
02/29/2000,176.529999,184.518005,175.716003,,4.766566,0.404869,0.288101,0.19,0.19,0.19,0.18,0.18,0.18,0.0,-0.114315,-0.488863,0.320693,3.670096,,
05/31/2000,189.970001,184.960007,176.673996,,5.466843,0.486302,0.330309,0.22,0.22,0.22,0.21,0.21,0.21,0.0,-0.033678,-0.544806,0.20529,3.643633,,
08/31/2000,190.251007,197.535995,188.917999,,5.637832,0.491144,0.341593,0.25,0.25,0.25,0.24,0.24,0.24,0.0,0.328973,-0.280487,1.774508,6.676354,6.49575,
11/30/2000,190.810842,198.907,190.526,,5.925464,0.502598,0.342148,0.25,0.25,0.25,0.24,0.24,0.24,,-0.320061,-1.094139,0.686895,6.91642,,
02/28/2001,191.264008,198.326004,190.931,,6.343522,0.527929,0.309876,0.21,0.21,0.21,0.21,0.21,0.21,0.0,0.437132,0.010271,0.763996,7.187662,,
05/31/2001,191.459,198.100998,191.233994,,5.472165,0.423408,0.218047,0.1,0.1,0.17,0.09,0.09,0.16,0.0,0.075818,-0.14043,2.389326,7.281434,,
