Date,Revenue,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
09/30/1988,,0.0,435,435.0,,,,,,,
12/25/1988,,0.0,312,312.0,,,,,,,
03/31/1989,,0.0,200,200.0,,,,,,,
06/30/1989,,0.0,60,60.0,,,,,,,
09/30/1989,,0.0,329,329.0,,,,,,,
12/31/1989,,0.0,-60,-60.0,,,,,,,
03/31/1990,,199.0,199,199.0,,,,,,,
06/30/1990,,384.0,384,384.0,,,,,,,
09/30/1990,,-206.0,-206,-206.0,,,,,,,
12/31/1990,,0.0,326,326.0,,,,,,,
03/31/1991,,178.0,178,178.0,,,,,,,
06/30/1991,,357.0,357,357.0,,,,,,,
09/30/1991,,-118.0,-118,-118.0,,,,,,,
12/31/1991,,0.0,-400,-400.0,,,,,,,
03/31/1992,,145.0,297,297.0,,,,,,,
06/30/1992,,361.0,361,361.0,,,,,,,
09/30/1992,,189.0,189,189.0,,,,,,,
12/31/1992,,0.0,299,299.0,,,,,,,
03/31/1993,,94.0,-2019,-2019.0,,,,,,,
06/30/1993,,304.0,371,371.0,,,,,,,
09/30/1993,,-127.0,-68,-68.0,,,,,,,
12/31/1993,,0.0,201,201.0,,,,,,,
03/31/1994,,145.0,82,82.0,,,,,,,
06/30/1994,,295.0,264,264.0,,,,,,,
09/30/1994,,193.0,193,193.0,,,,,,,
12/31/1994,,0.0,18,18.0,,,,,,,
03/31/1995,,262.0,262,262.0,,,,,,,
06/30/1995,,377.0,377,377.0,,,,,,,
09/30/1995,,338.0,338,338.0,,,,,,,
12/31/1995,,275.0,275,275.0,,,,,,,
03/31/1996,,274.0,274,274.0,,,,,,,
06/30/1996,,440.0,440,440.0,,,,,,,
09/30/1996,,410.0,410,410.0,,,,,,,
12/31/1996,,508.0,164,164.0,,,,,,,
03/31/1997,,272.0,149,149.0,,,,,,,
06/30/1997,,368.0,368,368.0,,,,,,,
09/30/1997,,262.0,232,232.0,,,,,,,
12/31/1997,,990.0,-744,-744.0,,,,,,,
03/31/1998,,238.0,225,225.0,,,,,,,
06/30/1998,,453.0,495,495.0,,,,,,,
09/30/1998,,398.0,398,398.0,,,,,,,
12/31/1998,,72.0,272,272.0,,,,,,,
03/31/1999,,259.0,191,191.0,,,,,,,
06/30/1999,,491.0,491,491.0,,,,,,,
09/30/1999,,466.0,235,235.0,,,,,,,
12/31/1999,,403.0,475,475.0,,,,,,,
03/31/2000,,296.0,289,289.0,,,,,,,
06/30/2000,,514.0,506,506.0,,,,,,,
09/30/2000,,430.0,418,418.0,,,,,,,
12/31/2000,,200.0,194,194.0,,,,,,,
03/31/2001,,157.0,150,150.0,,,,,,,
06/30/2001,,327.0,36,36.0,,,,,,,
09/30/2001,,153.0,96,96.0,,,,,,,
12/31/2001,,38.0,-206,-206.0,,,,,,,
03/31/2002,,39.0,39,39.0,,,,,,,
