Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1998,,121.667,121.667,,6.801976,2.660927,2.297566,0.847,0.847,0.846,0.847,0.847,0.847,0.444,1.057855,0.599752,,,,,
06/30/1998,,134.166,134.166,,4.24384,1.257584,0.929706,0.19,0.19,0.19,0.19,0.19,0.19,0.3,-1.801552,-2.54838,,,,,
03/31/1999,142.744995,142.981003,142.981003,,6.721928,2.101062,1.694113,0.94,0.94,0.941,0.94,0.94,0.94,0.45,1.42107,0.817276,6.664598,21.319424,19.902681,26.637683,
06/30/1999,140.119995,,,,,,,,,,,,,,,,2.193085,20.896125,19.173915,28.869905,
09/30/1999,134.214005,136.505997,136.505997,,3.944654,0.731931,0.269461,0.0,0.0,0.0,0.0,0.0,0.0,0.445,0.316001,-0.697193,0.96785,20.131267,18.260948,26.197028,
12/31/1999,133.865997,133.865997,133.865997,,6.861063,1.58572,1.042326,0.56,0.56,0.56,0.56,0.56,0.56,0.445,1.072969,-0.353839,0.960677,20.281662,18.37096,26.762621,
03/31/2000,133.876007,134.117004,133.873001,,9.834791,2.734584,2.214831,1.22,1.22,1.22,1.22,1.22,1.22,0.445,1.421228,0.587796,1.638367,21.035501,18.555274,26.845736,
06/30/2000,133.895996,134.481995,133.889008,,7.077415,1.548551,0.997274,0.35,0.35,0.35,0.35,0.35,0.35,0.445,1.318869,0.38095,0.688049,20.838726,18.385255,27.048979,
09/30/2000,134.574997,135.669006,134.335007,,7.05056,1.228652,0.685436,0.1,0.1,0.1,0.1,0.1,0.1,0.445,0.747043,-0.492098,0.472733,20.508928,17.904046,27.314621,
12/31/2000,136.363,135.333,135.333,,14.114458,2.427324,1.549918,0.44,0.44,0.74,0.44,0.44,0.74,0.445,-0.127796,-1.823051,0.611082,20.649414,7.236171,44.22003,
