Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
10/31/1991,,,,,,,,,,,,,-1.453416,-1.453416,,,,,
02/01/1992,,,,,,,,,,,,,1.389401,1.389401,,,,,
04/30/1992,,,,,,,,,,,,,1.322094,1.322094,,,,,
07/31/1992,,,,,,,,,,,,,-4.065889,-4.065889,,,,,
10/31/1992,,,,,,,,,,,,,3.540158,3.540158,,,,,
01/31/1993,,,,,,,,,,,,,5.890737,5.890737,,,,,
05/01/1993,,,,,,,34.38615,8.527507,6.257767,,5.067753,2.905906,2.905906,2.905906,,42.658886,0.0,,
07/31/1993,,,,,,,34.217843,7.9105,5.635707,,4.585713,2.677233,2.677233,2.677233,,41.617958,0.0,,
10/30/1993,,26.602755,9.534856,,,,33.103507,9.069101,7.263433,,6.798599,3.855922,3.855922,3.855922,,43.283584,0.0,26.602755,
01/29/1994,,22.937974,11.791669,18.511486,18.560341,,32.70617,11.759957,10.384721,,10.72492,6.202347,5.81533,5.81533,,42.168825,0.0,22.937974,
04/30/1994,,23.651494,11.586671,18.112517,18.348478,,34.250774,8.709436,6.674029,8.482489,6.35959,3.679714,3.679714,3.679714,,42.139137,0.0,23.651494,
07/30/1994,,23.893617,11.531988,18.158711,18.172169,,34.157434,8.138763,6.035768,8.977429,5.598755,3.240664,3.240665,3.240665,,42.118123,0.0,23.893617,
10/29/1994,,22.890771,9.445689,15.660943,15.675153,,33.147874,8.481774,6.584184,1.809862,6.060171,3.552815,3.552815,3.552815,,41.374341,0.0,22.890771,
01/28/1995,,20.196698,10.684695,16.855294,16.026284,,32.237255,11.996471,10.638189,11.718629,10.259501,4.539833,4.539832,4.539832,,55.749964,0.0,20.196698,
04/30/1995,,19.566937,9.70237,15.069707,15.023739,,33.764878,8.240468,6.075224,3.029002,5.409309,3.202259,3.202259,3.202259,,40.800965,0.0,19.566937,
07/29/1995,,19.442337,9.223485,14.873021,14.858018,,33.354881,8.221194,6.06845,6.202882,5.178029,3.065171,3.065171,3.065171,,40.804292,0.0,19.442337,
10/28/1995,,16.898968,6.767856,11.363496,11.391667,,32.99538,5.244582,3.453107,,2.646944,1.566718,1.566718,1.566718,,40.810305,0.0,16.898968,
02/03/1996,,19.506851,9.927565,15.446753,14.690223,,31.792118,11.897434,10.555742,10.229705,10.055613,5.952748,5.952748,5.952748,,40.801744,0.0,19.506851,
05/04/1996,,19.346793,9.144655,14.468559,14.434214,,33.459088,7.963076,5.827099,4.915581,4.951797,2.936382,2.936382,2.936382,,40.700679,0.0,19.346793,
08/03/1996,,19.6013,8.81227,14.011208,13.979571,,32.987494,8.228437,6.035424,5.927319,5.268459,3.124328,3.124328,3.124328,,40.697489,0.0,19.6013,
11/02/1996,,22.319392,8.632024,13.79526,13.76998,,33.187751,8.971461,7.017785,22.606961,6.123715,3.664732,3.664731,3.664731,,40.155093,0.0,22.319392,
