Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
07/05/2008,,0.361,,6.684,,,0.025155,,,,0.011751,,,
10/04/2008,,3.33,,,,,0.241081,,,,0.11047,,,
01/03/2009,,2.424,2.424,8.835,8.835,,0.477486,,0.477486,,0.127214,,0.127214,
04/04/2009,,0.945,,5.673,,,0.225173,,,,0.052057,,,
07/04/2009,,0.336,,8.179,,,0.098048,,,,0.020023,,,
10/03/2009,,0.002,,8.415,,,0.000792,,,,0.000116,,,
01/02/2010,,0.586,,3.781,,,0.26651,,,,0.03649,,,
04/03/2010,,2.751,,1.405,,,1.668749,,,,0.196996,,,
07/03/2010,,5.664,,0.084,,,7.298875,,,,0.433059,,,
10/02/2010,,0.774,0.774,5.531,5.531,,6.99187,,6.99187,,0.053842,,0.053842,
01/01/2011,,,,3.463,,,,,,,,,,
04/02/2011,,,,6.487,,,,,,,,,,
07/02/2011,,0.246,0.246,5.323,5.323,,-0.11656,,-0.11656,,0.019723,,0.019723,
12/29/2012,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,,,
03/30/2013,,0.608,0.608,0.157,0.157,,-0.357265,,-0.357265,,0.073583,,0.073583,
06/29/2013,,1.659,1.659,0.01,0.01,0.0,-0.776402,0.0,-0.776402,0.0,0.196057,0.0,0.196057,
09/28/2013,,0.525,0.525,0.373,0.373,,-0.237863,,-0.237863,,0.054858,,0.054858,
04/05/2014,,1.052,1.052,0.0,0.0,,1.586512,,1.586512,,0.112317,,0.112317,
07/05/2014,,0.436,,-0.129,,,0.562356,,,,0.047283,,,
10/04/2014,,1.58,1.58,0.0,0.0,,2.251803,,2.251803,,0.174461,,0.174461,
01/03/2015,,3.193,3.193,0.0,0.0,,1.599611,,1.599611,,0.344691,,0.344691,
04/04/2015,,2.642,2.642,-0.258,-0.258,,1.749541,,1.749541,,0.306539,,0.306539,
07/04/2015,,2.77,2.77,,,,1.68888,,1.68888,,0.319595,,0.319595,
10/03/2015,,1.515,1.515,0.16,0.16,,0.873622,,0.873622,,0.165158,,0.165158,
01/02/2016,,1.017,1.017,0.354,0.354,,0.414728,,0.414728,,0.104244,,0.104244,
04/02/2016,,0.137,0.137,0.967,0.967,,0.051207,,0.051207,,0.014392,,0.014392,
07/02/2016,,0.008,0.008,2.816,2.816,,0.002604,,0.002604,,0.000802,,0.000802,
10/01/2016,,0.015,0.015,1.926,1.926,,0.004346,,0.004346,,0.001427,,0.001427,
12/31/2016,,2.399,2.399,0.413,0.413,,0.557997,,0.557997,,0.216064,,0.216064,
04/01/2017,,1.308,1.308,0.523,0.523,,0.299782,,0.299782,,0.119769,,0.119769,
