Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
10/27/1980,,,,,,,,,,,,,7.53125,,
01/27/1981,,,,,,,,,,,,,7.8125,,
04/27/1981,,,,,,,,,,,,,8.5,,
07/27/1981,,,,,,,,,,,,,8.09375,,
10/27/1981,,,,,,,,,,,,,7.09375,,
01/27/1982,,,,,,,,,,,,,6.4375,,
04/27/1982,,,,,,,,,,,,,7.3125,,
07/27/1982,,,,,,,,,,,,,7.75,,
10/27/1982,,,,,,,,,,,,,9.59375,,
01/27/1983,,,,,,,,,,,,,8.9375,,
04/27/1983,,,,,,,,,,,,,10.40625,,
07/27/1983,,,,,,,,,,,,,11.71875,,
10/27/1983,,,,,,,,,,,,,11.0625,,
01/27/1984,,,,,,,,,,,,,11.6875,,
04/27/1984,,,,,,,,,,,,,9.5,,
07/27/1984,,,,,,,,,,,,,9.5,,
10/27/1984,,,,,,,,,,,,,10.75,,
01/27/1985,,,,,,,,,,,,,12.0,,
04/27/1985,,,,,,,,,,,,,14.125,,
07/27/1985,,,,,,,,,,,,,14.25,,
10/27/1985,,,,,,,,,,,,,14.0,,
01/27/1986,,,,,,,,,,,,,15.375,,
04/27/1986,,,,,,,,,,,,,17.0,,
07/27/1986,,,,,,,,,,,,,16.75,,
10/27/1986,,,,,,,,,,,,,16.75,,
01/27/1987,,,,,,,,,,,,,15.625,,
04/27/1987,,,,,,,,,,,,,16.375,,
07/27/1987,,,,,,,,,,,,,19.125,,
10/27/1987,,,,,,,,,,,,,13.375,,
01/27/1988,,,,,,,,,,,,,16.0625,,
04/27/1988,,,,,,,,,,,,,18.0625,,
07/27/1988,,,,,,,,,,,,,17.0,,
10/27/1988,,,,,,,,,,,,,17.625,,
01/27/1989,,,,,,,,,,,,,18.4375,,
04/27/1989,,743.417503,743.417503,743.417503,2.38576,,,,,,,,18.25,745.351985,
07/27/1989,,806.999038,892.112731,728.008753,2.685676,,,,,,,,21.125,861.408472,
10/26/1989,,878.840192,922.97447,844.021482,2.624976,,,,,,,,20.625,851.029494,
01/25/1990,13.45515,901.823844,987.554992,818.341993,2.427911,,0.390836,13.008038,,0.385931,6.835412,8.065182,20.25,814.534999,
04/26/1990,12.169967,811.816926,863.850493,747.550994,2.183576,,0.348363,10.163013,,0.35053,6.276897,7.44563,18.4375,755.455994,
