Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/28/2008,332,,,332.0,,9.0,,9.0,5.52137,,,5.52137,2.292026,,,2.292026,
06/27/2008,419,,,,,10.0,,,6.816333,,,,2.885476,,,,
09/26/2008,681,,,681.0,,6.0,,6.0,10.873383,,,10.873383,4.606954,,,4.606954,
12/31/2008,794,22.0,,816.0,,21.0,,21.0,13.364753,0.370308,,13.735061,5.481911,0.151892,,5.633803,
03/27/2009,493,19.0,,512.0,,17.0,,17.0,8.337561,0.321326,,8.658887,3.384827,0.13045,,3.515276,
06/26/2009,676,12.0,,688.0,,13.0,,13.0,10.897953,0.193455,,11.091407,4.556484,0.080884,,4.637369,
09/25/2009,958,18.0,,976.0,,9.0,,9.0,14.843508,0.278897,,15.122405,6.357844,0.119458,,6.477303,
12/31/2009,891,16.0,,907.0,,10.0,,10.0,13.378378,0.24024,,13.618619,5.989916,0.107563,,6.097479,
03/26/2010,791,23.0,,814.0,,12.0,,12.0,11.6392,0.338434,,11.977634,5.241187,0.152399,,5.393586,
06/25/2010,788,22.0,,810.0,,12.0,,12.0,11.377418,0.317644,,11.695062,5.022627,0.140226,,5.162853,
09/24/2010,312,19.0,,331.0,,7.0,,7.0,4.457143,0.271429,,4.728571,2.028345,0.123521,,2.151866,
12/31/2010,347,22.0,,369.0,,,,,5.061999,0.320934,,5.382932,2.245809,0.142386,,2.388195,
04/01/2011,234,20.0,,254.0,,5.0,,5.0,3.378573,0.288767,,3.66734,1.50289,0.128452,,1.631342,
07/01/2011,191,16.0,,207.0,,2.0,,2.0,2.722737,0.228083,,2.95082,1.226167,0.102716,,1.328882,
09/30/2011,193,11.0,,204.0,,11.0,,11.0,2.843672,0.162075,,3.005746,1.248948,0.071184,,1.320132,
12/31/2011,725,10.0,,735.0,,9.0,,9.0,10.782272,0.148721,,10.930993,4.675006,0.064483,,4.739489,
03/30/2012,322,8.0,,330.0,,2.0,,2.0,4.709668,0.11701,,4.826678,2.051086,0.050959,,2.102045,
06/29/2012,293,8.0,,301.0,,4.0,,4.0,4.271137,0.116618,,4.387755,1.863275,0.050874,,1.914149,
09/28/2012,406,10.0,,416.0,,3.0,,3.0,6.949675,0.171174,,7.120849,2.859155,0.070423,,2.929577,
12/31/2012,284,8.0,,292.0,,3.0,,3.0,5.123579,0.144326,,5.267905,2.059314,0.058009,,2.117323,
03/29/2013,84,7.0,,91.0,,5.0,,5.0,1.503221,0.125268,,1.62849,0.605187,0.050432,,0.65562,
06/28/2013,169,6.0,,175.0,,6.0,,6.0,2.978498,0.105746,,3.084244,1.21916,0.043284,,1.262444,
09/27/2013,199,8.0,,207.0,,2.0,,2.0,3.413379,0.137221,,3.5506,1.413854,0.056838,,1.470693,
12/31/2013,299,6.0,,305.0,,5.0,,5.0,4.937252,0.099075,,5.036328,2.134647,0.042836,,2.177483,
03/28/2014,22,5.0,,27.0,,10.0,,10.0,0.355527,0.080802,,0.436328,0.156417,0.035549,,0.191966,
06/27/2014,88,11.0,0.0,99.0,0.0,4.0,0.0,4.0,1.471818,0.183977,0.0,1.655795,0.623406,0.077926,0.0,0.701332,
09/26/2014,359,5.0,,364.0,,4.0,,4.0,6.004349,0.083626,0.0,6.087975,2.556798,0.03561,0.0,2.592408,
12/31/2014,416,5.0,0.0,421.0,0.0,11.0,0.0,11.0,7.761194,0.093284,0.0,7.854478,3.033175,0.036456,0.0,3.069632,
