Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,282.0,141436.0,5335.0,147053.0,,205.0,856.0,1061.0,-495.0,2.543749,1275.807325,48.12376,1326.474833,0.152145,76.307938,2.878354,79.338437,
06/30/2008,305.0,139989.0,5344.0,145638.0,,112.0,633.0,745.0,137.0,2.905315,1333.482568,50.904934,1387.292818,0.165508,75.964967,2.899919,79.030394,
09/30/2008,293.0,127799.0,5118.0,133210.0,,-9.0,829.0,820.0,-328.0,3.084211,1345.252632,53.873684,1402.210526,0.169099,73.756716,2.953755,76.87957,
12/31/2008,317.0,115637.0,5589.0,121543.0,,,3156.0,3156.0,-2669.0,3.973925,1449.630187,70.063934,1523.668046,0.194316,70.883802,3.425976,74.504095,
03/31/2009,290.0,111681.0,5262.0,117233.0,,,2858.0,2858.0,275.0,3.960126,1525.071692,71.855797,1600.887614,0.184212,70.941452,3.342502,74.468166,
06/30/2009,305.0,116650.0,5558.0,122513.0,,,1366.0,1366.0,1324.0,3.360882,1285.399449,61.245179,1350.00551,0.182586,69.831483,3.327247,73.341315,
09/30/2009,315.0,131462.0,6274.0,138051.0,,39.0,1492.0,1531.0,311.0,2.702471,1127.848318,53.826356,1184.377145,0.173563,72.434845,3.45694,76.065348,
12/31/2009,293.0,137105.0,4738.0,142136.0,,31.0,1056.0,1087.0,2353.0,2.504274,1171.837607,40.495726,1214.837607,0.165133,77.271421,2.670304,80.106857,
06/30/2010,283.0,141270.0,4688.0,146241.0,,210.0,2698.0,2908.0,-545.0,2.239278,1117.819275,37.094477,1157.153031,0.15711,78.427127,2.602579,81.186816,
09/30/2010,305.0,152511.0,4428.0,157244.0,,328.0,2539.0,2867.0,14.0,2.249428,1124.795339,32.657276,1159.702043,0.160113,80.06247,2.324531,82.547115,
12/31/2010,277.0,155464.0,4113.0,159854.0,,157.0,1493.0,,,2.163049,1213.993441,32.117757,1248.274246,0.142913,80.208849,2.122028,82.473791,
03/31/2011,278.0,159728.0,3953.0,163959.0,,116.0,1212.0,1328.0,,2.123759,1220.229183,30.198625,1252.551566,0.14018,80.541759,1.993273,82.675212,
06/30/2011,360.0,163001.0,3776.0,167137.0,,202.0,1349.0,1551.0,-22.0,2.649787,1199.771824,27.793317,1230.214927,0.178612,80.872124,1.873443,82.924179,
09/30/2011,491.0,159048.0,4672.0,164211.0,,454.0,3332.0,3786.0,-1072.0,3.291105,1066.076815,31.315772,1100.683692,0.248297,80.430044,2.362615,83.040956,
12/31/2011,700.0,164411.0,4974.0,170085.0,,487.0,3277.0,3764.0,-999.0,4.942107,1160.766733,35.117199,1200.826038,0.344987,81.028161,2.451381,83.82453,
03/31/2012,680.0,171354.0,4546.0,176580.0,,1246.0,2150.0,3396.0,497.0,5.127818,1292.164995,34.280974,1331.573788,0.326895,82.374602,2.185388,84.886885,
06/30/2012,721.0,174514.0,4959.0,180194.0,0.0,1388.0,2957.0,4345.0,-470.0,5.083909,1230.53166,34.966859,1270.582428,0.341528,82.664961,2.349012,85.355502,
09/30/2012,718.0,180094.0,4650.0,185462.0,,1418.0,2712.0,4130.0,366.0,4.712214,1181.951828,30.517818,1217.18186,0.333244,83.586592,2.158193,86.078029,
12/31/2012,2181.0,181474.0,4055.0,187710.0,,1418.0,1780.0,3198.0,763.0,14.566219,1212.008282,27.082081,1253.656582,0.996486,82.914437,1.852706,85.76363,
03/31/2013,2281.0,186344.0,4211.0,192836.0,0.0,1402.0,1175.0,2577.0,398.0,15.347867,1253.828556,28.334006,1297.510429,1.016756,83.062837,1.877053,85.956646,
06/30/2013,2184.0,184204.0,4477.0,190865.0,0.0,1334.0,971.0,2305.0,491.0,16.40009,1383.22445,33.618683,1433.243223,0.977964,82.483958,2.004738,85.46666,
09/30/2013,2226.0,190615.0,4383.0,197224.0,0.0,1324.0,996.0,2320.0,49.0,16.625588,1423.668683,32.735828,1473.030099,0.968146,82.903481,1.906282,85.777909,
12/31/2013,2318.0,198482.0,5059.0,205859.0,0.0,2223.0,85.0,2308.0,,17.231638,1475.4832,37.607791,1530.322629,0.978286,83.767119,2.135095,86.8805,
03/31/2014,1800.0,203402.0,4668.0,209870.0,0.0,2079.0,1411.0,3490.0,-245.0,12.42579,1404.128124,32.224216,1448.778131,0.743958,84.06813,1.929332,86.741421,
06/30/2014,2181.0,210320.0,4870.0,217371.0,0.0,2009.0,1517.0,3526.0,-25.0,14.115591,1361.206394,31.518996,1406.840981,0.875464,84.423482,1.954842,87.253788,
09/30/2014,1473.0,209908.0,4512.0,215893.0,0.0,1945.0,1389.0,3334.0,-59.0,9.532747,1358.45198,29.200104,1397.18483,0.592885,84.48838,1.816089,86.897354,
12/31/2014,2203.0,214857.0,4149.0,221209.0,0.0,1915.0,1602.0,3517.0,-643.0,13.996188,1365.038119,26.359593,1405.393901,0.869455,84.797357,1.637481,87.304294,
03/31/2015,1919.0,220220.0,4286.0,226425.0,0.0,2081.0,2077.0,4158.0,-417.0,11.828885,1357.455464,26.419281,1395.703631,0.742403,85.196433,1.658123,87.596959,
