Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
03/31/1994,23.125,,21.0,24.5,20.75,,,,
06/30/1994,25.0,8.108108,23.0,27.0,22.75,129.6,,,
09/30/1994,24.625,-1.5,25.0,26.875,24.125,211.257887,5.184,,
12/31/1994,26.75,8.629442,24.875,26.75,23.25,229.488263,8.579,,
03/31/1995,25.75,-3.738318,26.75,26.875,24.625,220.909262,8.579,,
06/30/1995,25.0,-2.912621,26.25,26.375,24.625,273.49999,8.579,,
09/30/1995,24.75,-1.0,25.0,26.375,24.25,270.888742,10.94,,
12/31/1995,24.75,0.0,24.625,25.25,21.625,270.690757,10.945,,
03/31/1996,25.75,4.040404,24.625,26.875,24.0,281.704989,10.945,,
06/30/1996,25.375,-1.456311,25.5,26.625,25.0,277.627875,10.94,,
09/30/1996,25.125,-0.985222,25.5,25.875,23.75,275.018252,10.941,,
12/31/1996,28.875,14.925373,25.125,28.875,24.625,316.152385,10.946,,
03/31/1997,28.0,-3.030303,28.625,29.75,27.625,372.567993,10.9492,,
06/30/1997,28.0625,0.223214,28.0,28.875,25.0,375.623607,13.306,,
09/30/1997,29.6875,5.790646,28.0,30.5,26.625,397.662038,13.3853,,
12/31/1997,28.5625,-3.789474,29.6875,30.0625,26.625,,13.3949,,
03/31/1998,28.1875,-1.31291,28.6875,29.875,27.5,524.595082,18.479,,
06/30/1998,26.3125,-6.651885,28.125,29.0625,25.625,494.280308,18.611,,
09/30/1998,25.875,-1.662708,26.4375,28.0,22.9375,486.864,18.785,,
12/31/1998,22.6875,-12.318841,25.875,26.0,22.625,428.33299,18.816,,
03/31/1999,21.375,-5.785124,22.6875,24.125,20.875,,18.816,,
06/30/1999,23.125,8.187135,21.625,25.0,21.1875,436.592854,18.919001,,
09/30/1999,21.5,-7.027027,23.125,23.125,21.0,407.238015,19.008801,,
12/31/1999,22.625,5.232558,21.5,23.0625,21.4375,398.561977,18.941,,
03/31/2000,22.75,0.552486,22.625,23.375,22.0,401.51475,17.615999,,
06/30/2000,24.015625,5.563187,22.625,24.5,22.375,413.260875,17.649,,
09/30/2000,23.9375,-0.325309,24.0,24.875,23.0,409.929688,17.208,,
12/31/2000,22.5625,-5.744125,23.875,23.875,21.25,386.969416,17.125,,
03/31/2001,22.48,-0.365651,22.625,23.875,21.73,391.736502,17.482201,,
06/30/2001,25.59,13.83452,22.48,25.75,22.42,445.67544,17.4055,,
09/30/2001,26.0,1.602188,25.6,26.42,24.4,452.998,17.414101,,
12/31/2001,26.3,1.153846,26.0,26.76,24.4,459.013877,17.4359,,
03/31/2002,26.15,-0.570342,26.35,26.75,25.1,457.206574,17.4359,,
06/30/2002,26.75,2.294455,26.15,27.42,25.51,471.57575,17.499701,,
09/30/2002,24.91,-6.878505,26.8,26.9,22.25,443.597305,17.634501,,
12/31/2002,24.45,-1.846648,25.0,25.45,21.99,436.188,17.8186,,
03/31/2003,23.7,-3.067485,24.58,24.98,23.1,423.804158,17.879999,,
06/30/2003,27.01,13.966245,23.7,27.45,23.67,485.778469,17.8965,,
09/30/2003,30.18,11.736394,27.0,31.45,26.74,588.47985,18.0005,,
12/31/2003,33.58,11.265739,30.02,34.29,30.02,672.674546,19.526501,18.1711,
03/31/2004,37.13,10.571769,33.68,37.4,33.42,755.74402,20.0863,18.7393,
06/30/2004,37.89,2.046862,37.17,38.64,30.75,772.38765,20.3652,19.0196,
09/30/2004,38.95,2.797572,37.89,40.9,35.13,801.668939,20.3964,19.0561,
12/31/2004,41.22,5.827985,39.0,41.74,37.92,859.716925,20.625799,19.3277,
03/31/2005,36.5,-11.450752,41.2,41.35,35.84,778.59245,21.0581,19.7457,
06/30/2005,45.42,24.438356,36.7,46.52,35.62,977.354191,21.366301,20.0659,
09/30/2005,46.51,2.399824,45.35,48.76,42.53,1011.564547,21.552601,20.5566,
12/31/2005,48.5,4.27865,46.6,50.19,43.05,1069.346042,21.749399,20.791,
03/31/2006,54.75,12.886598,48.75,58.75,48.13,1238.638213,22.1745,21.1367,
06/30/2006,55.75,1.826484,54.75,56.4,49.32,,23.623501,22.582,
09/30/2006,61.22,9.811659,55.78,62.24,53.91,1499.270086,24.0448,23.0412,
12/31/2006,57.24,-6.501143,61.06,65.979875,56.0,1436.332249,24.491501,23.5062,
03/31/2007,56.26,-1.712089,57.24,60.74,51.7,,25.332701,24.3494,
06/30/2007,52.48,-6.718806,56.26,59.62,50.11,,25.4496,24.4595,
09/30/2007,49.85,-5.011433,52.78,56.0,43.15,1274.808367,25.5131,24.5325,
12/31/2007,42.75,-14.242728,49.8,54.59,41.75,1099.48212,25.5783,24.599,
03/31/2008,49.84,16.584795,42.76,54.7,38.28,1302.885532,25.7756,25.0745,
06/30/2008,51.04,2.407705,50.31,57.82,49.76,1402.730993,26.2444,25.5366,
