Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/2005,,-1084.748,0.0,4.62,229.536,,,1272.283,18.041269,,,,,,,,,,,
06/30/2005,,-1262.738,0.0,4.62,229.476,,,1362.624,16.840743,,,,,,,,,,,
09/30/2005,,-1391.558,0.0,4.62,229.46,,,1469.505,15.614782,,,,,,,,,,,
12/31/2005,,-1281.892,0.0,4.62,229.489,,,1403.257,16.354025,,,,,,,,,,,
03/31/2006,,-1306.976,,4.62,229.551,,,1541.878,14.887754,,,,,,,,,,,
06/30/2006,6478.603105,-2081.272,0.0,4.62,229.58,,4631.531105,2351.206,9.764351,0.049569,1.497683,9.090524,12.139776,-6.419862,-6.033202,6492.096,4645.024,3.431503,,
09/30/2006,9495.204645,-2324.414,0.0,4.62,229.588,,7404.998645,2554.396,8.987956,0.031004,2.312018,10.808024,14.565759,12.864639,14.826225,9577.0269,7486.8209,5.486367,,
12/31/2006,13293.292515,-2677.398,0.0,4.62,238.668,,10859.182515,2607.647,9.152619,0.021978,3.264865,12.864013,16.226214,12.27288,13.534858,13440.04389,11005.93389,8.045568,,
03/31/2007,14351.688814,-2509.169,,4.62,229.685,,12076.824814,2835.551,8.100189,0.019019,3.447838,12.394814,15.087318,13.052493,14.86793,14511.74656,12236.88256,8.940006,,
06/30/2007,22421.79894,-2830.585,0.0,4.62,229.647,,19825.48094,3088.263,7.436122,0.011583,5.42689,18.492073,21.476858,17.465685,19.557226,22672.27269,20075.95469,14.666319,,
09/30/2007,20002.132437,-3277.791,,4.62,229.747,,16958.708437,3407.085,6.743213,0.013547,4.423155,15.307462,16.763382,16.934958,18.838604,20157.65716,17114.23316,12.545563,,
12/31/2007,28249.730328,-2969.982,0.0,4.62,229.824,,25514.192328,3261.751,7.046031,0.009008,6.272544,20.757506,22.54874,31.613239,36.126902,28933.2096,26197.6716,19.436376,,
03/31/2008,29076.039332,-2899.442,0.0,4.62,229.974,,26411.191332,3392.533,6.778829,0.008707,6.093137,18.444857,19.810642,27.49116,29.892577,29483.7378,26818.8898,19.44639,,
06/30/2008,34284.000287,-2712.424,0.0,4.62,170.637,,31746.833287,2223.344,7.674791,0.005375,6.925386,20.10888,21.492575,34.712495,37.57204,34536.98296,31999.81596,24.587035,,
09/30/2008,22917.378662,-3124.117,0.0,4.62,168.966,,19966.847662,1938.717,8.715351,0.008462,4.125848,11.279762,12.013458,,,22970.61888,20020.08788,15.44994,,
