Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
12/31/1992,,,,,,,,,,,,,3.358025,,
03/31/1993,,50.743496,50.743496,50.743496,5.998465,,,,,,,,1.283951,51.036518,
06/30/1993,,53.061042,64.924273,36.912247,5.332682,,,,,,,,1.333333,51.537164,
09/30/1993,,57.735566,89.079449,34.781023,5.699475,,,,,,,,1.604938,64.610129,
12/31/1993,10.714286,49.111519,77.193254,32.453253,4.574416,,3.017117,8.947686,,1.814008,4.000924,4.217603,1.481481,56.305,
03/31/1994,23.026316,69.790383,91.304998,56.192503,6.1031,,2.92526,45.2124,,2.121064,5.21454,5.492537,1.728395,78.197248,
06/30/1994,51.851857,73.153778,95.085748,55.679249,5.342542,,1.8574,168.345965,,1.31908,3.733624,3.995865,1.382716,59.906003,
09/30/1994,66.07143,75.409352,85.268003,61.222374,5.926377,,2.034902,1117.535829,,1.511717,4.631936,5.025124,1.82716,83.055248,
12/31/1994,135.000003,142.161405,204.927997,82.454002,7.159451,,4.674119,19.819586,,4.32158,11.805734,13.399608,4.0,228.771501,
03/31/1995,50.877193,205.343579,313.32949,141.108496,12.181296,,6.110008,13.978289,,5.159347,14.201377,16.197533,5.728395,307.331996,
06/30/1995,33.680556,316.687979,362.110495,286.604996,10.853984,,6.019683,13.720414,,4.929393,13.561494,15.363647,5.987654,321.637948,
09/30/1995,67.320262,456.05843,618.967769,296.295496,13.927993,,9.157073,19.425275,,8.230027,19.584736,22.260243,10.17284,631.901509,
12/31/1995,65.485074,758.308695,976.925714,451.561265,14.156389,,10.282824,77.994681,,9.372878,21.083651,22.790105,13.0,844.168293,
03/31/1996,97.767857,943.774745,1259.333801,592.819601,15.824094,,11.2319,115.350329,,9.985049,21.282243,22.903742,16.222222,1072.284495,
06/30/1996,84.482759,1229.411282,1572.204543,1033.824543,17.256971,,12.980328,77.37172,,11.235471,22.897306,24.728188,21.777778,1455.970985,
09/30/1996,74.46043,1759.64964,2130.630105,1354.465288,18.531556,,16.001074,110.071116,,13.867655,28.616522,31.04496,30.666667,2097.676907,
12/31/1996,50.834403,2121.805108,2371.744226,1856.195992,8.920312,,10.300888,28.964602,39.716121,10.037396,23.649517,27.973667,29.333333,2674.925911,
03/31/1997,47.924188,2219.512796,2841.76424,1591.775242,11.70187,,9.020948,26.258294,38.064666,5.108688,16.05993,19.218451,29.5,2060.890532,
06/30/1997,67.154255,2638.689243,3269.656048,1911.174449,13.764632,,11.519242,39.062504,57.652531,5.619747,18.997428,22.565491,42.083333,3040.519327,
09/30/1997,57.608696,2930.978832,3717.186552,2350.072462,9.913109,,8.70724,31.903749,45.907798,3.733992,13.895986,16.054305,35.333333,2547.175945,
12/31/1997,49.882077,2453.083166,3194.002079,2114.678142,9.165661,11.891502,9.323324,52.793364,72.73463,5.719988,20.431778,24.409361,35.25,4208.149425,
03/31/1998,54.30328,3909.426431,5840.908071,2103.224939,10.215629,,11.052245,73.706737,99.025445,5.657553,19.636074,22.950963,44.166667,4475.277159,
06/30/1998,129.39189,4894.890845,5815.368134,3899.685661,12.946307,15.109946,9.589587,143.505387,431.712317,6.208186,31.565123,40.823853,47.875,5351.108918,
09/30/1998,60.857141,4684.526774,5800.121213,3519.894939,13.544386,13.544386,6.099869,,,5.069524,19.918361,29.367118,35.5,4643.587424,
12/31/1998,90.753422,5685.72092,8762.528607,2956.520967,12.567774,27.959772,10.02,,,9.034321,32.929407,48.779126,66.25,8944.384533,
03/31/1999,40.916665,5996.29759,8090.633618,3630.930628,5.612235,9.486844,4.198025,,,4.132434,14.692673,23.393383,30.6875,4170.221504,
06/30/1999,,1959.661761,4065.59817,1450.378159,3.565203,7.372907,2.624628,,,2.759905,16.361618,122.704204,14.6875,2166.589243,
09/30/1999,,2599.064439,3130.575701,2282.935708,4.503829,8.873601,3.688999,,,3.71888,52.767802,,19.125,2743.71507,
12/31/1999,,3146.334981,3979.2571,2382.618115,5.608933,9.415249,5.475151,,,5.413878,,,26.6875,3701.29534,
03/31/2000,,4004.97123,5106.292126,3244.278081,6.413122,10.827544,7.246407,,,7.081237,,,32.25,4430.475365,
06/30/2000,,3183.859992,4015.366753,2696.712814,4.118818,7.0928,3.475657,18.249586,23.884235,3.408159,30.914418,266.174133,20.375,2796.425405,
09/30/2000,,2991.84446,3605.81351,2512.067533,4.44468,7.249477,3.726509,23.21973,33.179993,3.647513,36.659541,3736.081036,22.625,3089.739313,
12/31/2000,,2204.708896,3144.399382,543.510263,1.164755,2.093575,0.82867,21.883651,,0.894879,,,4.1875,624.394856,
03/31/2001,,1017.478841,1198.827769,622.485383,2.718537,5.818112,1.704551,1417.168779,,1.754368,,,8.25,1168.672195,
