Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
09/27/2003,12.475,,11.3,13.85,10.1,6737.651892,540.092407,,
12/27/2003,17.675,41.683367,12.45,19.0,12.075,9563.341179,540.612427,539.8918,
03/27/2004,16.515,-6.562942,17.7,19.625,15.45,8949.908319,541.901428,541.181,
06/26/2004,17.985,8.900999,16.545,19.0,16.1,9781.897044,542.129578,541.373,
09/25/2004,15.665,-12.899639,18.21,18.75,14.79,8528.777889,544.21637,543.4526,
12/25/2004,20.125,28.471114,15.625,20.175,14.7,11046.064255,544.991577,544.2276,
03/26/2005,24.05,19.503106,20.3,24.36,20.075,13312.914104,550.7052,549.5522,
06/25/2005,26.66,10.852391,24.045,27.5,23.735,14914.728465,553.913574,552.5024,
09/24/2005,26.245,-1.556639,26.66,27.5,23.625,16116.37213,608.90802,606.9482,
12/31/2005,27.9,6.305963,26.37,28.975,23.2,16977.576368,615.111816,613.3408,
04/01/2006,28.61,2.544803,28.125,30.32,26.0,17378.786074,608.812988,606.7176,
07/01/2006,28.64,0.104858,28.55,28.94,25.05,16837.403073,603.320984,601.1918,
09/30/2006,30.055,4.940642,28.645,32.065,28.065,17693.392325,587.866028,585.9504,
12/30/2006,26.72,-11.096323,29.815,30.32,23.54,15414.685382,586.851196,584.9336,
03/31/2007,36.265,35.722305,27.0,36.325,26.26,20298.793184,576.105774,573.7302,
06/30/2007,38.995,7.527919,36.445,40.82,35.115,21233.10147,560.276794,557.7786,
09/29/2007,45.195,15.899474,38.895,45.83,38.445,24155.798833,541.554626,538.755,
12/29/2007,50.37,11.450382,44.475,51.67,43.515,26995.261836,534.923401,532.1094,
03/29/2008,43.68,-13.281715,50.305,54.625,40.5,22580.969174,523.922729,521.0128,
06/28/2008,46.74,7.005495,43.64,52.0,42.85,23635.311477,506.657806,503.7479,
09/27/2008,46.42,-0.684638,46.71,51.15,43.89,23138.210402,505.698395,503.0662,
12/27/2008,42.28,-8.91857,46.02,47.85,29.8,20857.796601,498.020508,495.3883,
03/28/2009,39.68,-6.14948,42.42,48.95,36.46,19432.906492,491.024414,488.2517,
06/27/2009,45.74,15.272177,39.0,48.0,37.93,21622.277385,482.370911,479.6842,
09/26/2009,54.99,20.223,45.76,56.82,44.53,26195.920859,473.74231,471.128,
12/26/2009,64.05,16.475723,55.16,66.0,53.11,30391.276586,476.764404,474.7478,
03/27/2010,65.02,1.514442,63.95,66.94,58.96,29733.356856,464.060699,461.9885,
06/26/2010,56.69,-12.811443,65.12,65.349812,53.46,24977.884071,456.852905,454.8037,
09/25/2010,51.49,-9.172694,57.32,57.82,43.45,21839.967455,433.652405,431.65,
12/25/2010,61.37,19.188192,51.07,64.24,50.36,25194.69423,424.401611,422.4632,
03/26/2011,53.72,-12.465374,61.18,65.39,51.8,21466.959756,404.456696,402.4361,
06/25/2011,53.31,-0.763217,53.66,64.92,53.11,20873.033171,399.799286,397.7904,
09/24/2011,47.93,-10.091915,53.42,66.38,47.78,18542.763696,385.541504,383.5327,
12/31/2011,55.9,16.628416,48.19,58.27,44.6,21659.186172,387.059509,385.0506,
03/31/2012,70.3,25.760286,56.59,72.5,55.4,27602.152344,388.124298,385.9447,
