Date,Revenue,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/2009,,,-614,-614.0,,,,,,,
06/30/2009,,,-271,-271.0,,,,,,,
10/03/2009,,,-253,-253.0,,,,,,,
12/31/2009,,,-204,-128.6,,,,,,,
04/03/2010,,,-212,-194.45,,,,,,,
07/03/2010,,,80,-140.35,,,,,,,
10/02/2010,,,-34,-18.0,,,,,,,
12/31/2010,,106.487,80,42.95,,,,,,,
04/02/2011,,-25.0,-81,-82.3,,,,,,,
07/02/2011,,26.0,-56,-42.5,,,,,,,
10/01/2011,,35.0,-32,-15.3,,,,,,,
12/31/2011,,61.094002,-80,11.7,,,,,,,
03/31/2012,,-10.0,-86,-67.05,,,,,,,
