Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
03/31/1983,,,,,,,,,,,,,15.642776,,
06/30/1983,,,,,,,,,,,,,16.209544,,
09/30/1983,,,,,,,,,,,,,15.274398,,
12/31/1983,,,,,,,,,,,,,14.229275,,
03/31/1984,,,,,,,,,,,,,12.011071,,
06/30/1984,,,,,,,,,,,,,12.721923,,
09/30/1984,,,,,,,,,,,,,13.274672,,
12/31/1984,,,,,,,,,,,,,15.100502,,
03/31/1985,,,,,,,,,,,,,17.215113,,
06/30/1985,,,,,,,,,,,,,19.956592,,
09/30/1985,,,,,,,,,,,,,17.870168,,
12/31/1985,,,,,,,,,,,,,20.110833,,
03/31/1986,,,,,,,,,,,,,25.053686,,
06/30/1986,,,,,,,,,,,,,25.684932,,
09/30/1986,,,,,,,,,,,,,21.151354,,
12/31/1986,,,,,,,,,,,,,20.908762,,
03/31/1987,,,,,,,,,,,,,25.568835,,
06/30/1987,,,,,,,,,,,,,25.816748,,
09/30/1987,,,,,,,,,,,,,24.436808,,
12/31/1987,,,,,,,,,,,,,19.996924,,
03/31/1988,,,,,,,,,,,,,24.365092,,
06/30/1988,,,,,,,,,,,,,25.453421,,
09/30/1988,,,,,,,,,,,,,23.207098,,
12/31/1988,,,,,,,,,,,,,25.674883,,
03/31/1989,,,,,,,,,,,,,28.066354,,
06/30/1989,,,,,,,,,,,,,30.767626,,
09/30/1989,,,,,,,,,,,,,30.855034,,
12/31/1989,,,,,,,,,,,,,28.713299,,
03/31/1990,,,,,1.823811,,,,,,,,28.19308,2518.409803,
06/30/1990,,2521.153663,2669.621445,2392.617368,1.930731,,,,,,,,29.78997,2662.39594,
09/30/1990,,2311.359496,2680.127758,1888.09297,1.435375,,,,,,,,22.697795,2017.70195,
12/31/1990,,2035.881081,2121.241357,1934.614208,1.382603,,0.763611,8.182884,,0.702292,8.30072,8.30072,22.188712,1945.066142,
03/31/1991,,2085.539643,2300.142304,1860.89625,1.587452,,0.893917,10.285514,,0.847907,12.378505,12.378505,25.025889,2272.037385,
06/30/1991,,2369.334104,2594.690145,2215.817625,1.698577,,0.979619,13.013138,,0.928839,16.170877,16.170877,26.698179,2433.603765,
09/30/1991,,2276.82722,2485.269244,2093.367561,1.506547,,0.908719,11.300152,,0.854267,16.455357,16.455357,23.966248,2175.595619,
12/31/1991,,1979.393106,2280.490621,1712.337814,1.307388,,0.824032,10.90846,,0.762817,9.295317,15.797521,21.197439,1901.152658,
03/31/1992,,1820.046774,1972.365454,1651.833525,1.307109,,0.825167,9.435995,,0.764223,,15.787027,20.794824,1875.988186,
06/30/1992,,1834.633556,1904.901733,1497.545189,1.035663,,0.694984,7.40429,,0.582161,,12.574644,17.332108,1421.110825,
09/30/1992,,1491.105725,1640.387813,1246.462449,0.963786,,0.616341,7.862616,,0.53991,,11.752627,15.349117,1323.192975,
12/31/1992,,1304.74303,1564.183276,1150.952205,1.154248,,0.69708,9.239059,,0.612385,,14.809262,17.12194,1489.930275,
03/31/1993,,1441.001213,1517.039427,1287.292119,1.148883,,0.714033,8.631421,,0.617837,,14.987883,17.2715,1484.474863,
06/30/1993,,1424.99352,1519.504118,1343.472896,1.110586,,0.699284,9.081091,,0.617278,,14.287326,16.670566,1463.907982,
09/30/1993,,1608.923886,1769.266249,1441.066443,1.178844,,0.749549,8.320722,,0.666731,,14.259213,17.616192,1559.287708,
12/31/1993,,1758.171722,1909.602313,1572.581508,1.458448,,0.822369,8.823008,,0.75236,,13.415045,19.239475,1751.978057,
03/31/1994,,1807.419072,1912.398666,1693.787189,1.400208,,0.792314,9.27332,,0.721749,,12.476301,18.701214,1696.627258,
06/30/1994,,1651.618793,1755.380747,1501.880176,1.243755,,0.710616,8.178657,,0.637503,,10.529911,16.805204,1502.165419,
09/30/1994,,1631.701516,1752.466023,1450.420035,1.356386,,0.776772,10.314287,,0.719999,,11.07797,18.513695,1710.305605,
12/31/1994,,1677.022941,1799.993793,1544.143122,1.391705,,0.79039,10.584129,,0.728982,,12.620905,19.081247,1753.965055,
03/31/1995,,1695.633888,1790.47958,1419.986881,1.301853,,0.78799,14.120747,,0.582228,,10.076541,19.2995,1420.913226,
06/30/1995,,1562.339607,1796.811283,1341.634024,1.468099,,0.8769,15.126863,,0.670113,,11.796086,21.956997,1671.88289,
09/30/1995,,1621.987118,1811.489887,1480.100576,1.356418,,0.798264,10.825567,,0.583245,,12.415064,20.313082,1481.054995,
12/31/1995,,1327.995425,1480.100576,1208.603517,1.260385,,0.724618,9.16417,,0.485501,,10.174581,18.779773,1263.398046,
03/31/1996,,1302.388185,1397.706393,1130.136318,1.302182,,0.753129,7.657049,,0.539049,,12.13053,19.44098,1398.201324,
06/30/1996,,1329.837224,1396.41394,1275.918333,1.24566,,0.7364,7.156824,,0.5154,,11.776354,18.724808,1318.28043,
09/30/1996,,1253.902495,1420.579146,1166.233825,1.21297,,0.730474,6.680935,,0.507819,,9.605651,18.506279,1293.362522,
12/31/1996,15.020587,1459.727018,1637.506761,1288.410097,1.337995,,0.823414,7.14656,12.157647,0.592042,,10.452215,20.728414,1490.569425,
03/31/1997,14.26405,1533.622316,1668.151034,1361.581461,1.309103,,0.805095,7.983478,16.189149,0.549286,,9.556775,19.969666,1363.159327,
