Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,46.918999,10.411,22.281,-3.333,,,-3.333,17.559999,,,,17.559999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.918999,,,
06/30/1990,7.165,1.804,19.294001,-4.679,,,-4.679,-9.254,,,,-9.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,22.528999,5.66,16.652,-1.412,,,-1.412,1.629,,,,1.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,30.575001,10.679,24.974001,9.279,,,9.279,-14.357,,,,-14.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.575001,,,
04/01/1991,51.646999,8.939,19.416,2.901,,,2.901,20.391001,,,,20.391001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.646999,,,
07/01/1991,13.081,3.969,19.368999,-2.168,,,-2.168,-8.089,,,,-8.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/01/1991,23.118999,1.012,22.018999,-2.078,,,-2.078,2.166,,,,2.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,1.332,5.388,24.271999,0.119,,,0.119,-28.447001,,,,-28.447001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.332,,,
03/31/1992,43.618999,2.551,26.469,0.236,,,0.236,14.363,,,,14.363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.618999,,,
06/30/1992,10.836,24.086,28.684999,-32.091,,,-32.091,-9.844,,,,-9.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,34.666,6.52,26.063,2.022,,,2.022,0.061,,,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,35.986,8.083,13.602,13.13,,,13.13,1.171,,,,1.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.986,,,
03/31/1993,51.034,4.488,21.749001,9.486,,,9.486,15.311,,,,15.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,24.540001,4.002,20.783001,0.895,,,0.895,-1.14,,,,-1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,43.238998,4.265,23.68,7.252,,,7.252,8.042,,,,8.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,20.568001,-0.13,41.002998,14.873,,,14.873,-35.178001,,,,-35.178001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.568001,,,
03/31/1994,83.361,8.417,33.551998,6.985,,,6.985,34.407001,,,,34.407001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,20.885,4.377,30.888,0.735,,,0.735,-15.115,,,,-15.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,75.852997,2.051,33.886002,6.267,,,6.267,33.648998,,,,33.648998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,8.522,-11.679,29.143999,24.511,,,24.511,-33.453999,,,,-33.453999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.522,,,
03/31/1995,44.025002,0.44,33.387001,-0.636,,,-0.636,10.834,,,,10.834,,,-40.098999,,,,-40.098999,,,,,,,,,,40.098999,,,,,,,,,,,,,,,
06/30/1995,76.009003,3.357,37.432999,7.717,,,7.717,27.502001,,,,27.502001,,,-67.978996,,,,-67.978996,,,,,,,,,,67.978996,,,,,,,,,,,,,,,
09/30/1995,60.338001,2.729,35.847,5.273,,,5.273,16.489,,,,16.489,,,-97.004997,,,,-97.004997,,,,,,,,,,97.004997,,,,,,,,,,,,,,,
12/31/1995,58.548,-2.44,94.247002,12.259,,,12.259,-45.518002,,,,-45.518002,,-50.105,-50.105,,,,-50.105,,,,,,,,,,0.0,,,,,,,,,,,,8.443,,,
03/31/1996,84.224998,22.679001,38.139,2.542,,,2.542,20.865,,,,20.865,,,-60.583,,,,-60.583,,,,,,,,,,60.583,,,,,,,,,,,,,,,
06/30/1996,71.737,16.858999,44.786999,12.244,,,12.244,-2.153,,,,-2.153,,,-67.855003,,,,-67.855003,,,,,,,,,,67.855003,,,,,,,,,,,,,,,
09/30/1996,137.701996,15.306,70.741997,14.905,,,14.905,36.749001,,,,36.749001,,,-72.305,,,,-72.305,,,,,,,,,,72.305,,,,,,,,,,,,,,,
12/31/1996,87.280998,29.035999,79.935997,9.903,,,9.903,-31.594,,,,-31.594,,,-56.976002,,,,-56.976002,,,,,,,,,,56.976002,,,,,,,,,,,,,,,
03/31/1997,174.138,38.362999,77.720001,24.002001,,,24.002001,34.053001,,,,34.053001,,-69.089996,-69.09,0.271,,,-69.361,,,0.0,0.0,0.0,,,,,4e-06,-0.768,-2.274,0.0,,,,1.506,1.506,0.0,0.0,,104.279999,,,
06/30/1997,75.510002,13.152,71.307999,6.039,,,6.039,-14.989,,,,-14.989,,-49.735001,-49.735002,10.304,,,-60.039001,,,0.0,0.0,0.0,,,,,0.0,-146.531001,-4.549,-389.0,,,,1.891,1.891,0.0,245.126999,,-120.755997,,,
09/30/1997,99.931,15.177,70.785004,-2.038,,,-2.038,16.007,,,,16.007,,-72.036003,-72.035996,4.026,,,-76.061996,,,0.0,0.0,0.0,,,,,-7e-06,-28.457987,-0.001,217.506012,,,,-0.836,0.0,-0.836,-245.126999,,-0.563,,,
12/31/1997,95.991997,32.585999,80.541,12.292,,,12.292,-29.427,,,,-29.427,,-81.554001,-81.554001,39.942001,,,-121.496002,,,0.0,0.0,0.0,,,,,0.0,-37.092,-2.276,-34.999,,,,0.183,0.183,0.0,0.0,,-22.653999,,,
03/31/1998,144.147995,13.718,70.311996,16.948999,,,16.948999,43.168999,,,,43.168999,,-199.505997,-199.506006,1.622,,,-201.128006,,,0.0,0.0,0.0,,,,,9e-06,49.204,-2.277,50.0,,,,1.481,1.481,0.0,0.0,,-6.154,,,
06/30/1998,80.834,12.135,74.679001,-2.835,,,-2.835,-3.145,,,,-3.145,,-114.082001,-114.081997,0.492,,,-114.573997,,,0.0,0.0,0.0,,,,,-4e-06,23.125,-2.278,25.0,,,,0.403,0.403,0.0,0.0,,-10.123,,,
09/30/1998,73.023003,-25.15,83.810997,9.526,,,9.526,4.836,,,,4.836,,-99.633003,-99.633001,0.962,,,-100.595001,,,0.0,0.0,0.0,,,,,-2e-06,7.883,-2.278,10.0,,,,0.161,0.161,0.0,0.0,,-18.726999,,,
12/31/1998,26.27,-164.727997,84.389,194.889008,,,194.889008,-88.279999,,,,-88.279999,,-40.138,-15.083,0.336,,,-15.419,,,0.0,0.0,0.0,,,,,-25.055001,12.903,-2.28,15.0,,,,0.183,0.183,0.0,0.0,,-0.971,,,
03/31/1999,61.143,-8.901,66.549,-9.326,,,-9.326,12.821,24.565,,,-11.744,,-20.98779,-12.537,0.226,,,-12.763,,,0.0,0.0,0.0,,,,,-8.45079,-2.279,-2.279,0.0,,,,0.0,0.0,0.0,0.0,,37.876,0.0,6.116,
06/30/1999,86.508,9.179,60.133,13.771,,,13.771,3.425,11.309,,,-7.884,,-36.752,-20.87857,1.702,,,-22.58057,,,0.0,0.0,0.0,,,,,-15.87343,-27.185,-2.279,-25.0,,,,0.094,0.094,0.0,0.0,,22.571,2.0,12.548,
09/30/1999,83.368,27.654,65.757,-31.186,,,-31.186,21.143,8.992,,,12.151,,-45.822,-19.522,17.854,,,-37.376,,,0.0,0.0,0.0,,,,,-26.3,-51.549,-2.28,-50.0,,,,0.731,0.731,0.0,0.0,,-14.003,10.0,11.398,
12/31/1999,92.876,21.529,62.076,0.595,,,0.595,8.676,,,,8.676,,48.804,-11.845,38.355,,,-50.2,,,0.0,0.0,0.0,,,,,60.649,-234.299,-2.282,-164.28,,,,-67.737,0.364,-68.101,0.0,,-92.619,18.0,14.783,
03/31/2000,103.002,26.88,51.558,5.035,,,5.035,19.529,-13.925,,,33.454,,-80.829,-76.174,5.218,,,-81.392,,,,,,,,,,-4.655,-20.463,-2.282,35.0,,,,-29.936,0.322,-30.258,-23.245,,1.71,,3.46,
06/30/2000,89.773,36.86,56.864,21.633,,12.965,8.668,-25.584,-32.758,,,7.174,,-104.838,-84.112,4.812,,,-88.924,,,,,,,,,,-20.726,50.331,-2.229,25.0,,,,4.315,4.34,-0.025,23.245,,35.266,21.1,13.333,
09/30/2000,119.01,57.217,57.051,12.056,,13.106,-1.05,-7.314,-27.748,,59.831,-39.397,,-116.732,-104.728,1.876,,,-106.604,,,,,,,,,,-12.004,-14.463,-2.234,-15.0,,,,2.771,2.771,0.0,,,-12.185,41.765,3.361,
12/31/2000,275.4,70.64,72.888,57.804,,,57.804,74.068,,,,74.068,,-295.79,-277.357,0.702,,,-278.059,,,0.0,0.0,0.0,,,,,-18.433,15.826,-2.213,11.755,,,,6.284,6.284,0.0,0.0,,-4.564,15.125,12.822,
03/31/2001,257.329,105.91,67.208,33.401,,10.291,23.11,50.81,25.5,,,25.31,,-195.151,-175.11,0.107,,,-175.217,,,0.0,0.0,0.0,,,,,-20.041,-56.064,-2.25,-70.0,,,,16.186,16.186,0.0,0.0,,6.114,1.631,3.357,
06/30/2001,109.183,51.334,81.248,61.271,,24.474,36.797,-84.67,21.187,,,-105.857,,-211.896,-189.817,0.043,,,-189.86,,,0.0,0.0,0.0,,,,,-22.079,138.073,-2.264,140.0,,,,0.337,0.337,0.0,0.0,,35.36,64.5,10.805,
09/30/2001,95.45,3.808,61.191,29.71,,40.981,-11.271,0.741,64.715,,-48.775,-15.199,,-179.815,-178.199,1.145,,,-179.344,,,0.0,0.0,0.0,,,,,-1.616,37.747,-2.263,40.0,,,,0.01,0.01,0.0,0.0,,-46.618,0.0,2.227,
12/31/2001,173.81,-27.476,74.369,66.469,,,66.469,60.448,,,,60.448,,-296.853,-194.146,0.139,,,-194.285,,,0.0,0.0,0.0,,,,,-102.707,178.272,-2.265,180.395,,,,0.142,0.142,0.0,0.0,,55.229,0.0,10.201,
03/31/2002,74.171,-15.098,79.361,31.942,,-1.56,33.502,-22.034,-28.702,,,6.668,,-140.233,-135.452,19.635,,,-155.087,,,0.0,0.0,0.0,,,,,-4.781,26.139,-2.28,27.163,,,,1.256,1.256,0.0,0.0,,-39.923,0.0,2.555,
06/30/2002,113.272,17.119,69.19,-0.01,,4.276,-4.286,26.973,,,-37.676,64.649,,-136.191,-139.628,0.381,,,-140.009,,,0.0,0.0,0.0,,,,,3.437,-8.714,-2.283,-12.847,,,,6.416,6.416,0.0,0.0,,-31.633,-16.489,11.246,
09/30/2002,117.7,-1.19,70.637,54.024,,2.783,51.241,-5.771,-9.852,,,4.081,,-133.138,-132.144,0.347,,,-132.491,,,0.0,0.0,0.0,,,,,-0.994,20.164,-2.292,21.947,,,,0.509,0.509,0.0,0.0,,4.726,0.0,-0.607,
12/31/2002,199.148,16.821,66.098,56.534,,,56.534,59.695,,,,59.695,,-167.966,-168.152,0.0,,,-168.152,,,0.0,0.0,0.0,,,,,0.186,-22.147,-2.292,-22.03,,,,2.175,2.175,0.0,0.0,,9.035,0.0,13.127,
03/31/2003,158.49,34.857,69.963,60.411,,5.242,55.169,-6.741,-100.945,,66.991,27.213,,-120.686,-119.733,0.0,,,-119.733,,,0.0,0.0,0.0,,,,,-0.953,-19.927,-2.295,-18.384,,,,0.752,0.752,0.0,0.0,,17.877,-4.353,5.147,
06/30/2003,153.03,29.069,85.72,43.015,,0.226,42.789,-4.774,15.362,,-29.133,8.997,,-127.645,-128.825,0.101,,,-128.926,,,0.0,0.0,0.0,,,,,1.18,-9.971,-2.297,-10.81,,,,3.136,3.136,0.0,0.0,,15.414,21.5,13.702,
09/30/2003,171.035,35.117,90.128,34.324,,-6.133,40.457,11.466,-43.106,,,54.572,,-128.317,-128.99,15.272,,,-144.262,,,0.0,0.0,0.0,,,,,0.673,-20.069,-2.288,-113.629,,,,99.008,99.008,0.0,-3.16,,22.649,12.0,2.266,
12/31/2003,132.962,-21.05,81.169,97.615,,-52.422,150.037,-24.772,,,,-24.772,,-80.452,-81.052,65.711,,,-146.763,,,0.0,0.0,0.0,,,,,0.6,-61.518,-2.875,-43.402,,,,-18.401,18.225,-36.626,3.16,,-9.008,22.0,10.709,
03/31/2004,210.716,85.546,77.682,29.49,,26.215,3.275,17.998,-10.149,,,28.147,,-116.817,-117.615,1.079,,,-118.694,,,0.0,0.0,0.0,,,,,0.798,-16.716,-2.879,-43.532,,,,29.695,29.695,0.0,0.0,,77.183,0.0,5.324,
06/30/2004,160.714,72.027,92.18,32.614,,18.34,14.274,-36.107,7.559,,-31.584,-12.082,,-164.966,-166.643,33.144,,,-199.787,,,0.0,0.0,0.0,,,,,1.677,38.007,-2.903,32.655,,,,8.255,8.255,0.0,0.0,,33.755,42.75,7.622,
09/30/2004,152.584,83.692,79.864,17.509,,-0.109,17.618,-28.481,14.29,,,-42.771,,-135.669,-136.626,1.937,,,-138.563,,,0.0,0.0,0.0,,,,,0.957,-30.128,-2.923,-42.802,,,,15.597,15.597,0.0,0.0,,-13.213,47.7,1.266,
12/31/2004,184.172,87.445,97.959,-50.935,,-24.241,-26.694,49.703,-122.065,,,171.768,,-170.649,-177.512,26.295,,,-203.807,,,0.0,0.0,0.0,,,,,6.863,6.172,-2.941,0.069,,,,9.044,9.044,0.0,0.0,,19.695,21.8,19.023,
03/31/2005,204.525,109.968,74.587,32.997,,11.147,21.85,-13.027,20.561,,,-33.588,,-143.931,-131.319,0.32,,,-131.639,,,0.0,0.0,0.0,,,,,-12.612,-58.823,-2.95,-64.931,,,,9.058,9.058,0.0,0.0,,1.771,,,
06/30/2005,282.016,136.877,99.498,71.273,,64.16,7.113,-25.632,47.56,,,-73.192,,-1289.828,-179.449,0.0,,,-179.449,,,0.0,0.0,0.0,,,,,-1110.379,1104.396,-2.964,1069.066,,,,38.294,38.294,0.0,0.0,,96.584,,,
09/30/2005,480.3,176.956,116.139,143.276,,25.126,118.15,43.929,-104.325,,,148.254,,-263.586,-265.132,0.0,,,-265.132,,,0.0,0.0,0.0,,,,,1.546,-371.127,-8.874,-1615.0,,,,16.414,16.414,0.0,1236.333,,-154.413,,,
12/31/2005,313.037,221.919,113.772,48.097,,83.337,-35.24,-70.751,-37.571,,,-33.18,,-235.143,-196.521,12.859,,,-209.38,,,,,,,,,,-38.622,-91.309,-8.867,-86.333,,,,3.891,3.891,,,,-13.415,,,
03/31/2006,527.509,226.087,128.616,89.128,,55.46,33.668,83.678,25.575,,,58.103,,-653.252,-288.018,0.0,,,-288.018,,,0.0,0.0,0.0,,,,,-365.234,151.372,-8.926,135.0,,,,25.298,25.298,0.0,0.0,,25.629,,,
06/30/2006,934.24,195.382,301.18,493.688,,47.059,446.629,-56.01,-69.81,,,13.8,,-949.027,-612.932,16.928,,,-629.86,,,0.0,0.0,0.0,,,,,-336.095,85.857,-22.35,95.0,,,,13.207,36.889,-23.682,0.0,,71.07,,,
09/30/2006,406.573,318.064,169.54,-147.235,,99.65,-246.885,66.204,28.588,,,37.616,,121.994,86.761,487.331,,,-400.57,,,0.0,0.0,0.0,,,,,35.233,-250.155,-13.426,-100.0,,,,-136.729,32.221,-168.95,0.0,,-91.588,,,
12/31/2006,1730.306,678.428,638.927,473.945,11.816,194.261,267.868,-60.994,-32.348,,-11.151,-17.495,,-1098.339,-837.472,519.567,,,-1357.039,,,0.0,0.0,0.0,,,,,-260.867,-588.88,-48.924,-230.0,,,,-309.956,88.719,-398.675,0.0,,43.087,115.398,105.769,
03/31/2007,474.355,211.812,167.432,112.263,,47.72,64.543,-17.152,-50.869,,11.68,22.037,,-332.876,-332.876,0.0,,,-332.876,,,0.0,0.0,0.0,,,,,0.0,6.367,-12.944,100.0,,,,-80.689,20.844,-101.533,0.0,,147.846,,,
06/30/2007,107.368,209.105,184.668,-112.263,,55.796,-168.059,-174.142,28.371,,,-202.513,,-362.256,-362.256,0.0,,,-362.256,,,0.0,0.0,0.0,,,,,0.0,64.236,-20.721,80.0,,,,4.957,4.957,0.0,0.0,,-190.652,,,
09/30/2007,872.468,222.675,198.911,383.826,,88.621,295.205,67.056,43.482,,,23.574,,-320.47,-322.57,0.0,,,-322.57,,,0.0,0.0,0.0,,,,,2.1,-78.247,-20.749,-65.0,,,,7.502,7.502,0.0,0.0,,473.751,,,
12/31/2007,562.382,300.278,191.247,-29.732,,99.744,-129.476,100.589,-42.593,,,143.182,,-387.487,-387.487,9.326,,,-396.813,,,0.0,0.0,0.0,,,,,0.0,-99.385,-20.79,-90.0,,,,11.405,11.405,0.0,0.0,,75.51,149.058,104.91,
03/31/2008,506.0,215.0,203.0,225.0,,35.0,190.0,-137.0,-137.0,,-61.0,61.0,,-355.0,-355.0,109.0,,,-464.0,,,0.0,0.0,0.0,,,,,0.0,-4.0,-21.0,0.0,,,,17.0,19.0,-2.0,0.0,,147.0,,,
06/30/2008,648.0,-144.0,196.0,749.0,,-25.0,774.0,-153.0,-139.0,,,-14.0,,-468.0,-468.0,0.0,,,-468.0,,,0.0,0.0,0.0,,,,,0.0,-4.0,-32.0,25.0,,,,28.0,28.0,0.0,-25.0,,176.0,,,
09/30/2008,713.0,974.0,194.0,-736.0,,163.0,-899.0,281.0,182.0,,,99.0,,-898.0,-898.0,22.0,,,-920.0,,,0.0,0.0,0.0,,,,,0.0,194.0,-31.0,223.0,,,,2.0,2.0,0.0,0.0,,9.0,,,
12/31/2008,418.0,305.0,198.0,-91.0,,186.0,-277.0,6.0,215.0,,,-209.0,,-411.0,-119.0,0.0,,,-119.0,,,0.0,0.0,0.0,,,,,-292.0,141.0,-31.0,178.0,,,,1.0,2.0,-1.0,-7.0,,148.0,,,
