Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Source: Bloomberg
03/31/2010,133.468,-16.132,42.582,0.927,0.63,,0.297,106.091,0.416,-2.398,11.369,96.704,0,-26.524,-26.524,0,0.0,0.0,-26.524,-26.524,0.0,0,0,0,0.0,0,0.0,0,0.0,-66.607,0,-65.527,0.0,,-65.527,0.0,0.0,0.0,-1.08,0.0,40.337,
06/30/2010,180.274,-14.94,43.656,3.117,0.63,,2.487,148.441,-1.197,-3.59,8.095,145.133,0,-827.47,-827.47,0,0.0,0.0,-827.47,-827.47,0.0,0,0,0,0.0,0,0.0,0,0.0,656.148,0,676.367,,873.273,-196.906,0.0,0.0,0.0,-20.219,0.0,8.952,
03/31/2011,136.261,-10.625,51.753,-2.944,0.297,,-3.241,98.077,-2.881,-4.511,-2.226,107.695,0,-19.901,-19.901,0,,0.0,-19.901,-19.901,0.0,0,0,0,0.0,0,0.0,0,0.0,-122.208,0,-122.392,,13.221,-135.613,0.0,0.0,0.0,0.184,0.0,-5.848,
06/30/2011,97.949,29.176,52.055,-0.485,0.304,,-0.789,17.203,1.456,-2.083,1.081,16.749,0,-77.449,-77.449,0,0.0,0.0,-77.449,-77.449,0.0,0,0,0,0.0,0,0.0,0,0.0,-9.522,0,-9.313,,108.865,-118.178,0.0,0.0,0.0,-0.209,0.0,10.978,
09/30/2011,89.336,107.509,55.719,5.502,0.305,,5.197,-79.394,-3.201,-2.204,1.356,-75.345,0,-19.971,-19.971,0,0.0,0.0,-19.971,-19.971,0.0,0,0,0,0.0,0,0.0,0,0.0,-81.707,0,-81.195,,0.0,-81.195,0.0,0.0,0.0,-0.512,0.0,-12.342,
12/31/2011,33.444,-1.941,51.522,-0.46,0.305,,-0.765,-15.677,4.346,5.327,15.717,-41.067,0,-67.476,-67.476,0,0.0,0.0,-67.476,-67.476,0.0,0,0,0,0.0,0,0.0,0,0.0,45.123,0,46.316,,151.289,-104.973,0.0,0.0,0.0,-1.193,0.0,11.091,
03/31/2012,158.434,3.284,52.47,2.399,0.165,0.0,2.234,100.281,0.172,-3.44,-8.052,111.601,0,-24.333,-24.333,0,,0.0,-24.333,-24.333,0.0,0,0,0,0.0,0,0.0,0,0.0,-129.054,0,-126.771,,151.005,-277.776,0.0,0.0,0.0,-2.283,0.0,5.047,
06/30/2012,97.354,36.031,53.272,5.86,0.165,0.0,5.695,2.191,-1.453,1.888,-3.691,5.447,0,-150.64,-150.64,0,0.0,0.0,-150.64,-150.64,0.0,0,0,0,0.0,0,0.0,0,0.0,55.014,0,55.824,,369.2,-313.376,0.0,0.0,0.0,-0.81,0.0,1.728,
09/30/2012,120.735,128.188,55.039,-1.473,0.165,0.0,-1.638,-61.019,-3.368,-5.389,-1.65,-50.612,0,-54.882,-54.882,0,,,-54.882,-54.882,0.0,0,0,0,0.0,0,0.0,0,0.0,-62.86,0,-62.318,,64.785,-127.103,0.0,0.0,0.0,-0.542,0.0,2.993,
12/31/2012,22.071,1.053,55.356,8.677,4.665,,4.012,-43.015,0.057,3.494,12.165,-58.731,0,-73.985,-73.985,0,0.0,0.0,-73.985,-73.985,0.0,0,0,0,0.0,0,0.0,0,0.0,28.72,0,74.461,,215.628,-141.167,0.0,0.0,0.0,-45.741,0.0,-23.194,
03/31/2013,82.095,-96.395,55.48,33.845,18.753,2.043,13.049,89.165,1.675,-2.61,-11.427,101.527,0,-85.152,-85.152,0,,0.0,-85.152,-85.152,0.0,0,0,0,0.0,0,0.0,0,0.0,38.758,0,-348.484,,744.525,-1093.009,0.0,0.0,0.0,387.242,0.0,35.701,
06/30/2013,170.685,-8.841,60.466,23.387,0.603,0.925,21.859,95.673,-2.983,-3.138,29.401,72.393,0,-673.868,-673.868,0,0.0,0.0,-673.868,-673.868,0.0,0,0,0,0.0,0,0.0,0,0.0,504.822,0,556.217,,1544.728,-988.511,0.0,0.0,0.0,-51.395,0.0,1.639,
09/30/2013,145.563,170.858,64.197,12.096,1.927,8.058,2.111,-101.588,-1.347,-0.472,1.459,-101.228,0,-76.745,-76.745,0,0.0,0.0,-76.745,-76.745,0.0,0,0,0,0.0,0,0.0,0,0.0,-94.698,0,-78.244,,70.057,-148.301,1.268,1.268,0.0,-17.722,0.0,-25.88,
12/31/2013,76.938,36.092,64.968,-6.741,1.792,-8.182,-0.351,-17.381,-0.543,2.186,-11.771,-7.253,0,-59.086,-59.086,0,0.0,0.0,-59.086,-59.086,0.0,0,0,0,0.0,0,0.0,0,0.0,-18.345,0,-0.791,,163.001,-163.792,0.752,0.752,0.0,-18.306,0.0,-0.493,
03/31/2014,228.134,51.267,69.708,3.212,1.835,1.027,0.35,103.947,0.26,-4.391,-7.198,115.276,0,-746.31,-746.31,0,,0.0,-746.31,-746.31,0.0,0,0,0,0.0,0,0.0,0,0.0,526.469,0,526.326,0.0,784.451,-258.125,0.34,0.34,0.0,-0.197,0.0,8.293,
06/30/2014,290.974,111.616,71.52,6.679,3.244,1.759,1.676,101.159,-9.145,-4.46,23.165,91.599,0,-41.256,-41.256,0,0.0,0.0,-41.256,-41.256,0.0,0,0,0,0.0,0,0.0,0,0.0,-250.995,0,-170.539,-18.521,130.094,-282.112,-77.337,1.818,-79.155,-3.119,0.0,-1.277,
09/30/2014,181.616,201.078,72.078,0.839,4.472,-6.024,2.391,-92.379,1.209,1.303,-2.871,-92.02,0,-77.271,-77.271,0,0.0,0.0,-77.271,-77.271,0.0,0,0,0,0.0,0,0.0,0,0.0,-111.959,0,-38.969,0.0,186.742,-225.711,-1.922,0.923,-2.845,-71.068,0.0,-7.614,
12/31/2014,-65.123,-25.609,91.571,37.225,5.066,9.425,22.734,-168.31,0.42,7.287,-12.781,-163.236,0,-931.823,-99.803,0,0.0,0.0,-99.803,-99.803,0.0,0,0,0,-826.686,0,-826.686,0,-5.334,1025.901,0,1065.14,0.0,2006.434,-941.294,2.776,2.776,0.0,-42.015,0.0,28.955,
03/31/2015,299.222,-21.456,104.533,32.187,12.005,0.06,20.122,183.958,1.474,-0.08,-17.455,200.019,0,-58.563,-58.563,0,0.0,0.0,-58.563,-58.563,0.0,0,0,0,0.0,0,0.0,0,0.0,-204.061,0,-253.191,0.0,224.033,-477.224,51.79,51.79,0.0,-2.66,0.0,36.598,
06/30/2015,392.921,158.494,110.184,-33.327,2.161,0.364,-35.852,157.57,-5.843,-3.166,-29.583,196.162,0,-127.941,-127.941,0,0.0,0.0,-127.941,-127.941,0.0,0,0,0,0.0,0,0.0,0,0.0,-213.444,0,-216.674,0.0,116.027,-332.701,3.233,3.233,0.0,-0.003,0.0,51.536,
09/30/2015,281.243,251.787,113.144,8.543,13.691,0.434,-5.582,-92.231,-5.194,4.855,-10.799,-81.093,0,-143.964,-145.054,0,0.0,0.0,-145.054,-144.304,-0.75,0,0,0,0.0,0,0.0,0,1.09,-80.057,0,-81.582,0.0,35.691,-117.273,4.079,11.504,-7.425,-2.554,0.0,57.222,
12/31/2015,68.792,38.312,122.474,28.299,14.352,0.411,13.536,-120.293,-5.24,-6.017,5.114,-114.15,0,-875.785,-791.176,0,,0.0,-791.176,-791.176,0.0,0,0,0,0.0,0,0.0,0,-84.609,692.75,0,800.901,0.0,1480.058,-679.157,-96.373,3.458,-99.831,-11.778,0.0,-114.243,
03/31/2016,330.096,73.229,104.686,4.03,15.245,0.158,-11.373,148.151,-1.042,-4.36,2.75,150.803,0,-133.194,-132.027,0,0.0,0.0,-132.027,-132.027,0.0,0,0,0,0.0,0,0.0,0,-1.167,-157.972,0,-104.248,0.0,204.0,-308.248,-47.955,2.044,-49.999,-5.769,0.0,38.93,
06/30/2016,417.942,145.246,107.582,43.215,16.204,0.23,26.781,121.899,-15.293,-5.314,-13.615,156.121,0,-665.834,-632.872,0,0.0,0.0,-632.872,-632.872,0.0,0,0,0,0.0,0,0.0,0,-32.962,238.989,0,281.937,0.0,2360.116,-2078.179,2.135,2.135,0.0,-45.083,0.0,-8.903,
09/30/2016,340.721,342.378,115.098,16.062,16.84,0.319,-1.097,-132.817,5.049,0.541,13.416,-151.823,0,-151.208,-151.037,0,0.0,0.0,-151.037,-151.037,0.0,0,0,0,0.0,0,0.0,0,-0.171,-180.046,0,-196.477,0.0,123.239,-319.716,0.605,0.605,0.0,15.826,0.0,9.467,
12/31/2016,150.907,72.232,118.269,23.534,18.125,-3.155,8.564,-63.128,-9.697,-0.051,-8.306,-45.074,0,-178.678,-176.155,0,,,-176.155,-176.155,0.0,0,0,0,0.0,0,0.0,0,-2.523,0.687,0,10.165,,1066.573,-1056.408,4.385,4.385,0.0,-13.863,0.0,-27.084,
03/31/2017,434.944,61.91,121.593,20.118,18.203,1.186,0.729,231.323,14.943,-5.184,27.423,194.141,0,-117.777,-117.777,0,0.0,0.0,-117.777,-117.777,0.0,0,0,0,0.0,0,0.0,0,0.0,-225.725,0,-229.237,0.0,236.0,-465.237,9.466,9.466,0.0,-5.954,0.0,91.442,
06/30/2017,484.787,198.473,127.025,28.177,24.017,3.979,0.181,131.112,-2.642,-5.63,-17.294,156.678,0,-982.743,-947.488,0,0.0,0.0,-947.488,-947.488,0.0,0,0,0,0.0,0,0.0,0,-35.255,497.482,0,524.968,0.0,981.06,-456.092,3.747,3.747,0.0,-31.233,0.0,-0.474,
09/30/2017,439.907,400.692,137.339,32.925,21.444,10.87,0.611,-131.049,-11.73,-3.109,-6.173,-110.037,0,-64.249,-64.249,0,0.0,0.0,-64.249,-64.249,0.0,0,0,0,0.0,0,0.0,0,0.0,-72.069,0,-85.291,0.0,0.0,-85.291,14.85,14.85,0.0,-1.628,0.0,303.589,
12/31/2017,241.609,98.797,135.527,39.614,23.375,-6.882,23.121,-32.329,14.479,-3.206,10.091,-53.693,0,-240.129,-242.7,0,0.0,0.0,-242.7,-242.7,0.0,0,0,0,0.0,0,0.0,0,2.571,-348.194,0,-310.935,0.0,599.33,-910.265,1.969,1.969,0.0,-39.228,0.0,-346.714,
03/31/2018,610.761,103.155,134.546,30.167,28.102,0.809,1.256,342.893,1.618,1.363,13.163,326.749,0,-143.625,-143.874,0,0.0,0.0,-143.874,-143.874,0.0,0,0,0,0.0,0,0.0,0,0.249,-341.578,0,38.052,0.0,290.878,-252.826,-257.544,5.961,-263.505,-122.086,0.0,125.558,
06/30/2018,643.04,226.676,140.296,36.507,31.733,1.371,3.403,239.561,-3.705,-12.785,-9.518,265.569,0,-1042.512,-1107.56,0,0.0,0.0,-1107.56,-1107.56,0.0,0,0,0,0.0,0,0.0,0,65.048,302.731,0,500.403,0.0,1154.474,-654.071,-186.935,13.065,-200.0,-10.737,0.0,-96.741,
09/30/2018,466.3,470.378,145.312,31.393,28.962,1.818,0.613,-180.783,-3.562,-2.815,-0.642,-173.764,0,-109.99,-110.244,0,0.0,0.0,-110.244,-110.244,0.0,0,0,0,0.0,0,0.0,0,0.254,-274.856,0,-280.602,0.0,46.0,-326.602,7.616,7.616,0.0,-1.87,0.0,81.454,
12/31/2018,355.07,154.634,146.818,25.803,27.186,-2.49,1.107,27.815,-10.237,5.185,103.384,-70.517,0,-206.581,-205.118,0,0.0,0.0,-205.118,-205.118,0.0,0,0,0,0.0,0,0.0,0,-1.463,-271.099,0,-69.232,0.0,413.513,-482.745,-199.129,2.177,-201.306,-2.738,0.0,-122.61,
03/31/2019,527.47,118.157,169.714,-3.062,26.999,-32.094,2.033,242.661,-2.179,-0.496,-89.914,335.25,0,-214.011,-214.559,0,0.0,0.0,-214.559,-214.559,0.0,0,0,0,0.0,0,0.0,0,0.548,-172.602,0,46.411,0.0,2392.0,-2345.589,-192.252,7.744,-199.996,-26.761,0.0,140.857,
06/30/2019,513.751,240.19,156.757,31.438,29.651,2.301,-0.514,85.366,-12.942,-0.846,8.224,90.93,0,-195.541,-199.329,0,0.0,0.0,-199.329,-199.329,0.0,0,0,0,0.0,0,0.0,0,3.788,-202.993,0,-203.026,0.0,260.0,-463.026,3.549,3.624,-0.075,-3.516,0.0,115.217,
09/30/2019,420.98,450.584,156.026,24.867,25.42,4.062,-4.615,-210.497,2.38,-3.339,-4.835,-204.703,0,-216.82,-202.097,0,0.0,0.0,-202.097,-202.097,0.0,0,0,0,0.0,0,0.0,0,-14.723,-216.827,0,-73.739,0.0,0.0,-73.739,-142.954,6.835,-149.789,-0.134,0.0,-12.667,
12/31/2019,341.851,121.297,164.605,24.063,12.985,-0.403,11.481,31.886,-1.363,-1.474,27.89,6.833,0,-1035.267,-1021.185,0,0.0,0.0,-1021.185,-1021.185,0.0,0,0,0,0.0,0,0.0,0,-14.082,539.034,0,545.919,0.0,1470.297,-924.378,13.734,13.734,0.0,-20.619,0.0,-154.382,
