Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,-8.431,5.475,-0.048,20.459,17.455,,,,,,,,,,,,,,,,,
06/30/1990,,-6.38,5.318,-1.395,-3.523,-5.98,,,,,,,,,,,,,,,,,
09/30/1990,,-1.286,5.135,-2.23,0.062,1.681,,,,,,,,,,,,,,,,,
12/31/1990,,1.158,5.469,-3.644,10.79,13.773,,,,,,,,,,,,,,,13.773,,
03/31/1991,,-5.604,5.449,1.792,17.524,19.160999,,,,,,,,,,,,,,,19.160999,,
06/30/1991,,-1.323,5.238,-0.44,-10.386,-6.911,,,,,,,,,,,,,,,-6.911,,
09/30/1991,,3.303,4.863,0.633,-0.387,8.412,,,,,,,,,,,,,,,8.412,,
12/31/1991,,8.983,4.98,2.938,5.322,22.223,,,,,,,,,,,,,,,22.223,,
03/31/1992,,-2.641,5.156,2.533,17.774,22.822001,,,,,,,,,,,,,,,22.822001,,
06/30/1992,,0.27,5.276,0.359,0.864,6.769,,,,,,,,,,,,,,,6.769,,
09/30/1992,,3.573,-5.551,2.517999,-24.851,-24.311001,,,,,,,,,,,,,,,-24.311001,,
12/31/1992,,-0.687,9.556,14.757999,16.535999,40.162998,,,,,,,,,,,,,,,40.162998,,
03/31/1993,,-4.349,3.461,2.281,8.937,10.33,,,,,,,,,,,,,,,10.33,,
06/30/1993,,-3.546,-0.8,11.903,-8.614,-1.057,,,,,,,,,,,,,,,-1.057,,
09/30/1993,,-3.812,-1.099,-0.411001,-15.937,-21.259001,,,,,,,,,,,,,,,-21.259001,,
12/31/1993,,2.088,5.828,0.829001,11.559,20.304001,,,,,,,,,,,,,,,20.304001,,
03/31/1994,,-13.382,1.347,9.308,1.683,-1.044,,,,,,,,,,,,,,,-1.044,,
06/30/1994,,-50.923,1.383,57.327,-9.968,-2.181,,,,,,,,,,,,,,,-2.181,,
09/30/1994,,-4.148,1.471,0.606,1.936,-0.135,,,,,,,,,,,,,,,-0.135,,
12/31/1994,,4.908,3.233,2.108,-8.318,1.931,,,,,,,,,,,,,,,1.931,,
03/31/1995,,-6.157,1.937,0.201,2.674,-1.345,-1.988,,-1.988,,,,,,,,,,,,-3.333,,
06/30/1995,,-84.025002,0.242,85.098002,-3.884,-2.569,-1.307,,-1.307,,,,,,,,,,,,-3.876,,
09/30/1995,,5.827,1.157,-4.979,-3.415,-1.41,,,,,,,,,,,,,,,-1.41,,
12/31/1995,,0.86,3.026,32.082001,-29.309999,6.658,,,,,,,,,,,,,,,6.658,,
03/31/1996,,0.665,1.591,0.785,-6.626,-3.585,-1.915,,-1.915,,,,,,,,,,,,-5.5,,
06/30/1996,,2.174,0.258,1.157,-3.911,-0.322,-2.358,,-2.358,,,,,,,,,,,,-2.68,,
09/30/1996,,9.307,2.12,-4.028,2.517,9.916,-2.597,,-2.597,,,,,,,,,,,,7.319,,
12/31/1996,,9.879,4.335,-7.634,-8.108,-1.528,,,-3.627,,,,,,,,,,,,,,
03/31/1997,,1.356,2.579,-2.7,-8.681,-7.446,-12.302,0.242,-3.11,0.0,0.0,-9.434,20.158001,0.0,-1.871,24.0,-2.972,0.25,0.0,0.751,0.41,,
