Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,3.568225,3.734927,-7.329421,4.12766,4.101391,,,,,,,,,,,,,,,,,,,
06/30/1990,,3.232386,3.831849,4.63422,1.036559,12.735014,,,,,,,,,,,,,,,,,,,
09/30/1990,,2.120552,7.788045,-7.339043,-0.115307,2.454247,,,,,,,,,,,,,,,,,,,
12/31/1990,,-12.39837,22.16334,5.275383,-11.20925,3.831112,,,,,,,,,,,,,,,,,3.831112,,
03/31/1991,,1.168081,7.698507,-2.972219,1.29971,7.194079,,,,,,,,,,,,,,,,,,,
06/30/1991,,1.600924,6.06532,57.913315,-0.837295,64.742264,,,,,,,,,,,,,,,,,,,
09/30/1991,,-4.545493,13.337711,-51.376015,-21.479527,-64.063324,,,,,,,,,,,,,,,,,,,
12/31/1991,,-31.84971,44.073551,-4.691149,12.89317,20.425859,,,,,,,,,,,,,,,,,20.425859,,
03/31/1992,,-6.047,9.472,2.971,-102.560997,-96.165001,,,,,,,,,,,,,,,,,,,
06/30/1992,,0.969,6.857,2.688,-14.391,-3.877,,,,,,,,,,,,,,,,,,,
09/30/1992,,6.09,5.321,5.235,133.320999,149.966995,,,,,,,,,,,,,,,,,,,
12/31/1992,,0.718,5.636,-1.696,186.046997,190.705002,,,,,,,,,,,,,,,,,190.705002,,
03/31/1993,,3.589,4.144,3.988,-22.409,-10.688,,,,,,,,,,,,,,,,,,,
06/30/1993,,3.522,3.456,3.483,-28.127001,-17.666,,,,,,,,,,,,,,,,,,,
09/30/1993,,3.871,2.225,6.234,-32.799,-20.469,,,,,,,,,,,,,,,,,,,
12/31/1993,,7.008,8.925,6.564,38.516998,113.488998,,,,,,,,,,,,,,,,,113.488998,,
03/31/1994,,8.771,3.314,3.403,0.0,15.488,,,,,,,,,,,,,,,,,,,
06/30/1994,,9.49,2.442,2.835,0.0,14.767,,,,,,,,,,,,,,,,,,,
09/30/1994,,10.436,1.2,0.17,0.0,11.806,,,,,,,,,,,,,,,,,,,
12/31/1994,,0.975,3.31,-2.814,0.0,1.471,,,,,,,,,,,,,,,,,1.471,,
03/31/1995,,11.5,3.505,-1.797,0.0,13.208,,,-1.156,,,,,,,,,,,,,,,,
06/30/1995,,12.23,2.731,0.691,0.0,15.652,,,-1.581,,,,,,,,,,,,,,,,
09/30/1995,,14.952,4.262,4.859,0.067,24.139999,,,-3.902,,,,,,,,,,,,,,,,
12/31/1995,,17.535,7.177,7.271,0.0,43.108002,-4.624,,-4.624,,,,,,,,,,,,,,38.484002,,
03/31/1996,,18.723,3.484,2.271,0.0,24.478001,,,-1.823,,,,,,,,,,,,,,,,
06/30/1996,,21.834999,3.738,-3.986,0.0,21.587,,,-2.806,,,,,,,,,,,,,,,,
09/30/1996,,17.795,3.737,19.18,0.0,40.712002,,,-1.345,,,,,,,,,,,,,,,,
12/31/1996,,4.089,4.218,23.24,0.0,31.547001,,,-5.413,,,,,,,,,,,,,,,,
03/31/1997,,35.979,4.473,-6.168,0.0,34.284,,,-1.286,,,,,,,,,,,,,,,,
06/30/1997,,43.583,9.093,13.88,0.0,66.556,,,-2.157,,,,,,,,,,,,,,,,
09/30/1997,,43.057999,6.118,17.618,0.0,66.793999,,,-1.407,,,,,,,,,,,,,,,,
12/31/1997,,47.901001,6.193,-13.294,0.0,40.799999,,,-1.661,,,,,,,,,,,,,,,,
03/31/1998,,7.376,15.344,59.240002,0.0,81.959999,,,,,,,,,,,,,,,,,,,
06/30/1998,,50.896,3.582,-11.308,0.0,43.169998,,,,,,,,,,,,,,,,,,,
09/30/1998,,52.667,16.129999,10.233,0.0,79.029999,,,,,,,,,,,,,,,,,,,
12/31/1998,,57.035999,5.769,-17.450001,0.0,45.355,,,,,,,,,,,,,,,,,,,
03/31/1999,,53.568,6.271,-57.744,0.0,2.095,-552.063,0.0,-1.5,-954.19,592.258,-188.999,0.368,550.344,-38.925,0.0,526.7,0.0,1.611,-8.368,69.326,0.0,0.376,,
06/30/1999,,58.36,6.144,15.738,0.0,80.242,-190.874,0.0,-5.164,-465.984,440.277,-162.321,2.318,262.37,-21.055,0.0,368.0,0.0,0.467,-42.561,-7.481,-35.0,151.738,,
