Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Source: Bloomberg
12/31/1996,6.928093,,4.73138,6.928093,4.506077,,,,
03/31/1997,7.209722,4.065041,6.871767,8.70236,6.308507,571.968032,71.496002,,
06/30/1997,12.95497,79.6875,7.237885,13.011296,7.125233,1044.257443,71.496002,,
09/30/1997,16.855542,30.108696,12.842318,16.897787,11.293354,1894.850925,72.643997,,
12/31/1997,15.405149,-8.604845,16.827379,20.023877,12.560688,1765.989432,101.311996,,
03/31/1998,14.841889,-3.656307,15.517801,15.517801,10.251324,1702.37472,103.311996,,
06/30/1998,12.081918,-18.595825,14.870052,18.221447,11.659473,1385.026446,103.370003,,
09/30/1998,5.57627,-53.846154,12.250895,13.968837,3.435883,655.8379,103.311996,,
12/31/1998,5.041173,-9.59596,5.57627,8.054612,3.717513,647.946438,105.994003,,
03/31/1999,5.210151,3.351955,5.069336,6.167692,3.830165,651.15375,115.834,,
06/30/1999,6.308507,21.081081,5.153825,6.533811,4.506077,788.732,112.632004,,
09/30/1999,7.406863,17.410714,6.083203,8.336242,5.857899,957.632313,112.676003,,
12/31/1999,7.068908,-4.562738,7.3787,7.435026,5.407292,1125.374187,116.517998,,
03/31/2000,13.912511,96.812749,7.012582,14.27863,6.308507,1797.66597,116.447998,,
06/30/2000,14.820767,6.52834,13.912511,14.820767,10.138672,2627.960988,132.703598,,
09/30/2000,14.081489,-4.988124,14.870052,16.954113,11.800288,2508.4375,160.111603,,
12/31/2000,17.432883,23.8,14.081489,17.883491,12.363547,3114.65325,160.570801,,
03/31/2001,15.604543,-10.487884,17.68635,18.583059,14.813726,2799.246796,161.220398,,
06/30/2001,12.076285,-22.610453,15.699171,18.0198,11.896042,2167.396429,161.731598,,
09/30/2001,6.533811,-45.895522,12.098815,12.211467,5.587535,1172.905,161.776993,,
12/31/2001,9.287024,42.137931,6.48875,9.782692,6.101228,1667.41083,161.779007,,
03/31/2002,11.413892,22.901504,9.192396,11.832506,7.403484,2050.894183,161.894196,,
06/30/2002,9.485291,-16.89696,11.648208,12.982006,9.422206,1704.797378,161.9702,,
09/30/2002,8.732776,-7.933492,9.485291,9.593437,6.84473,1569.702523,161.9776,,
12/31/2002,9.841271,12.693498,8.755307,10.503664,7.971249,1769.361266,162.000397,,
03/31/2003,10.089105,2.518315,9.841271,10.746992,8.629136,1885.93209,168.449005,,
06/30/2003,9.913368,-1.741849,10.089105,11.1976,9.228445,1868.856,168.470398,,
09/30/2003,8.174023,-17.545455,9.868308,9.87732,7.980261,1542.87956,169.901794,,
12/31/2003,10.075587,23.263506,8.146986,10.562243,7.885634,1903.395,170.1194,160.7266,
03/31/2004,12.743184,26.47585,10.017008,14.004886,9.760162,2425.34936,170.990601,161.7802,
06/30/2004,14.189635,11.350778,12.662075,14.302287,11.454446,2702.618984,171.594604,163.3872,
09/30/2004,14.806967,4.350587,14.189635,15.536952,12.589978,2822.761375,171.775406,163.868,
12/31/2004,15.901944,7.395009,14.897089,16.843714,14.212165,3034.772937,171.901001,164.0112,
03/31/2005,21.043377,32.332105,15.901944,22.755686,14.906101,8008.27973,336.854187,329.332,
06/30/2005,21.421888,1.798715,21.17856,22.183415,17.695362,8229.486148,344.112396,336.6618,
09/30/2005,29.649983,38.40976,21.4309,30.790021,20.82258,11462.530356,346.793213,339.3968,
12/31/2005,28.2531,-4.711246,29.785166,30.370956,23.949797,10932.527998,348.60141,341.1382,
03/31/2006,28.892963,2.264753,28.329703,34.967154,25.134895,11211.592057,349.441589,341.9762,
06/30/2006,28.532476,-1.247661,29.334558,32.889852,25.378223,11104.92027,349.937592,342.4766,
09/30/2006,26.383078,-7.533165,28.645128,30.934215,24.724842,10275.190679,350.755615,343.2946,
12/31/2006,27.568176,4.491887,26.387584,30.911685,23.260367,10741.474342,351.002991,343.547,
03/31/2007,35.052769,27.149395,27.915144,35.724174,24.220161,13791.464556,351.607208,344.04,
06/30/2007,46.971341,34.0018,34.967154,49.37308,34.494016,18565.594525,355.227386,347.5342,
09/30/2007,65.112805,38.62241,46.975848,67.631702,44.073934,25764.393206,356.397003,348.7038,
12/31/2007,66.203276,1.67474,65.419219,73.899655,55.019194,26215.486403,356.662994,348.9727,
03/31/2008,52.612949,-20.528179,66.915236,70.150599,44.556084,20889.272918,356.988708,349.2074,
06/30/2008,79.955821,51.969853,52.621961,83.254269,51.189029,37003.56082,415.173889,414.3154,
09/30/2008,45.268045,-43.383679,79.766566,83.542658,38.553991,20962.840624,417.381104,416.5345,
12/31/2008,22.025702,-51.343818,44.592133,44.592133,15.861389,10200.056583,417.323608,416.4867,
03/31/2009,25.873891,17.471358,22.115823,31.073904,19.997968,12004.501677,417.375092,416.3385,
06/30/2009,29.433692,13.758272,25.288101,36.670451,24.801445,13658.16287,418.149689,417.0939,
09/30/2009,38.869416,32.057563,29.749117,40.167166,25.918952,18040.479154,418.199188,417.1434,
12/31/2009,39.734583,2.225829,38.734234,45.213972,36.129834,18449.53682,418.3367,417.3058,
03/31/2010,36.571317,-7.960989,40.473579,43.159201,35.507883,17000.536058,418.452789,417.371,
06/30/2010,29.80319,-18.506654,36.949827,42.239961,29.512548,13858.134696,419.018005,417.9157,
09/30/2010,40.077044,34.472331,29.658996,40.77098,29.001108,18640.390376,419.081512,417.9669,
12/31/2010,60.606729,51.225545,40.572713,61.0303,39.076695,28321.782755,419.635498,418.5318,
03/31/2011,71.439337,17.873606,61.408811,74.620627,57.191123,33527.856641,421.070892,419.9183,
06/30/2011,70.484049,-1.337202,72.097224,73.890642,58.655598,33100.708728,423.077209,421.9806,
09/30/2011,46.160248,-34.509653,69.925295,78.144379,44.673242,21707.939828,423.677612,422.5842,
12/31/2011,61.273628,32.741117,45.619518,68.537424,43.231298,28821.001862,423.84259,422.7536,
03/31/2012,71.61958,16.884836,63.04001,79.054606,62.45422,33868.872122,424.224487,423.2522,
06/30/2012,58.074314,-18.912797,70.339854,73.548181,53.234788,27475.389384,426.213898,425.2234,
09/30/2012,72.196358,24.317194,57.894071,81.064316,57.34433,34197.290549,426.422211,425.4337,
12/31/2012,61.598066,-14.679815,72.854245,74.323226,58.416776,29180.550809,426.905396,425.8847,
03/31/2013,63.760982,3.511339,63.157168,67.591148,59.083675,30225.580747,426.639801,425.6594,
06/30/2013,62.093734,-2.614841,63.769995,64.887502,56.848661,29448.054091,427.28125,426.2829,
09/30/2013,70.393927,13.367199,62.571378,72.340552,61.345725,33409.136011,427.518311,426.52,
12/31/2013,71.673653,1.817949,70.294793,76.337442,69.033092,34073.3324,428.100189,427.1039,
03/31/2014,70.177635,-2.087263,71.556495,72.385613,65.491316,33394.722916,428.526184,427.5461,
06/30/2014,82.35,17.345077,70.132575,82.75,69.339787,35365.882358,429.047821,428.0126,
09/30/2014,76.1,-7.589557,82.66,86.55,75.23,32766.339102,430.238647,429.1915,
12/31/2014,65.53,-13.889619,76.2,76.7255,60.88,27455.602652,430.573761,429.519,
03/31/2015,49.99,-23.714329,64.97,66.02,46.08,19749.161728,409.935089,403.6216,
06/30/2015,48.28,-3.420684,50.19,56.64,47.47,18662.263886,387.86795,384.8,
09/30/2015,37.65,-22.017399,48.26,48.47,34.54,14146.42595,383.808716,382.6447,
12/31/2015,33.49,-11.049137,38.3,42.62,32.89,12584.362951,375.74762,374.5826,
03/31/2016,31.1,-7.136459,33.51,35.2,25.74,11726.752973,375.800964,374.4882,
06/30/2016,33.65,8.199357,30.36,37.49,26.86,12688.93892,377.060944,376.3697,
09/30/2016,36.74,9.182764,33.65,38.55,29.79,13875.760395,377.631317,376.9485,
12/31/2016,37.44,1.90528,36.01,43.63,31.025,14176.184368,377.683624,377.0015,
03/31/2017,40.09,7.077991,38.12,41.895,36.435,15236.607044,378.727264,377.8903,
06/30/2017,32.94,-17.834872,40.18,40.33,31.385,12518.922169,380.041593,379.167877,
09/30/2017,35.73,8.469945,33.17,36.4786,29.9,13579.319451,380.038518,379.169159,
12/31/2017,36.02,0.811643,35.34,36.22,31.47,13691.381019,380.032211,379.162109,
03/31/2018,36.81,2.193226,36.13,39.3,31.77,14057.761454,380.143691,379.127655,
06/30/2018,43.4,17.902744,36.62,45.08,35.11,16601.784206,382.022766,381.031677,
09/30/2018,43.08,-0.737327,42.91,49.08,41.98,16514.534221,382.619458,381.657349,
12/31/2018,25.7,-40.343547,43.38,46.64,24.27,9854.065008,383.366548,382.403809,
03/31/2019,26.64,3.657588,25.27,32.63,25.11,10281.231091,383.433346,382.177185,
06/30/2019,22.23,-16.554054,26.8,29.37,19.57,8578.650922,385.920426,384.597534,
09/30/2019,21.2,-4.633378,22.75,24.96,18.05,8180.020148,385.896425,384.599731,
12/31/2019,25.05,18.160377,21.35,25.54,19.9128,9666.461384,385.832119,384.540253,
03/31/2020,9.83,-60.758483,25.05,25.81,8.0,3816.229898,385.946844,384.332855,
06/30/2020,12.25,24.618515,9.47,16.53,8.89,4756.254041,388.223024,386.509338,
09/12/2020,11.21,,11.21,11.35,11.04,4352.66022095,388.2837,386.57,
