Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,431.187988,,,-249.841003,,181.346985,,-147.259995,,,,,34.087002,-4.523,,5.043,,,,-0.52,29.564002,-12.975,16.589001,0.0,,,16.589001,0.0,16.589001,-0.028,,16.561001,16.561001,,153.666,0.11,0.11,,153.666,0.11,0.11,0.11,
06/30/1990,468.863007,,,-263.420013,,205.442993,,-154.011002,,,,,51.431999,-3.467,,5.607,,,,-2.14,47.964999,-21.138,26.827,0.0,,,26.826999,0.0,26.827,-0.028,,26.799,26.799,,152.362,0.175,0.175,,152.362,0.175,0.175,0.175,
09/30/1990,420.734009,,,-256.225006,,164.509003,,-146.994995,,,,,17.514,-1.264,,4.799,,,,-3.535,16.25,-7.077,9.173,0.0,,,9.173,0.0,9.173,-0.028,,9.145,9.145,,152.369995,0.06,0.06,,152.369995,0.06,0.06,0.06,
12/31/1990,455.976013,,,-271.546997,,184.429016,,-157.682999,,,,,26.746,-3.134,,6.862,,,,-3.728,23.612,-11.365,12.247,0.0,,,12.247,0.0,12.247,-0.028,,12.219,12.219,,153.087494,0.08,0.08,0.08,153.087494,0.08,0.08,0.08,
03/31/1991,416.876007,,,-255.472,,161.404007,,-146.384003,,,,,15.02,-5.546,,7.949,,,,-2.403,9.474001,-4.365,5.109,0.0,,,5.109001,0.0,5.109,-0.0245,,5.0845,5.0845,,154.516006,0.035,0.035,,154.516006,0.035,0.035,0.035,
06/30/1991,440.394012,,,-252.337997,,188.056015,,-169.705002,,,,,18.351,-4.564,,8.267,,,,-3.703,13.787,-8.436,5.351,0.0,,,5.351,0.0,5.351,-0.025,,5.326,5.326,,154.591995,0.03,0.03,,154.591995,0.03,0.03,0.03,
09/30/1991,393.363007,,,-238.914993,,154.448013,,-145.529007,,,,,8.919,-5.228,,7.688,,,,-2.46,3.691,-1.754,1.937,0.0,,,1.937,0.0,1.937,-0.025,,1.912,1.912,,154.600006,0.015,0.015,,154.600006,0.015,0.015,0.015,
12/31/1991,452.467987,,,-244.658005,,207.809982,,-156.460999,,,,,51.348999,-6.341,,8.497,,,,-2.156,45.007999,-10.412,34.596001,0.0,,,34.595999,0.0,34.596001,-0.0235,,34.572501,34.572501,,153.759994,0.225,0.225,0.225,153.759994,0.225,0.225,0.225,
04/01/1992,435.897003,,,-243.529999,,192.367004,,-157.514008,,,,,34.853001,-9.742,,6.98,,,,2.762,25.111001,-11.695,13.416,33.437,,,-20.020999,0.0,-20.021,-0.0245,,-20.0455,-20.0455,,156.884003,-0.13,0.085,,156.884003,-0.13,0.085,0.085,
07/01/1992,443.238007,,,-239.334,,203.904007,,-167.154999,,,,,36.749001,-10.965,,6.768,,,,4.197,25.784,-11.784,14.0,0.0,,,14.0,0.0,14.0,-0.025,,13.975,13.975,,157.070007,0.09,0.09,,157.070007,0.09,0.09,0.09,
10/01/1992,426.213013,,,-252.746002,,173.46701,,-162.192001,,,,,11.275,-59.551,,6.405,,,,53.146,-48.276,13.258,-35.018002,0.0,,,-35.018,0.0,-35.018002,-0.025,,-35.043002,-35.043002,,157.110001,-0.22,-0.22,,157.110001,-0.22,-0.22,-0.22,
12/31/1992,468.187012,,,-269.019012,,199.168,,-193.636993,,,,,5.531,-8.894,,9.922,,,,-1.028,-3.363,-0.307,-3.67,0.0,,,-3.67,0.0,-3.67,-0.0235,,-3.6935,-3.6935,,157.205994,-0.025,-0.025,-0.025,157.205994,-0.025,-0.025,-0.025,
03/31/1993,454.481995,,,-259.411987,,195.070007,,-163.996994,,,,,31.073,-7.881,,5.22,,,,2.661,23.192,-12.304,10.888,0.0,,,10.888,0.0,10.888,-0.0245,,10.8635,10.8635,,159.468002,0.07,0.07,,159.468002,0.07,0.07,0.07,
06/30/1993,483.552002,,,-266.153992,,217.39801,,-168.481003,,,,,48.917,-5.775,,5.151,,,,0.624,43.142,-20.753,22.389,0.0,,,22.389,0.0,22.389,-0.025,,22.364,22.364,,159.442001,0.14,0.14,,159.442001,0.14,0.14,0.14,
09/30/1993,445.574005,,,-266.891998,,178.682007,,-166.516006,,,,,12.166,-8.693,,6.554,,,,2.139,3.473001,-6.505,-3.032,0.0,,,-3.032,0.0,-3.032,-0.025,,-3.057,-3.057,,144.731995,-0.02,-0.02,,144.731995,-0.02,-0.02,-0.02,
12/31/1993,636.046021,,,-344.154999,,291.891022,,-257.466003,,,,,34.424999,-54.878002,,12.624,,0.0,,42.254002,-20.453003,-3.669,-24.122,0.0,,,-24.122003,0.0,-24.122,-0.0235,,-24.1455,-24.1455,,212.028,-0.115,-0.115,-0.115,212.028,-0.115,-0.115,-0.115,
03/31/1994,589.512024,,,-323.381012,,266.131012,,-222.979004,,,,,43.152,-8.696,,8.666,,,,0.03,34.456,-16.721001,17.735001,0.0,,,17.734999,0.0,17.735001,0.0,,17.735001,17.735001,,213.712006,0.085,0.085,,213.712006,0.085,0.085,0.085,
06/30/1994,635.528992,,,-331.697998,,303.830994,,-230.421005,,,,,73.410004,-7.697,,8.027,,,,-0.33,65.713003,-31.416,34.297001,0.0,,,34.297003,0.0,34.297001,,,34.297001,34.297001,,212.690002,0.16,0.16,,212.690002,0.16,0.16,0.16,
09/30/1994,527.150024,,,-292.014008,,235.136017,,-201.860992,,,,,33.275002,199.271996,,6.193,,,,-205.464996,232.546998,-111.913002,120.634003,0.0,,,120.633996,0.0,120.634003,,,120.634003,120.634003,,208.507996,0.58,0.58,,208.507996,0.58,0.58,0.58,
12/31/1994,605.372009,,,-315.631012,,289.740997,,-228.335999,,,,,61.404999,-6.904,,5.276,,0.0,,1.628,54.500999,-13.818,40.682999,0.0,,,40.682999,0.0,40.682999,0.0,,40.682999,40.682999,,197.645996,0.205,0.205,0.205,197.645996,0.205,0.205,0.205,
03/31/1995,571.164978,,,-307.558014,,263.606964,,-206.089996,,,,,57.516998,-5.674,,7.344,,,,-1.67,51.842998,-24.483999,27.358999,0.0,,,27.358999,0.0,27.358999,0.0,,27.358999,27.358999,,195.651993,0.14,0.14,0.14,195.651993,0.14,0.14,0.14,
06/30/1995,609.97998,,,-316.855011,,293.124969,,-210.544006,,,,,82.581001,-4.158,,6.732,,,,-2.574,78.423001,-34.181,43.256001,0.0,,,44.242002,0.0,43.256001,0.0,,43.256001,43.256001,,193.559998,0.225,0.225,0.225,193.559998,0.225,0.225,0.225,
09/30/1995,572.710999,,,-322.776001,,249.934998,,-209.690002,,,,,40.244999,9.993,,5.577,,,,-15.57,50.237998,-18.032,32.206001,0.0,,,32.205999,0.0,32.206001,0.0,,32.206001,32.206001,,192.679993,0.165,0.165,0.165,192.679993,0.165,0.165,0.165,
12/31/1995,655.213013,,,-357.229004,,297.984009,,-245.578003,,,,,52.405998,0.929,,5.577,,,,-6.506,53.334998,-21.282,33.039001,0.0,,,32.052998,0.0,33.039001,-0.096,,32.943001,32.943001,,192.929992,0.17,0.17,0.175,192.929992,0.17,0.17,0.175,
03/31/1996,627.575012,,,-347.516998,,280.058014,,-219.434998,,,,,60.623001,-1.756,,6.438,,,,-4.682,58.867001,-26.153,32.714001,0.0,,,32.714001,0.0,32.714001,0.0,,32.714001,32.714001,,195.306,0.165,0.165,0.165,196.800003,0.165,0.165,0.165,
06/30/1996,649.505981,,,-338.059998,,311.445984,,-228.925995,,,,,82.519997,3.999001,,5.962,,,,-9.961,86.518997,-39.707001,46.812,0.0,,,46.811996,0.0,46.812,0.0,,46.812,46.812,,195.507996,0.24,0.24,0.235,197.800003,0.235,0.235,0.23,
09/30/1996,629.04303,,,-334.027008,,295.016022,,-232.149002,,,,,62.867001,-103.257997,,7.975,,,,95.282997,-40.390996,-7.293,-47.683998,0.0,,,-47.683997,0.0,-47.683998,0.0,,-47.683998,-47.683998,,194.016006,-0.245,-0.245,0.19,196.0,-0.245,-0.245,0.185,
12/29/1996,718.254028,,,-337.587006,,380.667022,,-294.38501,,,,,86.281998,6.632,,6.055,,,,-12.687,92.913998,-40.222,52.692001,0.0,,,52.691998,0.0,52.692001,-0.096,,52.596001,52.596001,20.475,193.518006,0.27,0.27,0.375,196.600006,0.27,0.27,0.375,
03/30/1997,692.460999,,,-346.485992,,345.975006,,-244.720001,,,,,101.254997,-7.003,,8.318,,,,-1.315,94.251997,-42.412998,51.839001,0.0,,,51.838999,0.0,51.839001,0.0,,51.839001,51.839001,,195.643997,0.26,0.26,0.27,199.207993,0.26,0.26,0.265,
