Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,Periodic EV to Shares Outstanding,Trailing 12 Month Values for Ratios,Source: Bloomberg
12/31/1989,841.149509,-45.620001,25.6,0.0,466.293012,1287.422521,1046.355002,44.563557,0.362191,,,,,,840.222528,1286.495539,39.411697,,
03/31/1990,747.646457,-107.119001,25.6,0.0,455.408003,1121.535459,1061.636986,42.896773,0.406058,,,,,,747.37202,1121.261022,34.314512,,
06/30/1990,719.422005,-138.348999,25.6,0.0,461.10199,1067.774996,1062.742991,43.387912,0.431834,,,,,,719.22403,1067.577021,32.652671,,
09/30/1990,752.123005,-79.161001,25.6,0.0,539.902,1238.464005,1108.726992,48.695667,0.435945,1.062906,6.375652,8.882017,7.76372,7.76372,751.962006,1238.303005,37.872359,,
12/31/1990,773.317165,-45.346999,18.700001,0.0,550.576017,1297.246184,1126.424028,48.87822,0.424419,1.189789,7.331353,10.716968,9.51134,9.51134,773.033641,1296.96266,39.63114,,
03/31/1991,781.595863,-134.027,18.700001,0.0,550.152006,1216.42087,1160.960009,47.387679,0.452271,1.083518,6.268886,8.854941,8.311519,8.311519,781.572001,1216.397008,37.157372,,
06/30/1991,810.711013,-180.599005,18.700001,0.0,549.977001,1198.78901,1149.169998,47.858629,0.458777,1.099495,6.526792,9.339564,7.828806,7.828806,810.488291,1198.566288,36.597539,,
09/30/1991,847.716777,-75.656998,18.700001,0.0,529.903996,1320.663775,1103.803001,48.007117,0.401241,1.196575,6.759082,9.433717,8.282098,8.282098,847.664957,1320.611955,40.31084,,
12/31/1991,873.166826,-34.356998,14.8,0.0,537.475014,1391.084842,1124.545003,47.794887,0.386371,1.244823,6.860509,9.421439,7.958349,7.958349,872.82079,1390.738805,42.417592,,
03/31/1992,890.443139,-158.970001,14.8,0.0,525.865009,1272.138147,1191.537995,44.133298,0.413371,1.194751,6.541397,9.126794,6.918687,6.918687,877.938166,1259.633174,36.609345,,
06/30/1992,912.581234,-155.529999,14.8,0.0,525.454994,1297.30623,1186.73,44.277552,0.405035,1.186169,6.354454,8.839042,7.980308,7.980308,912.371249,1297.096245,37.316446,,
09/30/1992,1086.687437,-40.507001,14.8,0.0,520.786009,1581.766445,1151.857005,45.212731,0.329243,1.442228,7.980819,11.230229,11.574644,11.574644,1086.5625,1581.641508,45.487046,,
12/31/1992,1048.560851,-33.649998,10.9,0.0,598.569984,1624.380837,1242.021986,48.193187,0.368491,1.441451,8.192524,11.603798,13.07561,13.07561,1048.139103,1623.959089,46.668224,,
03/31/1993,1092.100958,-69.976999,10.9,0.0,517.094988,1550.118946,1195.756981,43.244154,0.333584,1.278353,7.435229,10.36536,9.963027,9.963027,1092.100958,1550.118946,44.533412,,
06/30/1993,1127.394685,-67.573,3.4,0.0,532.075012,1595.296698,1193.050025,44.597879,0.333527,1.289487,7.75063,10.871291,11.299676,11.299676,1127.135581,1595.037593,45.811579,,
09/30/1993,1109.983189,-26.030999,3.4,0.0,600.67501,1688.0272,1232.526029,48.73528,0.355844,1.340831,7.984387,11.20801,11.265458,11.265458,1109.313686,1687.357697,48.474488,,
12/31/1993,1062.924953,-32.875999,0.0,0.0,727.625015,1757.67397,1380.151016,52.720681,0.41397,1.392662,8.442603,11.98493,10.908705,10.908705,1062.589521,1757.338538,50.43541,,
03/31/1994,954.018708,-114.241998,0.0,0.0,630.975012,1470.751722,1316.286017,47.936011,0.429015,1.119093,7.097812,10.163723,7.24085,7.24085,954.046173,1470.779187,42.202347,,
06/30/1994,815.039501,-175.827005,0.0,0.0,630.175012,1269.387508,1302.840021,48.369332,0.49644,0.97892,6.197334,9.007923,5.044751,5.044751,814.829152,1269.177159,36.405515,,
09/30/1994,915.285,-78.250999,0.0,0.0,630.975012,1468.009013,1272.353003,49.591191,0.429817,1.147341,7.393537,10.966012,6.215578,6.215578,915.337474,1468.061487,42.101899,,
