Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
08/31/1980,,,1.784722,1.527778,,,,,,,,,,,
11/30/1980,,,2.256944,1.527778,,,,,,,,,,,
02/28/1981,,,2.388889,1.972222,,,,,,,,,,,
05/31/1981,,,2.354167,2.027778,,,,,,,,,,,
08/31/1981,,,2.645833,2.145833,,,,,,,,,,,
11/30/1981,,,2.875,2.222222,,,,,,,,,,,
02/28/1982,,,2.916667,2.527778,,,,,,,,,,,
05/31/1982,,,3.194444,2.472222,,,,,,,,,,,
08/31/1982,,,2.805556,2.25,,,,,,,,,,,
11/30/1982,,,3.083333,2.277778,,,,,,,,,2.847222,,
02/28/1983,,,2.916667,2.361111,,,,,,,,,2.722222,,
05/31/1983,,,3.083333,2.611111,,,,,,,,,2.833333,,
08/31/1983,,,3.805556,2.805556,,,,,,,,,3.444444,,
11/30/1983,,,3.638889,3.055556,,,,,,,,,3.361111,,
02/29/1984,,,3.722222,2.916667,,,,,,,,,3.138889,,
05/31/1984,,,3.305556,2.583333,,,,,,,,,2.777778,,
08/31/1984,,,3.444444,2.75,,,,,,,,,3.444444,,
11/30/1984,,,3.583333,3.027778,,,,,,,,,3.458333,,
02/28/1985,,,3.805556,3.305556,,,,,,,,,3.527778,,
05/31/1985,,,3.888889,3.277778,,,,,,,,,3.805556,,
08/31/1985,,,4.166667,3.611111,,,,,,,,,3.833333,,
11/30/1985,,,3.861111,3.416667,,,,,,,,,3.638889,,
02/28/1986,,,4.375,3.583333,,,,,,,,,4.194444,,
05/31/1986,,,4.805556,4.111111,,,,,,,,,4.805556,,
08/31/1986,,,4.861111,3.555556,,,,,,,,,3.944444,,
11/30/1986,,,3.944444,3.277778,,,,,,,,,3.583333,,
02/28/1987,,,3.861111,3.25,,,,,,,,,3.777778,,
05/31/1987,,,4.138889,3.722222,,,,,,,,,3.805556,,
08/31/1987,,,4.458333,3.694444,,,,,,,,,3.972222,,
11/30/1987,,,4.305556,2.666667,,,,,,,,,3.027778,,
02/29/1988,,,3.75,2.972222,,,,,,,,,3.75,,
05/31/1988,,,4.055556,3.305556,,,,,,,,,3.5,,
08/31/1988,,,4.333333,3.5,,,,,,,,,3.916667,,
11/30/1988,,,3.916667,3.277778,,,,,,,,,3.472222,,
02/28/1989,,,4.055556,3.444444,,,,,,,,,3.861111,,
05/31/1989,,,4.555556,3.805556,,,,,,,,,4.472222,,
08/31/1989,,,4.805556,4.305556,,,,,,,,,4.638889,,
11/30/1989,,,5.027778,4.388889,2.275225,,,,,,,,4.638889,1481.946712,
02/28/1990,,,5.277778,4.305556,2.35077,,,,,,,,4.569444,1408.131848,
05/31/1990,,,5.083333,4.333333,2.010472,,,,,,,,4.902778,1428.436852,
08/31/1990,17.060085,,4.916667,4.138889,1.893942,,1.282616,17.882321,,1.408078,7.149832,10.058101,4.416667,1358.024709,
11/30/1990,17.099056,,4.722222,3.472222,1.881776,,1.164163,32.31109,,1.448223,7.688892,11.175239,4.027778,1401.777236,
02/28/1991,19.791666,,5.305556,3.513889,2.552623,,1.50726,6.191226,,1.525508,7.621848,10.67725,5.277778,1487.586476,
05/31/1991,17.37013,,5.944444,5.0,2.288256,,1.569675,14.098222,,1.659794,7.483351,10.004556,5.944444,1715.371001,
08/31/1991,15.188954,,5.916667,5.222222,2.319694,,1.40422,8.373826,,1.488274,6.839963,8.883575,5.805556,1674.162944,
11/30/1991,16.946779,,7.277778,5.527778,2.838017,,1.616054,10.272592,,1.83184,8.341644,10.763104,6.722222,2072.231046,
02/29/1992,17.405914,,8.277778,6.583333,3.07073,,1.670231,8.205776,,1.606863,7.424599,9.560028,7.194444,1882.818776,
05/31/1992,15.650406,,8.555556,6.861111,2.839093,,1.840507,9.221192,,1.815877,7.61178,9.452268,8.555556,2300.219062,
08/31/1992,,,9.666667,7.694444,2.992237,,1.763446,15.59558,,1.960035,8.119977,10.179549,8.833333,2473.182549,
11/30/1992,,,10.083333,7.5,2.959315,,1.613574,16.099771,,1.936173,8.230698,10.350708,8.166667,2469.95856,
02/28/1993,,,9.333333,7.916667,3.577947,,1.814801,13.54203,,1.867277,8.397733,10.768,9.041667,2340.683372,
05/31/1993,,,9.583333,8.041667,2.605999,,1.575647,15.270245,,1.659004,6.947765,8.514786,8.5,2256.912085,
08/31/1993,21.405229,,11.25,8.166667,3.548728,,2.199745,16.902786,,2.216543,8.660409,10.681913,10.916667,2977.786283,
11/30/1993,24.319729,,12.916667,10.416667,4.178459,,2.403106,15.019896,,2.506218,10.071772,12.62199,11.916667,3362.712723,
02/28/1994,20.192308,,13.5,11.541667,4.271317,,2.305443,11.761105,,2.096336,7.641152,9.267159,12.25,3008.527664,
