Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/2017,,1783.223,1783.223,,0.003015,-0.017956,-0.017587,-0.014769,-0.014769,-0.014769,-0.014769,-0.014769,-0.014769,0.0,0.031767,0.031588,,,,
06/30/2017,,1716.28346,1716.28346,,0.008894,,-0.010434,-0.009313,-0.009313,-0.009313,-0.009313,-0.009313,-0.009313,0.0,0.109121,0.109121,,,,
09/30/2017,,1716.28346,1716.28346,,0.036986,,-0.020491,-0.019361,-0.019361,-0.019361,-0.019361,-0.019361,-0.019361,0.0,-0.059638,,,,,
12/31/2017,,1843.40608,1843.40608,,0.096843,,-0.001864,-0.003222,-0.003222,-0.002688,-0.003222,-0.003222,-0.002688,0.0,,,,,,
03/31/2018,42.48636,1758.77,1758.77,,0.123779,-0.018169,-0.022629,-0.025167,-0.025167,-0.025167,-0.025167,-0.025167,-0.025167,0.0,0.056224,0.056085,35.501175,-5.082981,-15.523969,
06/30/2018,58.917442,1940.536606,1940.536606,,0.218706,,-0.535753,-0.52482,-0.52482,-0.52482,-0.52482,-0.52482,-0.52482,0.0,0.029136,0.029136,26.471553,24.0616,16.921061,
09/30/2018,1107.786377,919.512738,919.512738,,0.538322,,-0.20264,-0.70453,-0.70453,-0.70453,-0.70453,-0.70453,-0.70453,,0.039865,,2.95306,2.72825,2.368,
12/31/2018,1113.922172,1113.922172,1113.922172,,0.733958,,-0.342827,-0.312342,-0.312342,-0.312342,-0.312342,-0.312342,-0.312342,0.0,0.744145,,2.843995,2.45658,2.119945,
03/31/2019,1154.107178,286.236,286.236,,2.352556,,-1.097562,-0.971885,-0.971885,-0.971885,-0.971885,-0.971885,-0.971885,,-0.798773,,3.798013,3.231031,2.923634,
06/30/2019,1162.357172,1162.35725,1162.35725,,0.91949,,-0.187986,-0.516062,-0.516062,-0.516062,-0.516062,-0.516062,-0.516062,0.0,0.523186,,3.982543,3.145566,2.860287,
09/30/2019,1162.357172,1162.35725,1162.35725,,0.921527,,-0.342414,-0.285108,-0.285108,-0.285108,-0.285108,-0.285108,-0.285108,0.0,0.321106,,4.844729,3.123877,2.861234,
12/31/2019,1162.507172,1162.499,1162.499,,1.318072,,-0.260776,-0.215796,-0.215796,-0.213904,-0.215796,-0.215796,-0.21578,0.0,1.172167,,5.071896,3.044701,2.798341,
03/31/2020,1197.626,1162.528,1162.528,,0.806078,,-0.541887,-2.028597,-2.028597,-2.028597,-2.028597,-2.028597,-2.028597,0.0,-0.069882,,5.019509,2.559488,2.339429,
06/30/2020,845.19,1195.31075,1195.31075,,1.439312,,-0.193538,-0.107233,-0.107233,-0.107233,-0.107233,-0.107233,-0.107233,0.0,0.648675,,8.207291,4.939017,4.653283,
09/30/2020,,,,,,,,-0.234,-0.234,-0.177,-0.234,-0.234,-0.177,,-0.263,,,2.636,,
12/31/2020,,,,,,,,-0.058,-0.058,0.015,-0.058,-0.058,0.015,,-0.179,,,2.609,,
