Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1989,1950.166016,23.065001,23.065001,0.0,372.091003,,,664.906982,,,,,50.266998,,,,,1110.329956,744.247986,1320.982056,-576.734009,0.0,95.587997,,,,,95.587997,839.835983,,135.404999,135.404999,,,,123.810997,,,,,,209.965004,,,209.965004,469.181,518.508972,,,,,108.445,,,,108.445,626.953972,1096.134972,0.0,180.960007,,,0.0,,673.070984,854.030991,0.0,854.030991,1950.165962,
12/31/1989,1921.579956,25.297001,25.297001,0.0,353.30899,,,662.632019,,,,,50.708,,,,,1091.946045,724.836975,1298.03894,-573.202026,0.0,104.796997,,,,,104.796997,829.633972,,112.296997,112.296997,,,,126.650002,,,,,,203.090996,,,203.090996,442.037994,486.420013,,,,,110.874001,,,,110.874001,597.294014,1039.332008,0.0,181.276001,,,0.0,,700.971985,882.247986,0.0,882.247986,1921.579994,
03/31/1990,1970.314941,23.497999,23.497999,0.0,374.018005,,,672.927002,,,,,53.355999,,,,,1123.79895,738.200989,1334.755981,-596.554993,0.0,108.315002,,,,,108.315002,846.515991,,122.565002,122.565002,,,,131.451996,,,,,,217.337006,,,217.337006,471.354004,475.743988,,,,,112.828003,,,,112.828003,588.571991,1059.925995,0.0,181.783997,,,0.0,,728.60498,910.388977,0.0,910.388977,1970.314972,
06/30/1990,1996.156982,21.780001,21.780001,0.0,381.924011,,,686.504028,,,,,38.981998,,,,,1129.189941,752.66803,1358.817017,-606.148987,0.0,114.299004,,,,,114.299004,866.967034,,147.235992,147.235992,,,,93.988998,,,,,,197.147019,,,197.147019,438.372009,511.681,,,,,107.699997,,,,107.699997,619.380997,1057.753006,0.0,182.371002,,,0.0,,756.03302,938.404022,0.0,938.404022,1996.157028,
09/30/1990,2011.400024,25.582001,25.582001,0.0,381.381989,,,684.36499,,,,,43.271,,,,,1134.599976,763.695007,1403.220947,-639.526001,0.0,113.105003,,,,,113.105003,876.800011,,130.313004,130.313004,,,,72.986,,,,,,217.75901,,,217.75901,421.058014,515.664001,,,,,111.138,,,,111.138,626.802002,1047.860016,0.0,182.880005,,,-7.06,,787.719973,963.539978,0.0,963.539978,2011.399994,
12/31/1990,1985.891968,29.212,29.212,0.0,347.367004,,,681.093018,,,,,42.416,,,,,1100.088013,770.929016,1438.204956,-667.276001,0.0,114.875,,,,,114.875,885.804016,,114.120003,114.120003,,,,67.415001,,,,,,205.966003,,,205.966003,387.501007,518.026001,,,,,109.681,,,,109.681,627.707001,1015.208008,0.0,183.257996,,,-20.280001,,807.706026,970.684021,0.0,970.684021,1985.892029,
03/31/1991,1972.963989,29.351999,29.351999,0.0,360.285004,,,663.396973,,,,,31.167,,,,,1084.20105,772.830994,1456.052979,-683.221985,0.0,115.931999,,,,,115.931999,888.762993,,118.288002,118.288002,,,,51.205002,,,,,,209.307991,,,209.307991,378.800995,516.195007,,,,,106.320999,,,,106.320999,622.516006,1001.317001,0.0,183.951004,,,-22.985001,,810.680984,971.646988,0.0,971.646988,1972.963989,
06/30/1991,1890.406006,38.842999,38.842999,0.0,340.471008,,,608.249023,,,,,31.455999,,,,,1019.018982,757.937012,1431.944946,-674.007996,0.0,113.449997,,,,,113.449997,871.387009,,130.792999,130.792999,,,,41.051998,,,,,,186.256016,,,186.256016,358.101013,476.585999,,,,,112.244003,,,,112.244003,588.830002,946.931015,0.0,187.110992,,,-22.985001,,779.349015,943.475006,0.0,943.475006,1890.406021,
09/30/1991,1859.553955,50.605,50.605,0.0,325.947998,,,584.265991,,,,,35.897999,,,,,996.71698,748.434021,1444.911987,-696.478027,0.0,114.403,,,,,114.403,862.837021,,99.696999,99.696999,,,,41.834,,,,,,185.407997,,,185.407997,326.938995,474.325989,,,,,113.526001,,,,113.526001,587.85199,914.790985,0.0,187.263,,,-22.985001,,780.485001,944.763,0.0,944.763,1859.553986,
12/31/1991,1866.196045,50.470001,50.470001,0.0,326.936005,,,584.877991,,,,,39.334999,,,,,1001.619019,751.945984,1479.359985,-727.414001,0.0,112.630997,,,,,112.630997,864.576981,,103.903,103.903,,,,46.757999,,,,,,179.134014,,,179.134014,329.795013,467.053986,,,,,107.379997,,,,107.379997,574.433983,904.228996,0.0,187.927002,,,-22.985001,,797.024979,961.96698,0.0,961.96698,1866.195976,
