Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1990,,,,,,,70.752786,46.129268,33.848363,,24.656328,15.554329,15.554329,13.865011,,36.915466,58.569684,,
06/30/1990,,,,,,,68.427466,40.026094,26.5538,,16.521286,10.671155,10.671155,8.814004,,35.409659,101.81008,,
09/30/1990,,,,,,,67.668653,41.626573,28.830913,,19.525622,12.449627,12.449628,10.727583,,36.239536,78.700788,,
12/31/1990,,,,,,,70.56993,41.794228,29.72765,,20.505136,13.249858,13.249858,11.513952,,35.382734,74.784734,,
03/31/1991,,13.552671,4.460187,8.751931,7.161524,,69.709396,45.366592,32.943097,11.654137,24.628236,15.301951,15.301951,13.729087,,37.868264,59.209783,5.528164,
06/30/1991,,13.818926,4.53528,8.671637,7.095201,,67.313773,39.724971,26.421475,23.538833,17.41195,11.066271,11.06627,9.343001,,36.444392,95.855459,0.572731,
09/30/1991,,13.639928,4.49839,8.644006,7.044461,,69.549057,41.59986,28.237136,,19.44704,12.04985,12.04985,10.392848,,38.037614,84.115122,2.166686,
12/31/1991,,13.439935,4.446882,8.491276,6.908548,,70.295622,41.995931,28.809449,13.449534,20.601318,12.228753,12.228752,10.64981,,40.640918,79.542892,2.749422,
03/31/1992,,13.356506,4.417502,8.525522,6.927588,,70.512952,45.728655,33.433885,43.413704,25.782537,14.933922,14.933923,13.55687,,42.077375,59.12498,5.459475,
06/30/1992,,13.2876,4.358312,8.3344,6.752322,,69.540362,40.163356,26.920769,,17.925322,10.818595,10.818595,9.252309,,39.646302,101.63858,-0.217728,
09/30/1992,,12.94505,4.265876,8.269652,6.661876,,68.50614,40.115597,26.318776,-111.793399,17.972382,11.114297,11.114296,9.578267,,38.159021,96.560281,0.445273,
12/31/1992,,13.128933,4.300089,8.349289,6.730624,,71.640418,41.590858,29.498034,,21.381412,13.261147,13.261147,11.819468,,37.978152,74.786413,3.310275,
03/31/1993,,13.046498,4.024779,8.384274,6.277141,,73.023263,47.892042,34.503002,-7.025945,26.846544,15.913147,15.913147,14.601051,,40.725529,58.991958,5.350113,
06/30/1993,,13.078936,3.990113,8.185742,6.151709,,72.254646,42.903491,27.125954,-21.757119,18.430014,11.260897,11.260897,9.707803,,38.899139,104.02118,-0.525927,
09/30/1993,,13.564073,4.104549,8.386192,6.261159,,70.552155,41.53374,28.08757,70.192991,20.397063,11.964749,11.96475,10.948021,,41.340824,83.731598,2.206658,
12/31/1993,,13.113116,3.945691,8.121483,6.087614,,68.94314,38.52821,26.840599,,19.113971,11.604532,11.604531,10.489701,,39.2877,85.850527,1.855437,
03/31/1994,,12.873379,3.638426,7.865793,5.586118,,70.733755,46.286909,33.543441,16.951551,26.136491,14.772314,14.772312,13.787457,,43.480118,59.8701,5.166074,
06/30/1994,,12.328456,3.490429,7.422249,5.350952,,72.200875,35.446676,23.069017,,14.575191,8.434471,8.434471,7.350153,,42.13132,135.809757,-4.41479,
09/30/1994,,12.053374,3.455892,7.434298,5.319548,,72.189787,44.269912,28.720757,-9.335254,20.404995,11.639556,11.639557,10.589556,,42.957319,91.9171,0.974262,
12/31/1994,,8.849246,2.5958,6.140105,4.901265,,75.665382,24.591539,18.908091,-152.130412,-0.826092,-0.042642,-0.042642,-1.103799,,,,,
03/31/1995,,8.478199,2.49924,5.948072,4.764666,,74.215275,48.741349,33.504883,-34.211807,26.149818,14.881681,14.881682,13.927435,,43.090687,64.348598,3.022597,
06/30/1995,,8.379292,2.495627,5.845286,4.722949,,73.588712,40.209579,22.96438,-25.125003,14.347198,8.479956,8.479957,7.340454,,40.894688,146.727354,-3.915421,
09/30/1995,,8.948307,2.685083,6.038898,5.02007,,71.840781,46.789662,39.773016,385.966928,28.520379,13.795844,13.795843,12.778326,,51.628119,75.728365,2.1719,
12/31/1995,,12.774348,3.71536,7.66482,5.428464,,74.268712,36.583697,24.616189,72.152989,22.338919,13.150831,13.150831,12.203572,,41.130407,74.705367,3.231224,
03/31/1996,,13.035178,3.852462,7.892856,5.601331,,72.750317,47.782003,33.586819,34.555797,26.869455,15.589354,15.589354,14.702155,,41.981132,56.896552,5.618611,
06/30/1996,,13.63905,3.995564,7.906961,5.65594,,73.841555,42.750374,25.859492,55.359885,18.086697,10.164425,10.164425,9.118087,,43.801653,109.836066,-1.341546,
09/30/1996,,13.150841,3.910276,7.938657,5.508347,,70.909091,41.958042,26.293706,,19.300699,12.027972,12.027972,11.048951,,37.681159,84.810127,1.997596,
12/31/1996,,12.317233,3.732809,7.670812,5.495506,,72.591588,28.765265,24.830393,62.666044,18.860244,10.854817,10.854817,9.90502,,42.446043,94.520548,0.674917,
03/31/1997,,12.070227,3.684454,7.611763,5.426035,,71.119593,32.951654,32.951654,-200.0,26.97201,15.776081,15.776081,14.885496,,41.509434,58.119658,5.055052,
06/30/1997,,12.189781,3.74876,7.731273,5.483791,,69.533528,23.906706,23.906706,,16.763848,10.058309,10.058309,9.475219,,40.0,109.230769,-1.125211,
09/30/1997,,10.813763,3.359146,7.033043,5.205259,,65.03856,24.550129,24.550129,4.761905,12.982005,6.169666,6.169666,5.398458,,52.475248,159.52381,-6.436764,
12/31/1997,,10.658985,3.347105,7.019199,5.24551,,67.209011,22.277847,22.277847,,16.270338,9.887359,9.887359,9.011264,,39.230769,95.833333,0.444124,
