Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
09/30/1997,,,,,,,,,,,,,,,,,,,
12/28/1997,,,,,,,,,,,,,,,,,,,
03/29/1998,279.357491,-35.195999,0.0,0.0,0.326,244.487492,103.62,0.314611,0.001333,,,,,,284.024364,249.154365,4.777013,,
06/28/1998,153.539995,-40.103001,0.0,0.0,0.326,113.762995,106.668999,0.305618,0.002866,,,,,,155.907,116.129999,2.222802,,
09/27/1998,110.003996,-11.611,0.0,0.0,25.410999,123.803995,132.609999,19.162205,0.205252,,,,,,111.45887,125.258869,2.415028,,
12/27/1998,108.967878,-10.781,0.0,0.0,25.350999,123.537877,133.613001,18.973453,0.205208,1.205024,8.555847,15.247825,5.512799,11.396184,110.364002,124.934001,2.409132,,
03/28/1999,119.700003,-3.099,0.0,0.0,52.761999,169.363002,154.52678,34.144243,0.311532,1.475725,13.077214,42.822505,,,132.335005,181.998004,3.301423,,
06/27/1999,320.681262,-2.751,0.0,0.0,64.864999,382.795261,166.523002,38.952576,0.169451,2.694091,24.696468,87.556094,,,363.600004,425.714003,7.460587,,
09/26/1999,528.474998,-43.241001,0.0,0.0,17.716,502.949997,220.931002,8.018793,0.035224,2.624836,19.32639,38.244238,5131.189401,-22.364285,499.424982,473.899981,7.930839,,
01/02/2000,1098.904415,-63.769001,0.0,0.0,22.503,1057.638414,259.734001,8.663864,0.021277,4.459655,27.806978,45.180844,1866.204929,-38.756569,1130.469277,1089.203276,14.697384,,
04/02/2000,1467.354052,-47.603001,0.0,0.0,13.71,1433.461051,261.250993,5.247827,0.009564,5.20787,41.78943,72.808868,-651.083524,-46.906977,1455.520488,1421.627487,19.660152,,
07/02/2000,4191.532545,-12.834,0.0,0.0,107.393998,4286.092543,384.642995,27.920435,0.025056,12.703523,83.680057,125.27306,-1425.964836,-125.222737,4389.670111,4484.23011,58.253952,,
10/01/2000,4460.78811,-19.577999,0.0,0.0,168.337004,4609.547115,454.421007,37.044283,0.036519,11.103088,63.888387,89.831956,-199.537985,-70.245962,4736.61871,4885.377714,62.533709,,
