Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
12/28/1997,,,,,,,,,,,,,4.666667,,
03/29/1998,,244.487492,244.487492,244.487492,2.704489,,,,,,,,5.458333,244.487492,
06/28/1998,,167.114943,255.149992,97.344997,1.443819,1.915037,,,,,,,3.0,113.762995,
09/27/1998,,95.632481,130.822994,73.245496,1.026166,1.972529,,,,,,,2.145833,123.803995,
12/27/1998,13.563829,121.744678,141.749995,107.629996,1.00652,1.903602,1.061684,4.983089,10.596183,1.205024,8.555847,15.247825,2.125,123.537877,
03/28/1999,20.588235,175.370461,223.897991,121.369995,1.176242,3.24445,1.076949,7.391749,25.491596,1.475725,13.077214,42.822505,2.333333,169.363002,
06/27/1999,74.999999,259.881265,383.113007,160.767502,3.154511,8.283127,2.402436,67.183711,,2.694091,24.696468,87.556094,6.25,382.795261,
09/26/1999,55.555554,520.022242,603.530863,391.289007,2.600571,3.751322,2.442678,,,2.624836,19.32639,38.244238,8.333333,502.949997,
01/02/2000,62.756849,486.677617,931.014746,288.742636,4.632213,6.173135,3.925861,,,4.459655,27.806978,45.180844,15.270833,1057.638414,
04/02/2000,59.777227,1008.558215,1607.840215,666.890497,5.927721,7.704062,4.714897,,,5.20787,41.78943,72.808868,20.125,1433.461051,
07/02/2000,127.541973,2268.310209,4256.298172,1387.33672,15.118297,35.3898,11.599762,,,12.703523,83.680057,125.27306,56.96875,4286.092543,
10/01/2000,101.422835,5270.537234,6497.726838,3999.238502,15.592581,35.887562,10.629493,,,11.103088,63.888387,89.831956,60.515625,4609.547115,
12/31/2000,54.600694,4692.899383,6578.370957,2885.822292,4.869522,6.552904,5.716928,,,5.839257,31.482512,42.272566,39.3125,2983.597662,
04/01/2001,17.888889,2202.901519,3805.808389,1069.080463,1.766321,2.324177,1.817142,,,1.771805,8.230045,10.512525,14.49,1069.807059,
07/01/2001,28.20339,1387.270201,2040.438186,894.078979,2.297478,3.161715,2.189311,,,2.154075,62.773074,,16.64,1255.524211,
09/30/2001,34.166665,914.570815,1250.637977,384.260871,0.906566,1.273808,0.986931,,,0.881573,,,6.15,428.060975,
12/30/2001,,688.347766,913.046319,397.996213,1.852743,2.604837,2.286529,,,2.105319,,,10.57,765.761434,
03/31/2002,,653.702218,918.060761,483.598909,1.442614,2.035126,2.664613,25.986976,47.029486,2.352783,,,8.18,570.018082,
06/30/2002,,566.935071,730.886638,360.886192,1.07182,1.550115,2.400931,13.171427,14.9522,1.966295,,,6.22,404.185751,
09/30/2002,,264.078979,396.655097,104.167697,0.890153,1.097795,1.120524,5.645298,6.425537,0.668514,,,2.98,142.062479,
12/29/2002,,325.695912,535.370754,95.629755,1.731022,2.117415,2.107094,15.409998,19.805045,1.67471,,,6.04,386.281962,
03/31/2003,,316.440188,429.736402,242.732265,1.293476,1.623316,1.493669,20.465844,35.746493,1.12906,,,4.4,269.36881,
06/30/2003,,433.474061,562.596868,281.78324,2.093435,2.632088,2.308162,129.714983,,1.981484,,,7.12,498.790948,
09/30/2003,,777.385466,944.263883,469.515701,3.086275,3.879897,3.346837,,,3.046846,78.252346,,10.41,777.984806,
12/31/2003,,734.126497,911.426315,591.546245,3.277059,4.137884,3.489851,,,3.175183,209.446073,,10.83,813.907446,
03/31/2004,,918.489683,1099.069816,773.339094,3.36689,4.277123,3.416375,,,3.135949,188.188481,,11.06,842.519807,
06/30/2004,,755.922813,868.261611,638.18974,3.363626,4.270503,3.364118,,,3.062624,129.722022,,10.98,832.555957,
09/30/2004,,597.614406,810.404517,432.265303,2.022283,2.572099,1.965119,,,1.830172,73.566384,,6.48,504.076879,
12/31/2004,,640.954353,809.677829,470.008373,2.783059,3.176208,2.665465,,,2.521131,1935.945432,,8.92,706.619986,
03/31/2005,,501.876782,681.172878,361.256038,1.717822,2.248066,1.466583,772.847556,,1.296123,,,4.86,360.80698,
06/30/2005,,384.416952,494.242276,303.703967,2.420018,3.214988,1.974519,,,1.814946,,,6.31,488.67051,
09/30/2005,,387.00178,490.544093,321.188499,2.117691,2.788407,1.741827,,,1.567998,,,5.54,422.053456,
12/31/2005,,461.966075,549.357265,402.327337,2.295106,2.995806,1.95611,,,1.76857,,,6.02,462.581743,
03/31/2006,,461.53074,565.202151,393.77531,2.791744,3.646709,2.366711,,,2.189312,,,7.2,567.885617,
07/02/2006,659.999956,529.927208,631.868984,434.314672,2.481066,3.203357,2.058257,,,1.928648,39.720179,3417.211158,6.6,529.6686,
10/01/2006,,515.576217,593.572709,420.187823,2.708285,3.47095,2.173625,,,1.933503,37.178319,252.856719,7.24,553.250574,
12/31/2006,,560.847725,664.66681,509.22345,2.824038,4.402234,1.856556,,,1.967929,464.887646,,7.28,665.25432,
03/31/2007,,613.561588,758.204433,493.37048,2.346961,3.756132,1.244417,,,1.359374,,,5.72,540.336328,
07/01/2007,,410.061048,533.270828,333.163402,1.722302,2.836358,0.779417,,,0.755134,,,3.98,334.24479,
09/30/2007,,369.564379,449.30524,295.801004,2.204424,3.702073,0.894144,,,0.879492,,,5.1,435.735297,
12/30/2007,,419.394745,501.67024,308.8458,1.791572,3.062154,0.695967,139.591868,,0.774367,,,4.09,396.17604,
03/30/2008,,275.21326,387.409706,224.941873,1.350463,2.373748,0.533304,126.942821,,0.640168,,,3.09,323.508702,
06/29/2008,,301.906791,376.78254,211.661106,0.850791,1.500166,0.31439,,,0.450003,296.751692,,1.91,238.885061,
09/28/2008,,248.235348,272.236594,216.066228,0.891398,1.581978,0.306709,,,0.439092,66.627284,,1.89,236.85997,
12/28/2008,,173.441701,198.229986,149.958577,0.576628,1.012717,0.197294,,,0.32683,26.949664,,1.21,175.6579,
03/29/2009,,150.787701,187.959573,100.161371,0.733796,0.881656,0.164434,,,0.276171,,,0.97,142.92974,
06/28/2009,,167.791692,199.263979,133.132454,1.207274,1.442397,0.311606,9.955371,14.564826,0.393684,,,1.63,180.87293,
09/27/2009,,159.246238,205.544768,142.82068,1.305248,1.554929,0.370922,7.033861,8.690392,0.444828,,,1.77,186.60975,
01/03/2010,,318.758334,436.25402,196.189426,3.131289,3.691476,0.887672,6.971441,7.947084,0.910019,,,4.35,392.73865,
04/04/2010,134.379946,354.501417,406.675137,282.31497,3.012309,3.528998,0.754634,4.778213,5.491585,0.740018,7.763325,12.774021,4.16,359.7292,
07/04/2010,23.12786,576.784264,769.766024,352.659611,4.339441,4.934805,1.005473,5.207209,5.885138,0.922836,5.500442,6.656631,6.94,562.45866,
10/03/2010,12.306059,935.430574,1172.176322,620.384882,4.112712,4.430432,1.0641,5.002559,5.621223,1.022992,4.200553,4.574387,9.41,842.33684,
01/02/2011,8.616502,941.555348,1052.740342,787.126557,3.760358,4.028952,0.949252,4.70918,5.411722,0.848263,3.173054,3.357242,10.2,888.249,
04/03/2011,6.574872,827.893613,1085.369274,603.210916,2.725273,2.888417,0.758632,4.219092,5.050907,0.619806,2.284419,2.396103,8.63,706.14821,
07/03/2011,6.076994,662.307353,764.227092,566.363949,2.299825,2.422973,0.716287,13.666736,35.975448,0.645404,2.435748,2.560887,8.21,764.84205,
10/02/2011,3.989924,631.782697,739.355869,340.822102,1.277898,1.344103,0.418785,8.767964,30.985965,0.305594,1.367696,1.469769,4.5,341.057,
01/01/2012,4.428282,361.706692,452.919406,238.978824,1.178477,1.231527,0.409092,11.963767,,0.302795,1.605787,1.779622,3.91,307.85504,
04/01/2012,6.502787,341.228555,424.082162,246.274826,1.308714,1.363399,0.502559,14.933519,,0.367978,2.289192,2.617518,4.55,367.2116,
07/01/2012,5.818392,318.844622,373.364386,247.741469,1.225981,1.272785,0.492401,2.76921,3.461179,0.306367,1.934595,2.211103,4.52,324.4838,
09/30/2012,7.982084,445.763978,573.017513,308.920026,1.410442,1.458932,0.609828,4.199402,5.595566,0.388904,2.4026,2.737213,5.585,426.92032,
12/30/2012,12.545887,276.256773,429.889634,210.496664,1.062662,1.098192,0.497507,5.602448,8.559013,0.275072,2.160954,2.605966,4.19,281.282749,
03/31/2013,15.543283,287.545477,366.932042,240.612913,1.09098,1.127623,0.502059,4.731833,6.304223,0.250515,2.319654,2.935037,4.14,250.875206,
