Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2014,21917,2230,2201,29,759,65,694.0,0,0,0,0,0,14576,,10.0,14439,17565,922,2862.0,-1940.0,31,,31.0,3399,3345,3189,156,44,4352,,1578,115,29,1434,1093,1093.0,0.0,0.0,,10612,0.0,0.0,145.0,9897,13283,0,0,0.0,0.0,,386,0.0,,,,241,386,13669,,,,,,,8248,8248,,8248,21917,
03/31/2015,22579,2375,2365,10,841,53,788.0,0,0,0,0,0,14991,,,14791,18207,989,,,31,31.0,,3352,3322,3184,138,30,4372,,1736,125,46,1565,868,868.0,,,,10945,,,,10936,13549,0,0,,,,390,,,,,390,390,13939,0.0,,,,,,8640,8640,0.0,8640,22579,
06/30/2015,26911,4408,2562,1846,184,81,103.0,0,0,0,0,0,15121,,,15034,19713,1291,,,2258,2258.0,,3649,3595,3409,186,54,7198,,1096,188,31,877,102,102.0,,,,11386,,,,11363,12584,0,0,,,,1587,,,,,1587,1587,14171,0.0,,,,,,12740,12740,0.0,12740,26911,
09/30/2015,27896,4299,1880,2419,173,173,0.0,0,0,0,0,0,16082,,,15990,20554,1298,,,2392,2392.0,,3652,3589,3415,174,63,7342,,1270,114,67,1089,0,0.0,,,,11802,,,,11777,13072,0,0,,,,1610,,,,,1610,1610,14682,0.0,12910.0,0.1221,12909.8779,,301.0,3,13214,0.0,13214,27896,
12/31/2015,28881,3411,1393,2018,137,137,0.0,0,0,0,0,0,17100,0.0,38.0,17003,20648,1344,3849.0,-2505.0,2348,2348.0,,4541,4427,4069,358,76,8233,,1356,145,32,1179,0,0.0,0.0,0.0,,12261,0.0,0.0,1175.0,12236,13617,0,0,0.0,0.0,,1505,0.0,0.0,,,330,1505,15122,0.0,13100.0,0.1224,13099.8776,0.0,668.0,-9,13759,0.0,13759,28881,
03/31/2016,29470,4767,2583,2184,159,159,0.0,0,0,0,0,0,17042,,,16938,21968,1345,,,1661,,1661.0,4496,4391,4071,320,105,7502,,1330,158,27,1145,0,0.0,,,,13032,,,,12925,14362,0,0,,,,1510,,,,,1510,1510,15872,0.0,13188.0,0.1225,13187.8775,-596.0,1033.0,-27,13598,0.0,13598,29470,
06/30/2016,30631,4957,2018,2939,167,167,,0,0,0,0,0,18333,,,18129,23457,1412,,,1315,1315.0,,4447,4350,4069,281,97,7174,,1389,169,39,1181,0,0.0,,,,13834,,,,13749,15223,0,0,,,,1591,,,,,1591,1591,16814,0.0,13305.0,0.1232,13304.8768,-896.0,1356.0,52,13817,0.0,13817,30631,
09/30/2016,31356,5088,1369,3719,187,187,0.0,0,0,0,0,0,18886,,,18758,24161,1451,,,1339,1339.0,,4405,4313,4068,245,92,7195,,1496,174,50,1272,0,,,,,14120,,,,14077,15616,0,0,,,,1548,,,,,1548,1548,17164,0.0,13419.0,0.1232,13418.8768,-945.0,1679.0,39,14192,0.0,14192,31356,
12/31/2016,33103,4975,1590,3385,214,214,0.0,0,0,0,0,0,20544,,21.0,20321,25733,1482,4500.0,-3018.0,1539,1539.0,,4349,4270,4059,211,58,7370,,1715,192,64,1459,0,0.0,0.0,0.0,,15163,,,1215.0,15104,16878,0,0,0.0,0.0,,1513,,,,,298,1513,18391,0.0,13579.0,0.1234,13578.8766,-995.0,2069.0,59,14712,0.0,14712,33103,
03/31/2017,33493,4055,1240,2815,178,178,0.0,0,0,0,0,0,21192,,,21054,25425,1448,,,2325,2325.0,,4295,4244,4060,184,51,8068,,1545,164,81,1300,0,0.0,,,,15741,,,,15656,17286,0,0,,,,1581,,,,,1581,1581,18867,0.0,13724.0,0.1235,13723.8765,-1512.0,2412.0,2,14626,0.0,14626,33493,
06/30/2017,35290,4091,1271,2820,176,176,0.0,0,0,0,0,0,22768,,,22684,27035,1479,,,2511,2511.0,,4265,4205,4062,143,60,8255,,1663,171,85,1407,0,0.0,,,,16978,,,,16828,18641,0,0,,,,1651,,,,,1651,1651,20292,0.0,13873.0,0.1243,13872.8757,-1601.0,2824.0,-98,14998,0.0,14998,35290,
09/30/2017,37761,4921,2330,2591,301,301,0.0,0,0,0,0,0,24215,,,24135,29437,1485,,,2217,2217.0,,4622,4552,4326,226,70,8324,,2728,974,89,1665,0,0.0,,,,17975,,,,17768,20703,0,0,,,,1626,,,,,1626,1626,22329,0.0,14071.0,0.1234,14070.8766,-1701.0,3204.0,-142,15432,0.0,15432,37761,
12/31/2017,40774,5695,2883,2812,283,283,0.0,0,0,0,0,0,26667,,95.0,26601,32645,1528,5158.0,-3630.0,1961,1961.0,,4640,4507,4339,168,38,8129,,2121,257,83,1781,1000,1000.0,0.0,0.0,,19742,0.0,,9.0,19524,22863,0,0,0.0,0.0,,1917,0.0,0.0,0.0,0.0,1908,1917,24780,0.0,14314.0,0.1247,14313.8753,-2001.0,3823.0,-142,15994,0.0,15994,40774,
03/31/2018,42322,6306,2879,3427,258,258,0.0,0,0,0,0,0,28178,,,28122,34742,1523,,,1487,1487.0,,4570,4476,4338,138,94,7580,,2052,187,98,1767,3000,3000.0,,,,20662,,,,20465,25714,0,0,,,,1967,,,,,1967,1967,27681,0.0,14287.0,0.1254,14286.8746,-3811.0,4334.0,-169,14641,0.0,14641,42322,
06/30/2018,41677,4965,2840,2125,283,283,0.0,0,0,0,0,0,28936,30.0,,28614,34184,1567,,,1369,1369.0,,4557,4456,4331,125,71,7493,,2121,201,84,1836,2000,2000.0,,,,20688,,,,20480,24809,0,0,,,,1849,,,,,1849,1849,26658,0.0,14434.0,0.1261,14433.8739,-4311.0,4860.0,36,15019,0.0,15019,41677,
09/30/2018,43724,9587,8147,1440,412,412,0.0,0,0,0,0,0,23991,17.0,,23770,33990,1646,,,946,946.0,,7142,6738,6054,684,387,9734,,2189,247,76,1866,2000,2000.0,,,,22451,,,,22427,26640,0,0,,,,1969,,,,,1969,1969,28609,0.0,14664.0,0.1262,14663.8738,-4911.0,5296.0,66,15115,0.0,15115,43724,
12/31/2018,43332,9109,7575,1534,313,313,0.0,0,0,0,0,0,23541,11.0,224.0,23232,32963,1724,5907.0,-4183.0,971,971.0,,7674,7109,6284,825,330,10369,,2344,281,61,2002,1998,1998.0,0.0,0.0,,21562,0.0,0.0,109.0,21495,25904,0,0,0.0,0.0,,2042,0.0,0.0,0.0,0.0,1933,2042,27946,0.0,14939.0,0.1265,14938.8735,-5511.0,5880.0,78,15386,0.0,15386,43332,
03/31/2019,46280,7849,4515,3334,409,409,0.0,0,0,0,0,0,26633,8.0,,26418,34891,1731,,,1695,1695.0,,7963,6984,6234,750,971,11389,,2306,226,75,2005,2091,1999.0,92.0,,92.0,24238,,,,24170,28635,406,0,406.0,,406.0,2082,,,,,2082,2488,31123,0.0,14848.0,0.1271,14847.8729,-6216.0,6550.0,-25,15157,0.0,15157,46280,
