Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,469.614014,160.669006,160.669006,0.0,20.618,,,9.187,,,,,22.861,,,,,213.335007,231.227997,261.156006,-29.927999,0.127,24.924,,,,24.924,256.278997,,32.742001,32.742001,,,,24.858999,,,,,97.096998,,,97.096998,154.697998,286.325012,,,,23.924999,,,,23.924999,310.250011,464.948009,0.0,55.891998,,,0.0,,-51.226002,4.665997,0.0,4.665997,469.614006,
06/30/1997,790.091003,314.367004,314.367004,0.0,34.923,,,80.247002,,,,,20.222,,,,,449.759003,312.292999,343.582001,-31.289,0.121,27.917999,,,,27.917999,340.331999,,135.473007,135.473007,,,,15.824,,,,,4.447988,,,4.447988,155.744995,250.988007,,,,62.095001,,,,62.095001,313.083008,468.828003,0.0,378.101013,,,0.0,,-56.838001,321.263012,0.0,321.263012,790.091015,
09/30/1997,908.478027,186.731003,186.731003,0.0,64.719002,,,164.985992,,,,,21.999001,,,,,438.434998,444.81601,481.098999,-36.283001,0.115,25.112,,,,25.112,470.043009,,178.675995,178.675995,,,,15.782,,,,,22.915998,,,22.915998,217.373993,268.946014,,,,53.306999,,,,53.306999,322.253014,539.627007,0.0,413.037994,,,0.0,,-44.187,368.850994,0.0,368.850994,908.478001,
12/31/1997,1398.10498,379.783997,379.783997,0.0,67.394997,,,256.56601,,,,,20.197001,,,,,723.942017,614.640015,657.244995,-42.605,0.059,59.464001,,,,59.464001,674.163016,,80.862,80.862,,,,12.011,,,,,222.548997,,,222.548997,315.421997,630.463013,,,,70.475998,,,,70.475998,700.939011,1016.361008,0.0,413.67099,,,0.0,,-31.927,381.74399,0.0,381.74399,1398.104998,
03/31/1998,1779.567993,573.161011,573.161011,0.0,114.072998,,,212.962006,,,,,12.128,,,,,912.323975,772.593994,822.669006,-50.075001,0.0,94.650002,,,,94.650002,867.243996,,308.842987,308.842987,,,,1.109,,,,,33.519021,,,33.519021,343.471008,959.27002,,,,69.665001,,,,69.665001,1028.93502,1372.406029,0.0,445.738007,,,0.0,,-38.576,407.162006,0.0,407.162006,1779.568035,
06/30/1998,6428.200195,366.0,366.0,0.0,216.5,,,0.0,,,,,460.399994,,,,,1042.900024,1742.800049,1807.0,-64.199997,0.0,3642.5,,,,3642.5,5385.300049,,185.100006,185.100006,,,,0.0,,,,,842.599945,,,842.599945,1027.699951,1365.300049,,,,431.399994,,,,431.399994,1796.700043,2824.399994,0.0,4518.799805,,,0.0,,-915.0,3603.799805,0.0,3603.799805,6428.199799,
09/30/1998,6715.299805,225.399994,225.399994,0.0,293.899994,,,0.0,,,,,609.099976,,,,,1128.400024,2043.900024,2151.0,-107.099998,0.0,3543.0,3215.399902,,,327.600098,5586.900024,,160.399994,160.399994,,,,0.0,,,,,1019.400055,,,1019.400055,1179.800049,1387.099976,,,,461.899994,,,,461.899994,1848.999969,3028.800018,0.0,4606.5,,,0.0,,-920.0,3686.5,0.0,3686.5,6715.300018,
12/31/1998,8067.600098,462.799988,462.799988,0.0,591.0,,,0.0,,,,,385.299988,,,,,1439.099976,2655.399902,2810.600098,-155.199997,0.0,3973.100098,,,,3973.100098,6628.5,,205.100006,205.100006,,,,2.8,,,,,1029.599994,,,1029.599994,1237.5,2307.100098,,,,284.799988,,,,284.799988,2591.900085,3829.400085,0.0,5114.100098,,,0.0,,-875.900024,4238.200073,0.0,4238.200073,8067.600159,
03/31/1999,8009.200195,119.0,119.0,0.0,656.599976,,,0.0,,,,,321.200012,,,,,1096.800049,2827.100098,3036.0,-208.899994,0.0,4085.300049,3263.0,,,822.300049,6912.400146,,227.100006,227.100006,,,,0.0,,,,,778.199982,,,778.199982,1005.299988,2319.899902,,,,283.100006,,,,283.100006,2602.999908,3608.299896,0.0,5214.0,,,0.0,,-813.099976,4400.900024,0.0,4400.900024,8009.199921,
06/30/1999,9999.700195,1437.400024,1437.400024,0.0,663.599976,,,0.0,,,,,240.100006,,,,,2341.100098,3159.699951,3413.0,-253.300003,0.0,4498.899902,3308.699951,,,1190.199951,7658.599854,,246.100006,246.100006,,,,0.0,,,,,697.300018,,,697.300018,943.400024,2336.199951,,,,197.399994,,,,197.399994,2533.599945,3476.999969,0.0,7194.5,,,0.0,,-730.299988,6464.200012,58.5,6522.700012,9999.699982,
