Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 1 Liabilities,Level 2 Liabilities,Level 3 Liabilities,Total FV Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2007,1668.351,,,1668.351,,,,,,32.102916,,,32.102916,9.771115,,,9.771115,
06/30/2007,1551.24,,,1551.24,,,,,,29.060731,,,29.060731,8.872111,,,8.872111,
09/30/2007,11311.572,96.62,,11408.192,,,36.058,36.058,,201.548088,1.721562,,203.26965,63.331379,0.540957,,63.872336,
12/31/2007,1376.586,10160.978,267.978,11805.542,,,39.653,39.653,-0.641,24.215333,178.740354,4.713964,207.669651,7.64792,56.451502,1.48881,65.588232,
03/31/2008,1079.64,10712.498,52.598,11844.736,,,43.448,43.448,2.527,19.166396,190.174479,0.93375,210.274625,5.982711,59.362171,0.291466,65.636348,
06/30/2008,1057.196,11305.801,25.648,12388.645,,,41.368,41.368,-1.186,18.988351,203.064065,0.460665,222.513081,5.941664,63.540981,0.144147,69.626792,
09/30/2008,797.366,11070.129,24.292,11880.59,,,26.425,26.425,-16.235,15.831509,219.794738,0.482312,235.886245,4.590376,63.729893,0.139847,68.395655,
12/31/2008,136.004,10509.82,293.607,10939.431,,,60.552,60.552,2.214,2.74182,211.876368,5.919072,220.53726,0.807309,62.385444,1.742827,64.93558,
03/31/2009,123.757,11307.102,89.537,11307.663,,,80.255,80.255,23.846,2.455567,224.353761,1.776579,224.364892,0.739952,67.606015,0.535348,67.60937,
06/30/2009,395.359,13038.914,17.563,13452.803,,,,,-25.259,7.129475,235.129634,0.316712,242.593259,2.28176,75.252282,0.101362,77.640985,
09/30/2009,395.359,13038.914,17.563,13452.803,,,57.349,57.349,3.828,6.497323,214.281296,0.28863,221.083141,2.180823,71.923396,0.096879,74.206431,
12/31/2009,790.718,26079.762,35.126,26905.606,,,114.698,114.698,-0.936,,,,,,,,,
03/31/2010,432.696,13209.765,17.747,14012.534,,,54.295,54.295,0.0,7.167454,218.815032,0.293973,232.112613,2.382676,72.740656,0.097725,77.16117,
06/30/2010,382.266,13547.433,18.02,13947.719,,,76.599,76.599,22.613,6.333522,224.458799,0.298562,231.090883,2.099569,74.408333,0.098974,76.606876,
09/30/2010,433.162,13674.133,12.06,14119.355,,,77.15,77.15,2.157,6.895705,217.684817,0.191989,224.772511,2.335116,73.715356,0.065014,76.115486,
