Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,Gross Margin,EBITDA Margin,Operating Margin,Incremental Operating Margin,Pretax Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
12/31/1989,,,,,,,,,,,,,4.134648,4.134648,,,,,
03/31/1990,,,,,,,47.195065,7.397159,5.548382,,6.107934,3.695505,3.695505,3.695505,,39.496646,91.763729,,
06/30/1990,,,,,,,48.846526,17.252488,15.757854,,16.275445,9.846337,9.846338,9.846338,,39.501886,27.144498,,
09/30/1990,,,,,,,47.158275,12.020703,10.338848,,10.930726,6.613288,6.613288,6.613288,,39.49818,44.280937,,
12/31/1990,,,,,,,45.556472,8.059169,6.169933,,6.762404,4.091382,4.091382,4.091382,,39.498115,79.381448,,
03/31/1991,,34.817273,15.679852,,32.98465,,48.170235,7.657387,5.86633,10.265144,6.353758,3.843985,3.843985,3.843985,,39.500601,85.305816,5.116114,
06/30/1991,,32.649238,15.472579,,31.069259,,49.421874,17.641767,16.178748,20.608494,16.59096,10.037608,10.037608,10.037608,,39.499533,25.213046,24.417371,
09/30/1991,,32.212046,15.636101,,30.794454,,47.741655,12.597578,11.024286,17.769462,11.458769,6.932443,6.932442,6.932442,,39.500982,39.770622,19.401115,
12/31/1991,,32.836086,16.46843,,26.208953,,45.75263,9.128324,7.333165,20.729785,7.806098,4.72301,4.723009,4.723009,,39.495894,65.622013,11.288385,
03/31/1992,,33.495855,16.300378,,32.246846,,48.311181,8.446219,6.832753,14.721481,7.158852,4.331241,4.331242,4.331242,,39.4981,69.864365,10.094189,
06/30/1992,,32.427967,16.574142,,31.359099,,50.078557,19.028123,17.70925,31.930942,18.026818,10.906501,10.906501,10.906501,,39.498466,21.712854,25.38693,
09/30/1992,,32.131769,16.711422,,31.139204,,48.720703,13.462377,11.989226,21.080517,12.35588,7.474662,7.474661,7.474661,,39.505229,34.550751,21.030002,
12/31/1992,,32.337174,17.239627,,26.610182,,46.681824,9.704697,8.019234,14.639027,8.432218,5.101365,5.101365,5.101365,,39.501504,57.037515,13.892853,
03/31/1993,,32.410161,17.141897,,31.431193,,48.427666,8.556502,7.147178,10.897825,7.494403,4.608979,4.608979,4.608979,,38.501051,66.763259,10.772081,
06/30/1993,,30.941926,16.922829,,30.026263,,50.458199,19.912035,18.651989,29.507798,18.995025,11.682226,11.682225,11.682225,,38.4985,20.549525,24.583507,
09/30/1993,,30.260928,16.94467,,29.342245,,49.24378,13.881351,12.423588,16.673767,12.840562,7.6992,7.699199,7.699199,,40.040012,33.547226,20.109226,
12/31/1993,,30.625294,17.664478,,26.501885,,47.604743,10.752261,9.069246,20.563999,9.634997,5.877063,5.877063,5.877063,,39.002955,52.314169,14.603926,
03/31/1994,,30.779952,17.532669,,29.790821,,48.585121,9.329903,7.878015,18.047671,8.208556,5.048262,5.048262,5.048262,,38.5,64.750293,10.849843,
06/30/1994,,28.902543,17.201064,,28.064051,,51.31957,20.865869,19.683025,39.195521,19.929136,12.256655,12.256654,12.256654,,38.498816,21.204783,22.773821,
09/30/1994,,28.243409,17.238998,,27.362313,,47.902556,14.073872,12.849837,23.29672,13.389704,8.234705,8.234706,8.234706,,38.499719,34.386291,18.531548,
12/31/1994,,27.989416,17.622973,,25.160073,,45.917499,10.713772,9.144079,10.941185,10.055537,6.183817,6.183817,6.183817,,38.503361,52.187062,13.382562,
03/31/1995,,28.011453,17.022913,,26.818152,,48.660398,9.452241,8.163108,14.426,8.826251,5.472682,5.472682,5.472682,,37.995392,64.275647,10.00691,
06/30/1995,,25.61241,16.459441,,24.271743,,50.456802,19.797547,18.716851,,19.410321,12.034217,12.034216,12.034216,,38.000941,23.784476,19.520633,
09/30/1995,,20.390394,13.627471,,22.599464,,45.687566,11.207826,9.946838,,3.431834,2.127725,2.127725,2.127725,,38.000367,145.309828,-9.238852,
12/31/1995,,19.255744,12.873695,,20.05111,,44.603066,8.507616,6.959414,,7.960142,4.935117,4.935117,4.935117,,38.002151,72.606305,5.27486,
03/31/1996,,18.342147,11.778964,,,,,,,,,,5.323476,5.323476,,,,,
06/30/1996,,13.840675,9.047541,,,,,,,,,,8.342157,8.342157,,,,,
09/30/1996,,13.86741,9.333682,,,,,,,,,,2.383081,2.383081,,,,,
12/31/1996,,11.267696,7.45445,,,,,,,,,,0.217229,0.217229,,,,,
03/31/1997,,10.87211,6.738285,,,,43.035499,7.018456,5.514726,,6.473364,4.01336,4.051957,4.051957,,38.001946,101.923451,-0.20912,
06/30/1997,,7.745387,4.739359,,,,42.634951,7.043421,5.738124,,6.497334,4.028606,4.093385,4.093385,,37.996012,,,
09/30/1997,,4.950156,2.970353,,,,36.760355,-13.093871,-14.714834,,-13.639182,-8.456236,-1.663732,-1.663732,,,,,
12/31/1997,,0.891246,0.41051,,,,-23.035989,-101.272835,-103.227654,,-269.328449,-166.984135,-11.217425,-11.217425,,,,,
03/31/1998,,-3.401808,-1.488962,,,,37.454561,-2.744684,-4.445981,-312.794775,-2.313667,-1.434555,-1.434555,-1.434555,,,,,
06/30/1998,,-2.245745,-0.879684,,,,44.06772,7.025476,5.626572,,7.190584,4.458562,4.458562,4.458562,,37.994439,71.774928,-0.633863,
09/30/1998,,-1.289052,-0.500021,,,,40.739689,0.975134,-0.571654,471.160951,0.982747,0.609026,0.609026,0.609026,,38.028168,520.795443,5.42427,
12/31/1998,,5.832326,1.733546,,,,38.241129,-3.040402,-4.965727,109.137947,-3.632688,-2.252267,0.440661,0.440661,,,,,
03/31/1999,,8.159111,2.38155,,0.648219,,40.82734,1.563679,-0.287945,73.587576,0.578199,0.359546,0.359546,0.359546,,37.816247,326.338356,-18.467197,
06/30/1999,,5.642878,1.689312,,1.268558,,44.743809,9.251457,6.927351,34.585874,7.574134,4.695643,4.695643,4.695643,,38.004227,20.070837,4.510305,
09/30/1999,,12.500465,3.06692,,4.145231,,42.112368,3.09665,0.900702,23.040878,1.499656,0.929255,0.929255,0.929255,,38.035483,106.005588,-0.750726,
12/31/1999,,9.406348,2.244148,,12.441403,,38.914824,0.067708,-2.691203,18.361219,-2.726839,-1.690554,-1.690554,-1.690554,,,,,
03/31/2000,,9.779929,2.344494,,7.542182,,41.823473,3.690405,0.837178,8.268917,0.85657,0.530926,0.530926,0.530926,,38.017174,187.909321,-8.597469,
06/30/2000,,9.740153,2.414443,,8.316972,,45.292696,9.680493,7.130196,8.940938,7.238212,4.487946,4.487947,4.487947,,37.996482,18.908912,7.898396,
09/30/2000,,11.049429,2.790525,,,,42.975988,4.924205,2.210903,13.261456,2.210903,1.370864,1.370864,1.370864,,37.995277,63.555193,4.026943,
12/31/2000,,12.700397,3.137489,,,,39.889332,1.294976,-2.017579,11.885849,-1.873466,-1.161739,-1.161739,-1.161739,,,,,
03/31/2001,,13.886456,3.534549,,,,42.854683,5.538076,2.127533,137.737472,2.159327,1.33865,1.33865,1.33865,,38.006135,74.666007,3.517994,
06/30/2001,,13.935918,3.67394,,,,45.563527,10.654043,8.038092,207.67357,8.038092,4.983761,4.983761,4.983761,,37.998216,16.6957,11.609219,
09/30/2001,,15.883087,4.392577,,,,43.984312,7.081022,4.054038,,4.054038,2.513457,2.513457,2.513457,,38.001162,35.351879,10.268117,
12/31/2001,,20.648763,5.691174,,,,43.919072,5.137255,1.634945,177.745002,1.734839,1.075534,1.075534,1.075534,,38.003839,92.941176,1.45756,
03/31/2002,,23.107755,6.614435,,,,45.191844,8.768966,5.228895,206.268785,5.196932,3.222398,3.222398,3.222398,,37.994226,30.496136,16.060783,
06/30/2002,,24.000853,7.005087,,,,47.225404,13.173425,10.21668,149.330986,10.237854,6.347285,6.347285,6.347285,,38.001803,12.895104,20.905918,
09/30/2002,,26.135455,7.944629,,,,45.765614,9.297208,6.180521,91.003054,6.258079,3.880204,3.880204,3.880204,,37.996879,22.152305,20.345849,
12/31/2002,,30.773946,8.817737,,52.362738,,44.311144,7.822787,4.354297,114.328037,3.905219,2.420859,2.420859,2.420859,,38.009652,36.161015,19.645775,
03/31/2003,,30.984878,9.260182,,39.275221,,45.896778,10.843078,7.519243,200.43956,7.563079,4.689212,4.689212,4.689212,,37.998636,30.871597,21.419351,
06/30/2003,,29.818158,9.390292,,36.467664,,48.376327,14.713271,11.992113,368.995633,12.07909,7.488723,7.488723,7.488723,,38.002594,16.273626,24.965662,
09/30/2003,,31.372815,10.162936,,36.520037,,46.110216,11.659244,8.81792,118.14736,8.866725,5.497526,5.497526,5.497526,,37.998229,23.017857,24.151466,
12/31/2003,,31.16916,10.703009,,33.607609,,45.30229,8.328076,5.223815,33.978066,6.392092,3.043703,3.043703,3.043703,,52.383302,46.777201,16.589099,
03/31/2004,,30.099915,10.711345,,37.00056,,46.212159,12.073703,9.139087,79.52381,9.23298,5.493661,5.493661,5.493661,,40.49959,31.176875,20.715702,
06/30/2004,,31.401028,11.733234,,,,47.997534,13.887779,11.044518,1.089671,18.044148,10.305093,10.305093,10.305093,,42.889557,19.568139,25.256431,
09/30/2004,,32.142809,12.247446,,,,48.493319,11.84406,11.063381,26.660945,11.251195,6.685301,6.685301,6.685301,,40.581416,30.025966,22.49162,
12/31/2004,,37.288092,14.859422,,27.642718,,45.735456,10.111632,6.649512,15.584724,12.28933,7.544963,7.544963,7.544963,,38.605578,19.763501,29.918659,
03/31/2005,,37.909145,15.346988,,31.620993,,46.368157,13.590518,10.348259,17.955837,10.597831,6.304543,6.304543,6.304543,,40.511005,29.297974,26.802534,
06/30/2005,,33.540906,13.538555,,,,46.672826,15.134888,12.314418,34.505646,14.682773,8.736224,8.736224,8.736224,,40.500175,18.14169,27.456019,
09/30/2005,,33.128636,13.432645,,,,49.176005,14.659941,11.889408,42.962553,12.122993,7.212939,7.212939,7.212939,,40.50199,22.555298,25.656373,
12/31/2005,,31.519304,12.64933,,27.386833,,45.412413,10.217626,6.895755,11.006177,7.263255,4.554227,4.554227,4.554227,,37.297715,39.605542,19.035913,
03/31/2006,,30.385918,12.376981,,26.32402,,44.891264,12.705794,9.207619,,9.35799,5.614691,5.614691,5.614691,,40.001103,38.7938,18.598066,
06/30/2006,,29.845585,12.216414,,27.248508,,48.74086,16.716332,13.725659,30.626956,13.872932,8.323931,8.323931,8.323931,,39.998758,21.84299,23.326417,
09/30/2006,,29.739751,12.351567,,28.214022,,47.674439,14.9849,12.06061,14.001083,12.213804,7.478404,7.478404,7.478404,,38.770889,24.603803,22.422641,
12/31/2006,,29.766999,12.949871,,31.157443,,44.973199,11.141298,7.984735,29.583631,8.280357,5.149692,5.149692,5.149692,,37.808332,39.797419,17.920502,
03/31/2007,,30.691995,13.332991,,30.98757,,46.90904,13.593762,10.271229,39.588353,10.549018,6.357339,6.357339,6.357339,,39.735255,39.467678,18.578578,
06/30/2007,,31.087597,13.591059,,30.550442,,49.252143,17.206554,14.32238,33.05841,14.577369,8.863691,8.863691,8.863691,,39.195534,23.651184,23.735012,
09/30/2007,,29.907848,13.510282,,30.490317,,48.332325,15.510507,12.61906,24.970874,12.821902,7.880613,7.880613,7.880613,,38.53788,26.621902,21.94581,
12/31/2007,,29.0918,13.944591,,29.027934,,45.729646,11.169971,8.120248,10.574285,8.438834,5.526177,5.526177,5.526177,,34.514925,41.835931,16.920975,
03/31/2008,,29.802928,14.254153,,28.550064,,47.660869,13.631603,10.475157,15.114176,10.827407,6.587553,6.587553,6.587553,,39.158533,45.52352,16.235586,
06/30/2008,,29.391899,12.787902,,26.234722,,48.655001,16.306912,13.254177,7.551081,13.12096,7.992296,7.992296,7.992296,,39.087571,27.746503,21.236675,
09/30/2008,,28.013853,12.880958,,25.654836,,47.675699,14.773075,11.523473,4.967963,11.516277,7.126023,7.126022,7.126022,,38.122167,31.31722,19.240693,
12/31/2008,,29.842464,13.158546,,25.013051,,46.367242,12.458279,8.791661,13.305523,8.414357,5.060143,5.060143,5.060143,,39.862987,49.216821,15.154952,
03/31/2009,,30.512779,13.613607,,26.072449,,48.40105,14.659302,10.778608,12.716605,10.602456,6.506099,6.506099,6.506099,,38.635923,43.542763,17.226672,
06/30/2009,,30.254742,12.616729,,24.412571,,50.228593,17.973272,14.679144,5975.848121,14.588129,8.954657,8.954657,8.954657,,38.616819,27.913822,21.809487,
09/30/2009,,29.664006,13.170649,,25.196205,,48.602067,16.089482,12.840071,53.763609,12.784642,7.924993,7.924993,7.924993,,38.011616,30.522808,20.609718,
12/31/2009,,34.070657,14.746803,,28.174155,,47.388536,12.138292,8.653642,5.674006,8.608182,7.690115,7.690115,7.690115,,10.665055,34.707179,22.245693,
03/31/2010,,34.313345,15.148435,,29.137487,,48.239613,14.68181,11.125075,19.48555,11.08595,6.948676,6.948676,6.948676,,37.319977,50.779389,16.889238,
