Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,P/Free Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
06/30/1996,98.255816,,,,11.328034,,13.65463,100.724441,150.809466,12.702647,51.924637,56.862876,5.28125,423.912743,
09/30/1996,89.000001,429.633701,462.031242,399.407993,11.50333,,12.824171,171.569492,413.602786,11.67114,47.813393,52.706107,5.5625,454.801004,
12/31/1996,76.590911,446.92417,501.36299,389.125004,7.441392,,10.16952,71.503879,100.708518,8.926521,41.459428,47.000417,5.265625,437.479867,
03/31/1997,42.666668,377.895975,452.172506,281.141254,5.316674,,6.758497,75.890474,289.128754,5.378509,24.910763,28.111713,4.0,311.533996,
06/30/1997,58.235295,419.208217,513.255992,295.599752,7.922597,,9.221373,172.744844,,7.770908,35.550929,40.186923,6.1875,515.879514,
09/30/1997,53.552632,564.793687,605.59199,503.156742,7.823872,,8.282474,87.501284,260.736159,6.955843,31.903251,36.154861,6.359375,534.730379,
12/31/1997,58.894231,561.09354,648.568257,528.245513,9.040461,,8.387595,82.604189,256.340206,7.493479,32.254121,36.515707,7.65625,677.110733,
03/31/1998,91.10577,829.52057,1085.690219,613.657257,13.211153,,11.384242,177.084329,1086.36037,10.558186,45.917626,52.187968,11.84375,1095.686365,
06/30/1998,90.170941,1060.505352,1297.492713,834.552975,10.893186,,10.940627,947.891173,,10.278237,44.995817,50.988726,13.1875,1247.490139,
09/30/1998,49.817519,1027.646204,1401.270057,723.301209,6.216656,6.216656,6.106323,76.020179,433.163867,5.637123,25.361869,28.395519,8.53125,802.996871,
12/31/1998,72.727274,1044.250828,1572.563368,531.721512,9.804902,10.759018,8.89324,327.704357,,8.720449,40.149015,45.735244,14.0,1426.116053,
03/31/1999,104.963236,1679.006268,1944.596431,1329.921496,11.789182,12.804264,11.691667,266.900817,,9.845861,48.742976,59.970945,17.84375,1868.094527,
06/30/1999,73.538961,1696.472457,1967.52772,1280.282088,9.007786,9.666709,8.044111,165.806729,,6.98691,34.695897,43.475914,14.15625,1519.743732,
09/30/1999,109.593022,1838.152709,2835.50384,1224.636007,13.499159,14.344193,11.735955,387.632353,,10.273996,49.951394,63.45632,23.5625,2542.567312,
12/31/1999,290.592782,4256.453498,7706.820566,2304.928219,26.56174,28.08907,31.595268,364.048954,1174.721361,28.550958,137.623935,174.468765,70.46875,7904.132744,
03/31/2000,131.054687,5159.416715,7563.130938,3813.1821,14.767263,15.49946,14.83165,103.723992,207.439827,14.676248,68.44958,82.666552,41.9375,4687.358793,
06/30/2000,145.493197,5221.723793,6630.197886,3181.910316,17.496554,18.455101,16.157429,76.037269,130.535211,15.975162,76.984789,92.325221,53.46875,6085.801639,
09/30/2000,99.237806,6183.861083,8312.528698,4572.584619,9.637857,13.518149,10.667236,56.948804,102.977039,10.445207,51.246112,63.85708,40.6875,4658.374115,
12/31/2000,27.761628,2738.249965,5062.199447,926.040825,2.757713,3.808451,2.81659,13.941179,24.505423,2.32296,12.159277,17.01499,11.9375,1169.236134,
03/31/2001,25.219298,1349.787906,2078.42936,619.982658,1.808569,2.524149,1.684263,14.271024,47.421039,1.21094,9.127515,20.270571,7.1875,620.178149,
06/30/2001,97.500002,983.120189,1442.524374,386.393064,2.531122,3.49883,2.463537,33.786332,210.758087,1.945934,32.267577,,9.75,933.017041,
09/30/2001,,444.498574,923.123071,169.866022,1.186209,1.686536,1.135208,,,0.60302,,,3.85,250.774187,
12/31/2001,,488.55776,807.162147,227.412685,2.558749,3.640509,2.81275,,,2.147804,,,7.72,730.201896,
03/31/2002,,385.189824,671.871252,233.472184,1.829856,2.769908,2.100654,,,1.408519,,,4.75,398.089753,
06/30/2002,,155.017504,480.884527,-55.193904,0.702834,0.712469,0.577874,,,,,,1.06,-44.394825,
09/30/2002,,-52.628002,-9.259934,-89.85668,0.708824,0.716841,0.643373,,,,,,1.03,-59.400661,
12/31/2002,,23.535899,110.287763,-68.574992,1.602353,1.616736,1.405018,,,0.544703,,,2.05,99.3391,
03/31/2003,,75.411057,124.361511,37.93811,1.244867,1.263359,1.06877,,,0.340233,,,1.53,60.14578,
06/30/2003,,148.322957,254.232391,61.441991,2.283755,2.309169,1.852988,,,1.151311,,,2.76,209.277196,
09/30/2003,,287.830326,405.078849,213.980244,2.93758,2.963214,2.367873,,,1.697508,,,3.59,311.940772,
12/31/2003,,499.880425,593.662105,319.577305,4.517566,4.552152,3.517171,,,2.819268,112.752723,,5.64,547.978209,
03/31/2004,603.000013,643.036343,735.449254,498.385774,4.721592,4.752815,3.503608,,,2.901807,71.672004,,6.03,607.13354,
06/30/2004,66.777778,586.511413,669.593991,442.873587,4.571113,4.596743,3.183909,274.051565,,2.670073,37.644664,72.795418,6.01,615.33967,
