Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/1990,26.23,19.750999,6.584,9.277,,,9.277,-9.382,,,,-9.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,12.151,15.652,7.145,-9.44,,,-9.44,-1.206,,,,-1.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,24.044001,12.985,6.171,9.297,,,9.297,-4.409,,,,-4.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,28.191,15.144,7.285,-2.779,,,-2.779,8.541,,,,8.541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,18.186001,18.739,8.159,3.883,,,3.883,-12.595,,,,-12.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,4.741,16.287001,7.832,-2.285,,,-2.285,-17.093,,,,-17.093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,21.351999,18.117001,8.388,-2.459,,,-2.459,-2.694,,,,-2.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,10.773,20.229,10.611,-4.571,,,-4.571,-15.496,,,,-15.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,45.312,25.17,11.339,-3.033,,,-3.033,11.836,,,,11.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,8.232,19.872,11.172,2.519,,,2.519,-25.330999,,,,-25.330999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,55.452,17.096001,12.52,14.699,,,14.699,11.137,,,,11.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,36.528,24.398001,12.338,10.386,,,10.386,-10.594,,,,-10.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,51.530998,27.216999,12.024,4.538,,,4.538,7.752,,,,7.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,24.820999,24.333,11.787,-0.171,,,-0.171,-11.128,,,,-11.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,18.657,19.806999,12.608,7.801,,,7.801,-21.559,,,,-21.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,35.945,29.704,21.795,-4.969,,,-4.969,-10.585,,,,-10.585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
