Date,Returns,Return on Common Equity,Return on Assets,Return on Capital,Return on Invested Capital,Margins,EBITDA Margin,Operating Margin,Incremental Operating Margin,Income before XO Margin,Net Income Margin,Net Income to Common Margin,Additional,Effective Tax Rate,Dvd Payout Ratio,Sustainable Growth Rate,Source: Bloomberg
03/31/1994,,,,,,,69.955106,51.143922,,27.989615,27.989616,27.989616,,0.0,144.444442,,
06/30/1994,,,,,,,72.359527,52.335316,,26.571168,26.57117,26.57117,,0.0,141.913442,,
09/30/1994,,,,,,,72.567843,52.592556,,25.117628,24.841976,24.841976,,0.0,140.889307,,
12/31/1994,,,,,,,73.494562,53.333629,,24.865152,24.166593,24.166593,,0.0,142.016355,,
03/31/1995,,9.402323,3.933513,4.039549,8.515308,,73.845241,51.755393,53.423855,25.458144,24.464676,24.464676,,0.0,159.157347,-5.562165,
06/30/1995,,8.945039,3.529599,3.641463,8.9571,,74.784328,54.630791,61.646375,27.047468,14.483336,14.483336,,0.0,143.880843,-3.925159,
09/30/1995,,9.561915,3.629978,3.729853,8.992011,,73.519585,53.717096,57.534689,26.161019,26.161019,26.161019,,0.0,143.699124,-4.178473,
12/31/1995,,10.49116,3.539473,3.623304,8.263918,,73.737405,54.463913,58.47722,28.93266,28.932661,24.603284,,0.0,143.606279,-4.574804,
03/31/1996,,8.507241,3.976226,4.09603,8.254828,,73.288724,54.013384,64.636874,36.61172,36.611717,25.023664,,0.0,168.953804,-5.866066,
06/30/1996,,10.572524,5.128542,5.299842,8.627726,,74.761786,56.036861,62.654266,41.073219,41.073221,29.946089,,0.0,135.597659,-3.763571,
09/30/1996,,11.44885,5.511892,5.660013,8.551167,,73.275611,54.2393,56.18917,37.432675,37.432675,27.152951,,0.0,138.231841,-4.377106,
12/31/1996,,12.26235,5.489077,5.637508,8.047309,,71.451797,51.918191,36.69008,36.345098,36.345097,26.198498,,0.0,146.897557,-5.750743,
03/31/1997,,10.953559,5.637395,5.862368,8.357165,,72.167786,52.393668,45.115873,47.576965,46.869413,37.390867,,0.0,112.639245,-1.384447,
06/30/1997,,11.065113,5.775774,6.026266,8.82869,,,53.873634,46.17272,39.646649,39.007976,30.321049,,0.0,127.528043,-3.046009,
09/30/1997,,11.74382,5.746699,5.990149,8.896875,,,53.403792,49.858712,39.856584,39.244955,30.925877,,0.0,126.07411,-3.062096,
12/31/1997,,12.712574,5.705175,5.957552,9.046884,,,52.618214,54.284499,36.509324,35.964037,28.575592,,0.0,125.571734,-3.250826,
03/31/1998,,11.100246,5.168484,5.407776,,,,55.345175,64.490766,36.744045,34.582155,27.416229,,,,,
06/30/1998,,10.937067,5.156467,5.366022,,,,54.885716,58.299644,36.311132,36.120495,29.41998,,,,,
09/30/1998,,11.087104,4.616129,4.905045,,,,54.617156,57.115968,34.782472,32.671861,23.191468,,,,,
12/31/1998,,10.367018,4.429347,4.780705,,,,55.090885,63.37704,36.26615,33.566825,22.598018,,0.0,142.381889,-4.393738,
03/31/1999,,10.694764,4.485296,4.953597,,,,54.192636,50.532115,37.236327,33.571801,23.109398,,,,,
06/30/1999,,10.292277,4.471072,5.041244,,,,55.41406,57.88403,36.60789,32.87309,22.275087,,,,,
09/30/1999,,10.619212,4.070813,4.688857,,,,55.558243,76.62438,38.602665,34.181439,23.889408,,,,,
12/31/1999,,10.480033,3.93031,4.65269,,,,51.990333,19.032211,37.860964,31.867263,21.882646,,0.0,142.919311,-4.497958,
03/31/2000,,14.834362,4.623386,5.437756,,,,52.717786,26.526742,61.193791,55.192861,55.192861,,,,,
06/30/2000,,16.275382,4.425219,5.322279,,,,52.24034,25.676742,33.085641,25.991,25.991,,,,,
09/30/2000,,17.415037,4.319554,5.324809,,,,53.14407,25.944179,36.353046,29.15927,29.15927,,,,,
12/31/2000,,18.280665,4.334175,5.342575,,,,52.109856,53.55121,36.799026,31.276466,22.056416,,0.0,121.01282,-3.841283,
03/31/2001,,14.366774,3.698568,4.722866,,,,50.587134,26.006036,36.771432,30.115019,21.000401,,0.0,0.0,14.366774,
06/30/2001,,15.652251,3.943305,4.92952,,,,53.034385,62.655671,44.128817,37.600719,28.85553,,,,,
