Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,EV/Cash Flow to Firm,EV/Free Cash Flow to Firm,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
07/31/1989,507.633,-7.645,0.0,0.0,4.964,504.952,155.917993,3.183725,0.009831,,,,,,507.633,504.952,18.155641,,
10/31/1989,539.819875,-1.554,0.0,0.0,20.680999,558.946874,178.464004,11.588331,0.037,,,,,,539.819875,558.946874,20.097036,,
01/31/1990,483.72275,-2.38,0.0,0.0,11.934,493.27675,174.119005,6.853933,0.024193,,,,,,483.72275,493.27675,17.735855,,
04/30/1990,538.181892,-18.402,0.0,0.0,4.287,524.066891,171.412002,2.500992,0.00818,1.240815,,10.695461,18.506376,,536.141366,522.026365,18.771477,,
07/31/1990,660.9575,-1.39,0.0,0.0,4.277,663.8445,178.619994,2.394469,0.006443,1.533011,,13.292575,143.604721,,660.9575,663.8445,23.778152,,
10/31/1990,577.87625,-2.102,0.0,0.0,4.277,580.05125,185.297005,2.308186,0.007373,1.318748,,11.489804,19.243193,,577.87625,580.05125,20.776774,,
01/31/1991,317.598,-7.666,0.0,0.0,4.277,314.209,189.702,2.254589,0.013612,0.703831,,6.159753,8.290787,,317.555,314.166,22.506168,,
04/30/1991,664.515,-24.513,0.0,0.0,4.707,644.709,194.929996,2.414713,0.007301,1.417018,,12.507692,19.145187,,664.605,644.799,23.097432,,
07/31/1991,743.887625,-9.668,0.0,0.0,4.267,738.486625,200.600997,2.127108,0.005778,1.591724,,14.157288,17.175811,,743.887625,738.486625,26.457122,,
10/31/1991,971.061754,-2.869,0.0,0.0,4.267,972.459754,207.952992,2.051906,0.004388,2.071112,,18.445397,27.91095,,1033.795035,1035.193035,34.834757,,
01/31/1992,967.369503,-10.541,0.0,0.0,4.267,961.095503,211.144995,2.020886,0.00444,2.004387,,17.986591,29.637054,,1004.292,998.018,34.427675,,
04/30/1992,828.819669,-36.268002,0.0,0.0,4.257,796.808667,216.472003,1.966536,0.005343,1.648097,,14.633499,19.1121,,882.38797,850.376968,28.54271,,
08/01/1992,806.866756,-19.848,0.0,0.0,3.827,790.845756,223.099005,1.715382,0.004839,1.618821,,14.235622,19.140164,,820.53975,804.51875,28.261181,,
